Sales_Rep_ID,Period,Commission_Rate,Commission_Amount
SR008,2026-07-01,0.0221,619.26
SR008,2026-08-01,0.0223,215.78
SR009,2024-09-01,0.0278,622.79
SR009,2024-10-01,0.0189,1189.81
SR009,2024-11-01,0.0298,1141.07
SR009,2024-12-01,0.0181,753.46
SR009,2025-01-01,0.0245,329.28
SR009,2025-02-01,0.0291,917.61
SR009,2025-03-01,0.0308,379.04
SR009,2025-04-01,0.0268,188.14
SR009,2025-05-01,0.0254,1252.31
SR009,2025-06-01,0.0278,1252.71
SR009,2025-07-01,0.0298,222.85
SR009,2025-08-01,0.0182,313.31
SR009,2025-09-01,0.0265,336.25
SR009,2025-10-01,0.0287,2118.38
SR009,2025-11-01,0.031,1487.73
SR009,2025-12-01,0.0236,692.05
SR009,2026-01-01,0.0306,1131.17
SR009,2026-02-01,0.0268,138.11
SR009,2026-03-01,0.0227,1037.11
SR009,2026-04-01,0.0318,1283.98
SR009,2026-05-01,0.0188,413.35
SR009,2026-06-01,0.0302,825.18
SR009,2026-07-01,0.0254,794.28
SR009,2026-08-01,0.0262,573.95
SR010,2024-09-01,0.0297,988.11
SR010,2024-10-01,0.031,718.74
SR010,2024-11-01,0.0305,814.89
SR010,2024-12-01,0.0245,1005.79
SR010,2025-01-01,0.028,792.57
SR010,2025-02-01,0.0285,1156.13
SR010,2025-03-01,0.0228,751.25
SR010,2025-04-01,0.0222,529.85
SR010,2025-05-01,0.0295,1338.34
SR010,2025-06-01,0.0255,668.13
SR010,2025-07-01,0.0211,2038.52
SR010,2025-08-01,0.0303,1836.93
SR010,2025-09-01,0.0249,1206.06
SR010,2025-10-01,0.0302,1219.27
SR010,2025-11-01,0.0203,601.3
SR010,2025-12-01,0.0305,2196.59
SR010,2026-01-01,0.0237,500.04
SR010,2026-02-01,0.0221,818.04
SR010,2026-03-01,0.0232,1017.01
SR010,2026-04-01,0.0264,621.23
SR010,2026-05-01,0.0222,983.5
SR010,2026-06-01,0.027,595.45
SR010,2026-07-01,0.0251,1298.16
SR010,2026-08-01,0.0272,350.42
SR011,2024-09-01,0.0227,2120.97
SR011,2024-10-01,0.0216,1474.25
SR011,2024-11-01,0.0274,1757.35
SR011,2024-12-01,0.0254,976.65
SR011,2025-01-01,0.02,724.57
SR011,2025-02-01,0.0271,1856.94
SR011,2025-03-01,0.0219,832.1
SR011,2025-04-01,0.0231,744.96
SR011,2025-05-01,0.03,715.26
SR011,2025-06-01,0.0208,1706.24
SR011,2025-07-01,0.024,1375.73
SR011,2025-08-01,0.0192,597.54
SR011,2025-09-01,0.0243,481.54
SR011,2025-10-01,0.0309,1345.52
SR011,2025-11-01,0.0258,1375.59
SR011,2025-12-01,0.0302,635.52
SR011,2026-01-01,0.0256,914.58
SR011,2026-02-01,0.0188,331.73
SR011,2026-03-01,0.0251,801.39
SR011,2026-04-01,0.0213,683.27
SR011,2026-05-01,0.0241,673.31
SR011,2026-06-01,0.0213,334.27
SR011,2026-07-01,0.0196,803.97
SR011,2026-08-01,0.021,850.18
SR012,2024-09-01,0.0236,861.83
SR012,2024-10-01,0.0295,2001.85
SR012,2024-11-01,0.0288,765.33
SR012,2024-12-01,0.0185,530.34
SR012,2025-01-01,0.0289,814.56
SR012,2025-02-01,0.0184,288.71
SR012,2025-03-01,0.0191,476.58
SR012,2025-04-01,0.0287,191.46
SR012,2025-05-01,0.0235,725.6
SR012,2025-06-01,0.0225,651.05
SR012,2025-07-01,0.0233,1101.3
SR012,2025-08-01,0.0253,1122.04
SR012,2025-09-01,0.0265,1120.16
SR012,2025-10-01,0.0274,623.29
SR012,2025-11-01,0.0193,397.93
SR012,2025-12-01,0.0203,372.7
SR012,2026-01-01,0.0241,677.07
SR012,2026-02-01,0.0301,653.15
SR012,2026-03-01,0.0287,616.27
SR012,2026-04-01,0.0206,210.47
SR012,2026-05-01,0.022,683.4
SR012,2026-06-01,0.0233,966.02
SR012,2026-07-01,0.03,1589.96
SR012,2026-08-01,0.0317,721.12
SR013,2024-09-01,0.0191,559.04
SR013,2024-10-01,0.0248,800.87
SR013,2024-11-01,0.0231,484.84
SR013,2024-12-01,0.0225,160.71
SR013,2025-01-01,0.025,1331.01
SR013,2025-02-01,0.0281,1807.65
SR013,2025-03-01,0.0263,1234.06
SR013,2025-04-01,0.0239,1263.51
SR013,2025-05-01,0.0281,801.56
SR013,2025-06-01,0.0238,1271.35
SR013,2025-07-01,0.0271,645.51
SR013,2025-08-01,0.0204,488.36
SR013,2025-09-01,0.0228,1795.48
SR013,2025-10-01,0.026,1773.41
SR013,2025-11-01,0.0309,1954.75
SR013,2025-12-01,0.0183,847.34
SR013,2026-01-01,0.0282,955.33
SR013,2026-02-01,0.0248,1404.77
SR013,2026-03-01,0.0284,729.3
SR013,2026-04-01,0.0196,1407.52
SR013,2026-05-01,0.0263,744.26
SR013,2026-06-01,0.0239,1248.79
SR013,2026-07-01,0.0224,825.1
SR013,2026-08-01,0.0185,940.19
SR014,2024-09-01,0.0254,299.61
SR014,2024-10-01,0.0228,1092.06
SR014,2024-11-01,0.0309,1984.22
SR014,2024-12-01,0.0285,400.67
SR014,2025-01-01,0.0192,158.57
SR014,2025-02-01,0.0223,283.6
SR014,2025-03-01,0.0216,1615.47
SR014,2025-04-01,0.0276,1301.69
SR014,2025-05-01,0.0261,1363.41
SR014,2025-06-01,0.023,608.46
SR014,2025-07-01,0.0211,703.33
SR014,2025-08-01,0.0242,1732.63
SR014,2025-09-01,0.0215,608.53
SR014,2025-10-01,0.0207,1903.59
SR014,2025-11-01,0.0294,290.97
SR014,2025-12-01,0.0316,1110.88
SR014,2026-01-01,0.0286,1062.01
SR014,2026-02-01,0.0189,656.64
SR014,2026-03-01,0.0311,568.53
SR014,2026-04-01,0.0244,1320.74
SR014,2026-05-01,0.0217,1434.78
SR014,2026-06-01,0.0288,1245.17
SR014,2026-07-01,0.0181,452.75
SR014,2026-08-01,0.0184,111.71
SR015,2024-09-01,0.0286,1088.26
SR015,2024-10-01,0.0202,542.67
SR015,2024-11-01,0.0246,1232.16
SR015,2024-12-01,0.0253,1278.28
SR015,2025-01-01,0.0319,408.42
SR015,2025-02-01,0.0226,1537.2
SR015,2025-03-01,0.0223,365.8
SR015,2025-04-01,0.0246,38.75
SR015,2025-05-01,0.0248,513.2
SR015,2025-06-01,0.0257,1195.74
SR015,2025-07-01,0.0303,2593.69
SR015,2025-08-01,0.0279,1506.66
SR015,2025-09-01,0.0301,766.24
SR015,2025-10-01,0.0234,755.33
SR015,2025-11-01,0.0288,724.71
SR015,2025-12-01,0.0315,1426.14
SR015,2026-01-01,0.0191,566.42
SR015,2026-02-01,0.0241,846.89
SR015,2026-03-01,0.0263,746.65
SR015,2026-04-01,0.0262,1009.71
SR015,2026-05-01,0.0252,779.45
SR015,2026-06-01,0.0295,155.29
SR015,2026-07-01,0.0209,942.96
SR015,2026-08-01,0.0315,359.36
SR016,2024-09-01,0.0293,507.83
SR016,2024-10-01,0.0221,200.6
SR016,2024-11-01,0.0185,428.99
SR016,2024-12-01,0.0281,389.08
SR016,2025-01-01,0.0184,17.84
SR016,2025-02-01,0.0248,245.37
SR016,2025-03-01,0.0261,438.73
SR016,2025-04-01,0.0317,586.63
SR016,2025-05-01,0.0224,437.26
SR016,2025-06-01,0.0281,658.07
SR016,2025-07-01,0.0314,521.34
SR016,2025-08-01,0.0245,55.27
SR016,2025-09-01,0.0197,190.91
SR016,2025-10-01,0.0197,46.65
SR016,2025-11-01,0.0235,336.59
SR016,2025-12-01,0.0225,148.71
SR016,2026-01-01,0.0224,158.47
SR016,2026-02-01,0.0248,173.91
SR016,2026-03-01,0.0255,272.69
SR016,2026-04-01,0.0217,610.26
SR016,2026-05-01,0.0242,379.62
SR016,2026-06-01,0.0271,453.89
SR016,2026-07-01,0.0258,422.37
SR016,2026-08-01,0.0286,432.83
SR017,2024-09-01,0.0218,149.37
SR017,2024-10-01,0.0233,222.41
SR017,2024-11-01,0.0257,58.73
SR017,2024-12-01,0.0307,197.62
SR017,2025-01-01,0.0266,170.85
SR017,2025-02-01,0.022,195.19
SR017,2025-03-01,0.0185,459.93
SR017,2025-04-01,0.0252,209.13
SR017,2025-05-01,0.0313,592.52
SR017,2025-06-01,0.0273,558.38
SR017,2025-07-01,0.0239,378.04
SR017,2025-08-01,0.0191,101.61
SR017,2025-09-01,0.0196,409.95
SR017,2025-10-01,0.0284,226.03
SR017,2025-11-01,0.0224,218.71
SR017,2025-12-01,0.0221,593.66
SR017,2026-01-01,0.0212,132.54
SR017,2026-02-01,0.0306,327.0
SR017,2026-03-01,0.0223,133.58
SR017,2026-04-01,0.0205,303.61
SR017,2026-05-01,0.0231,45.61
SR017,2026-06-01,0.0279,170.16
SR017,2026-07-01,0.0238,493.16
SR017,2026-08-01,0.0287,694.28
SR018,2024-09-01,0.0275,315.44
SR018,2024-10-01,0.023,491.75
SR018,2024-11-01,0.0303,394.6
SR018,2024-12-01,0.019,372.81
SR018,2025-01-01,0.0283,419.63
SR018,2025-02-01,0.0251,123.09
SR018,2025-03-01,0.0225,349.08
SR018,2025-04-01,0.0237,634.06
SR018,2025-05-01,0.0262,701.04
SR018,2025-06-01,0.0218,498.85
SR018,2025-07-01,0.0265,250.27
SR018,2025-08-01,0.0254,166.9
SR018,2025-09-01,0.0288,962.16
SR018,2025-10-01,0.0205,222.46
SR018,2025-11-01,0.023,308.78
SR018,2025-12-01,0.0252,183.4
SR018,2026-01-01,0.0282,379.18
SR018,2026-02-01,0.0227,87.5
SR018,2026-03-01,0.0223,426.13
SR018,2026-04-01,0.0305,149.78
SR018,2026-05-01,0.0195,541.53
SR018,2026-06-01,0.0282,645.97
SR018,2026-07-01,0.0293,649.09
SR018,2026-08-01,0.0217,315.97
SR019,2024-09-01,0.0241,506.17
SR019,2024-10-01,0.0253,355.58
SR019,2024-11-01,0.0288,526.09
SR019,2024-12-01,0.0302,422.58
SR019,2025-01-01,0.0235,412.29
SR019,2025-02-01,0.0229,256.34
SR019,2025-03-01,0.0229,162.37
SR019,2025-04-01,0.0207,283.21
SR019,2025-05-01,0.0188,224.99
SR019,2025-06-01,0.0304,583.25
SR019,2025-07-01,0.0224,139.22
SR019,2025-08-01,0.0182,30.88
SR019,2025-09-01,0.02,400.04
SR019,2025-10-01,0.0312,566.52
SR019,2025-11-01,0.0189,61.08
SR019,2025-12-01,0.0277,617.55
SR019,2026-01-01,0.0289,235.56
SR019,2026-02-01,0.0285,110.1
SR019,2026-03-01,0.0227,348.73
SR019,2026-04-01,0.027,33.9
SR019,2026-05-01,0.0219,641.71
SR019,2026-06-01,0.0238,29.42
SR019,2026-07-01,0.0296,315.11
SR019,2026-08-01,0.0265,432.93
SR020,2024-09-01,0.0246,223.56
SR020,2024-10-01,0.0276,207.0
SR020,2024-11-01,0.0284,208.09
SR020,2024-12-01,0.031,310.87
SR020,2025-01-01,0.0288,672.84
SR020,2025-02-01,0.0247,169.07
SR020,2025-03-01,0.0211,275.86
SR020,2025-04-01,0.0246,276.68
SR020,2025-05-01,0.0242,202.02
SR020,2025-06-01,0.0264,154.39
SR020,2025-07-01,0.0268,338.32
SR020,2025-08-01,0.021,443.28
SR020,2025-09-01,0.0293,332.67
SR020,2025-10-01,0.0238,195.27
SR020,2025-11-01,0.029,469.39
SR020,2025-12-01,0.0182,328.46
SR020,2026-01-01,0.0288,220.04
SR020,2026-02-01,0.0257,302.67
SR020,2026-03-01,0.0239,327.42
SR020,2026-04-01,0.02,86.03
SR020,2026-05-01,0.0304,525.49
SR020,2026-06-01,0.0187,328.48
SR020,2026-07-01,0.0196,120.14
SR020,2026-08-01,0.0298,32.27
SR021,2024-09-01,0.0276,126.39
SR021,2024-10-01,0.0298,762.57
SR021,2024-11-01,0.0316,180.18
SR021,2024-12-01,0.0228,74.39
SR021,2025-01-01,0.0293,570.75
SR021,2025-02-01,0.0185,327.18
SR021,2025-03-01,0.0308,113.59
SR021,2025-04-01,0.0269,298.82
SR021,2025-05-01,0.0306,385.5
SR021,2025-06-01,0.0259,341.84
SR021,2025-07-01,0.0268,452.46
SR021,2025-08-01,0.031,528.17
SR021,2025-09-01,0.0222,447.13
SR021,2025-10-01,0.0228,231.32
SR021,2025-11-01,0.0299,314.85
SR021,2025-12-01,0.0315,329.63
SR021,2026-01-01,0.0273,454.09
SR021,2026-02-01,0.024,220.81
SR021,2026-03-01,0.0196,318.86
SR021,2026-04-01,0.0265,312.77
SR021,2026-05-01,0.0295,134.66
SR021,2026-06-01,0.0195,494.16
SR021,2026-07-01,0.0221,248.77
SR021,2026-08-01,0.0194,438.02
SR022,2024-09-01,0.0227,201.29
SR022,2024-10-01,0.0261,192.83
SR022,2024-11-01,0.0198,522.79
SR022,2024-12-01,0.0246,292.78
SR022,2025-01-01,0.0182,215.29
SR022,2025-02-01,0.0295,228.06
SR022,2025-03-01,0.0275,300.29
SR022,2025-04-01,0.0271,413.17
SR022,2025-05-01,0.0299,645.69
SR022,2025-06-01,0.0199,113.76
SR022,2025-07-01,0.0315,242.79
SR022,2025-08-01,0.0187,204.23
SR022,2025-09-01,0.0242,491.09
SR022,2025-10-01,0.018,218.49
SR022,2025-11-01,0.0309,554.89
SR022,2025-12-01,0.0247,311.11
SR022,2026-01-01,0.0218,247.55
SR022,2026-02-01,0.0242,367.54
SR022,2026-03-01,0.0313,279.09
SR022,2026-04-01,0.0212,166.7
SR022,2026-05-01,0.0228,191.77
SR022,2026-06-01,0.0181,285.87
SR022,2026-07-01,0.0211,254.32
SR022,2026-08-01,0.0304,636.34
SR023,2024-09-01,0.0247,418.71
SR023,2024-10-01,0.0194,302.01
SR023,2024-11-01,0.0296,224.42
SR023,2024-12-01,0.0299,317.14
SR023,2025-01-01,0.0317,239.21
SR023,2025-02-01,0.0189,148.01
SR023,2025-03-01,0.0242,138.98
SR023,2025-04-01,0.0304,422.71
SR023,2025-05-01,0.0197,127.7
SR023,2025-06-01,0.0231,209.58
SR023,2025-07-01,0.0307,192.99
SR023,2025-08-01,0.0193,317.39
SR023,2025-09-01,0.0282,150.3
SR023,2025-10-01,0.0313,658.65
SR023,2025-11-01,0.0264,216.74
SR023,2025-12-01,0.0303,458.18
SR023,2026-01-01,0.0292,182.8
SR023,2026-02-01,0.0293,213.62
SR023,2026-03-01,0.0268,382.45
SR023,2026-04-01,0.019,171.7
SR023,2026-05-01,0.0236,285.46
SR023,2026-06-01,0.0297,61.89
SR023,2026-07-01,0.0208,510.74
SR023,2026-08-01,0.0222,361.32
SR024,2024-09-01,0.0252,194.53
SR024,2024-10-01,0.0239,153.69
SR024,2024-11-01,0.0294,323.79
SR024,2024-12-01,0.0316,153.78
SR024,2025-01-01,0.0195,77.68
SR024,2025-02-01,0.0183,348.71
SR024,2025-03-01,0.0288,401.13
SR024,2025-04-01,0.019,190.22
SR024,2025-05-01,0.0214,176.34
SR024,2025-06-01,0.0229,498.07
SR024,2025-07-01,0.0222,655.75
SR024,2025-08-01,0.0271,345.92
SR024,2025-09-01,0.0219,104.45
SR024,2025-10-01,0.0265,315.92
SR024,2025-11-01,0.0277,248.07
SR024,2025-12-01,0.0183,245.24
SR024,2026-01-01,0.0231,320.37
SR024,2026-02-01,0.0187,297.53
SR024,2026-03-01,0.0287,150.27
SR024,2026-04-01,0.0188,185.19
SR024,2026-05-01,0.0301,123.6
SR024,2026-06-01,0.0299,242.96
SR024,2026-07-01,0.0252,84.45
SR024,2026-08-01,0.0312,130.12
