Transaction_ID,Order_ID,Invoice_ID,Invoice_Line_ID,Transaction_Date,Posting_Date,Customer_ID,Product_ID,Sales_Rep_ID,Region_ID,Business_Unit,Quantity_Sold,Gross_Sales_Amount,Discount_Amount,Returns_Amount,Net_Sales_Amount
T0000019,O0000007,INV0000007,IL0000019,2024-09-04,2024-09-04,C00005,P0047,SR005,Midwest,Industrial,30931.0,3742.65,1132.9,0.0,2609.75
T0000020,O0000007,INV0000007,IL0000020,2024-09-04,2024-09-04,C00005,P0075,SR005,Midwest,Industrial,32792.0,1934.73,585.64,0.0,1349.09
T0000021,O0000008,INV0000008,IL0000021,2024-09-10,2024-09-10,C00048,P0016,SR024,West,Private Label,10054.0,1045.62,285.03,0.0,760.58
T0000022,O0000008,INV0000008,IL0000022,2024-09-10,2024-09-10,C00048,P0043,SR024,West,Industrial,14602.0,2112.91,575.98,0.0,1536.93
T0000023,O0000008,INV0000008,IL0000023,2024-09-10,2024-09-10,C00048,P0035,SR024,West,Industrial,9865.0,434.06,118.32,0.0,315.74
T0000024,O0000009,INV0000009,IL0000024,2024-09-11,2024-09-11,C00002,P0031,SR002,Northeast,Industrial,15813.0,1644.55,240.76,0.0,1403.79
T0000025,O0000009,INV0000009,IL0000025,2024-09-11,2024-09-11,C00002,P0040,SR002,Northeast,Private Label,15172.0,787.43,115.28,0.0,672.15
T0000026,O0000009,INV0000009,IL0000026,2024-09-11,2024-09-11,C00002,P0066,SR002,Northeast,Retail Packaging,23683.0,2905.9,425.42,0.0,2480.48
T0000027,O0000010,INV0000010,IL0000027,2024-09-26,2024-09-26,C00039,P0035,SR015,South,Industrial,13499.0,593.96,140.47,0.0,453.49
T0000028,O0000011,INV0000011,IL0000028,2024-09-24,2024-09-24,C00019,P0010,SR019,South,Retail Packaging,14929.0,774.82,150.93,0.0,623.88
T0000029,O0000011,INV0000011,IL0000029,2024-09-24,2024-09-24,C00019,P0030,SR019,South,Retail Packaging,7881.0,464.98,90.58,0.0,374.4
T0000030,O0000011,INV0000011,IL0000030,2024-09-24,2024-09-24,C00019,P0041,SR019,South,Foodservice Packaging,12057.0,1680.75,327.41,0.0,1353.34
T0000031,O0000012,INV0000012,IL0000031,2024-09-19,2024-09-19,C00001,P0061,SR001,Midwest,Foodservice Packaging,18567.0,1930.97,625.63,0.0,1305.33
T0000032,O0000013,INV0000013,IL0000032,2024-09-15,2024-09-15,C00115,P0067,SR019,South,Industrial,3157.0,450.82,90.66,0.0,360.16
T0000033,O0000013,INV0000013,IL0000033,2024-09-15,2024-09-15,C00115,P0043,SR019,South,Industrial,1940.0,280.72,56.45,0.0,224.27
T0000034,O0000013,INV0000013,IL0000034,2024-09-15,2024-09-15,C00115,P0016,SR019,South,Private Label,3078.0,320.11,64.37,0.0,255.74
T0000035,O0000013,INV0000013,IL0000035,2024-09-15,2024-09-15,C00115,P0065,SR019,South,Foodservice Packaging,2077.0,91.39,18.38,0.0,73.01
T0000036,O0000014,INV0000014,IL0000036,2024-09-18,2024-09-18,C00001,P0016,SR001,Midwest,Private Label,28370.0,2950.48,955.96,0.0,1994.52
T0000037,O0000015,INV0000015,IL0000037,2024-09-09,2024-09-09,C00001,P0020,SR001,Midwest,Private Label,32484.0,1429.3,463.09,0.0,966.2
T0000038,O0000015,INV0000015,IL0000038,2024-09-09,2024-09-09,C00001,P0068,SR001,Midwest,Private Label,35384.0,4507.92,1460.57,0.0,3047.36
T0000039,O0000016,INV0000016,IL0000039,2024-09-21,2024-09-21,C00004,P0027,SR004,West,Industrial,37081.0,6010.83,1470.25,0.0,4540.58
T0000040,O0000016,INV0000016,IL0000040,2024-09-21,2024-09-21,C00004,P0069,SR004,West,Foodservice Packaging,28534.0,8180.7,2001.0,0.0,6179.7
T0000041,O0000016,INV0000016,IL0000041,2024-09-21,2024-09-21,C00004,P0075,SR004,West,Industrial,30983.0,1828.0,447.13,0.0,1380.87
T0000042,O0000017,INV0000017,IL0000042,2024-09-14,2024-09-14,C00011,P0041,SR011,South,Foodservice Packaging,32593.0,4543.46,873.25,0.0,3670.21
T0000043,O0000017,INV0000017,IL0000043,2024-09-14,2024-09-14,C00011,P0002,SR011,South,Retail Packaging,24052.0,2910.29,559.36,0.0,2350.93
T0000044,O0000017,INV0000017,IL0000044,2024-09-14,2024-09-14,C00011,P0009,SR011,South,Foodservice Packaging,14258.0,4087.77,785.67,0.0,3302.1
T0000045,O0000017,INV0000017,IL0000045,2024-09-14,2024-09-14,C00011,P0078,SR011,South,Retail Packaging,28400.0,3067.2,589.52,0.0,2477.68
T0000046,O0000018,INV0000018,IL0000046,2024-09-12,2024-09-12,C00001,P0014,SR001,Midwest,Retail Packaging,42722.0,13910.28,4506.93,0.0,9403.35
T0000047,O0000018,INV0000018,IL0000047,2024-09-12,2024-09-12,C00001,P0057,SR001,Midwest,Foodservice Packaging,28256.0,4580.3,1484.02,0.0,3096.28
T0000048,O0000019,INV0000019,IL0000048,2024-09-18,2024-09-18,C00035,P0077,SR011,South,Foodservice Packaging,13866.0,1677.79,326.33,0.0,1351.46
T0000049,O0000019,INV0000019,IL0000049,2024-09-18,2024-09-18,C00035,P0050,SR011,South,Retail Packaging,12220.0,537.68,104.58,0.0,433.1
T0000050,O0000020,INV0000020,IL0000050,2024-09-12,2024-09-12,C00026,P0009,SR002,Northeast,Foodservice Packaging,8247.0,2364.41,279.0,0.0,2085.41
T0000051,O0000020,INV0000020,IL0000051,2024-09-12,2024-09-12,C00026,P0077,SR002,Northeast,Foodservice Packaging,5199.0,629.08,74.23,0.0,554.85
T0000052,O0000020,INV0000020,IL0000052,2024-09-12,2024-09-12,C00026,P0013,SR002,Northeast,Foodservice Packaging,10282.0,1487.81,175.56,0.0,1312.24
T0000053,O0000020,INV0000020,IL0000053,2024-09-12,2024-09-12,C00026,P0024,SR002,Northeast,Private Label,9467.0,2714.19,320.27,0.0,2393.91
T0000054,O0000021,INV0000021,IL0000054,2024-09-21,2024-09-21,C00049,P0007,SR001,Midwest,Industrial,14473.0,2066.74,592.12,0.0,1474.62
T0000055,O0000021,INV0000021,IL0000055,2024-09-21,2024-09-21,C00049,P0045,SR001,Midwest,Foodservice Packaging,5060.0,298.54,85.53,0.0,213.01
T0000056,O0000021,INV0000021,IL0000056,2024-09-21,2024-09-21,C00049,P0018,SR001,Midwest,Retail Packaging,5480.0,591.84,169.56,0.0,422.28
T0000057,O0000022,INV0000022,IL0000057,2024-09-19,2024-09-19,C00034,P0060,SR010,Northeast,Private Label,7094.0,418.55,61.78,0.0,356.77
T0000058,O0000022,INV0000022,IL0000058,2024-09-19,2024-09-19,C00034,P0001,SR010,Northeast,Foodservice Packaging,13645.0,1419.08,209.46,11.52,1198.11
T0000059,O0000022,INV0000022,IL0000059,2024-09-19,2024-09-19,C00034,P0059,SR010,Northeast,Industrial,11653.0,3794.22,560.03,27.36,3206.83
T0000060,O0000022,INV0000022,IL0000060,2024-09-19,2024-09-19,C00034,P0068,SR010,Northeast,Private Label,14703.0,1873.16,276.48,0.0,1596.68
T0000061,O0000023,INV0000023,IL0000061,2024-09-02,2024-09-02,C00063,P0062,SR015,South,Retail Packaging,3654.0,442.13,94.75,0.0,347.38
T0000062,O0000023,INV0000023,IL0000062,2024-09-02,2024-09-02,C00063,P0028,SR015,South,Private Label,2647.0,383.02,82.08,0.0,300.94
T0000063,O0000023,INV0000023,IL0000063,2024-09-02,2024-09-02,C00063,P0069,SR015,South,Foodservice Packaging,2203.0,631.6,135.35,0.0,496.25
T0000064,O0000024,INV0000024,IL0000064,2024-09-12,2024-09-12,C00035,P0042,SR011,South,Retail Packaging,10802.0,1751.0,340.57,0.0,1410.43
T0000065,O0000024,INV0000024,IL0000065,2024-09-12,2024-09-12,C00035,P0051,SR011,South,Industrial,12010.0,1473.63,286.62,0.0,1187.01
T0000066,O0000024,INV0000024,IL0000066,2024-09-12,2024-09-12,C00035,P0078,SR011,South,Retail Packaging,9222.0,995.98,193.72,0.0,802.26
T0000067,O0000024,INV0000024,IL0000067,2024-09-12,2024-09-12,C00035,P0024,SR011,South,Private Label,9796.0,2808.51,546.26,0.0,2262.26
T0000068,O0000025,INV0000025,IL0000068,2024-09-04,2024-09-04,C00001,P0045,SR001,Midwest,Foodservice Packaging,27002.0,1593.12,516.17,0.0,1076.95
T0000069,O0000025,INV0000025,IL0000069,2024-09-04,2024-09-04,C00001,P0016,SR001,Midwest,Private Label,23959.0,2491.74,807.32,0.0,1684.41
T0000070,O0000026,INV0000026,IL0000070,2024-09-15,2024-09-15,C00041,P0023,SR017,Midwest,Industrial,8492.0,1081.88,340.47,0.0,741.41
T0000071,O0000026,INV0000026,IL0000071,2024-09-15,2024-09-15,C00041,P0077,SR017,Midwest,Foodservice Packaging,10327.0,1249.57,393.24,0.0,856.33
T0000072,O0000026,INV0000026,IL0000072,2024-09-15,2024-09-15,C00041,P0028,SR017,Midwest,Private Label,11383.0,1647.12,518.35,0.0,1128.77
T0000073,O0000027,INV0000027,IL0000073,2024-09-07,2024-09-07,C00001,P0015,SR001,Midwest,Industrial,39525.0,2331.98,755.56,0.0,1576.42
T0000074,O0000027,INV0000027,IL0000074,2024-09-07,2024-09-07,C00001,P0026,SR001,Midwest,Retail Packaging,30511.0,4253.23,1378.05,0.0,2875.19
T0000075,O0000028,INV0000028,IL0000075,2024-09-25,2024-09-25,C00007,P0076,SR007,South,Private Label,38113.0,3963.75,913.25,0.0,3050.5
T0000076,O0000028,INV0000028,IL0000076,2024-09-25,2024-09-25,C00007,P0080,SR007,South,Private Label,36946.0,1625.62,374.54,0.0,1251.08
T0000077,O0000029,INV0000029,IL0000077,2024-09-19,2024-09-19,C00001,P0052,SR001,Midwest,Private Label,29323.0,4187.32,1356.69,0.0,2830.63
T0000078,O0000029,INV0000029,IL0000078,2024-09-19,2024-09-19,C00001,P0026,SR001,Midwest,Retail Packaging,14726.0,2052.8,665.11,0.0,1387.7
T0000079,O0000030,INV0000030,IL0000079,2024-09-02,2024-09-02,C00001,P0046,SR001,Midwest,Retail Packaging,27317.0,2840.97,920.47,0.0,1920.49
T0000080,O0000031,INV0000031,IL0000080,2024-09-02,2024-09-02,C00001,P0063,SR001,Midwest,Industrial,20812.0,2247.7,728.25,0.0,1519.44
T0000081,O0000031,INV0000031,IL0000081,2024-09-02,2024-09-02,C00001,P0050,SR001,Midwest,Retail Packaging,25242.0,1110.65,359.85,0.0,750.8
T0000082,O0000031,INV0000031,IL0000082,2024-09-02,2024-09-02,C00001,P0031,SR001,Midwest,Industrial,13699.0,1424.7,461.6,0.0,963.09
T0000083,O0000031,INV0000031,IL0000083,2024-09-02,2024-09-02,C00001,P0009,SR001,Midwest,Foodservice Packaging,39182.0,11233.48,3639.65,90.6,7503.23
T0000084,O0000032,INV0000032,IL0000084,2024-09-12,2024-09-12,C00003,P0063,SR003,South,Industrial,22490.0,2428.92,145.74,0.0,2283.18
T0000085,O0000032,INV0000032,IL0000085,2024-09-12,2024-09-12,C00003,P0044,SR003,South,Private Label,20732.0,6750.34,405.02,0.0,6345.32
T0000086,O0000033,INV0000033,IL0000086,2024-09-24,2024-09-24,C00001,P0075,SR001,Midwest,Industrial,27225.0,1606.28,520.43,0.0,1085.84
T0000087,O0000033,INV0000033,IL0000087,2024-09-24,2024-09-24,C00001,P0026,SR001,Midwest,Retail Packaging,18168.0,2532.62,820.57,12.93,1699.12
T0000088,O0000033,INV0000033,IL0000088,2024-09-24,2024-09-24,C00001,P0020,SR001,Midwest,Private Label,40849.0,1797.36,582.34,9.9,1205.12
T0000089,O0000034,INV0000034,IL0000089,2024-09-20,2024-09-20,C00001,P0008,SR001,Midwest,Private Label,41023.0,5226.33,1693.33,56.59,3476.41
T0000090,O0000034,INV0000034,IL0000090,2024-09-20,2024-09-20,C00001,P0038,SR001,Midwest,Retail Packaging,33777.0,4303.19,1394.23,0.0,2908.96
T0000091,O0000034,INV0000034,IL0000091,2024-09-20,2024-09-20,C00001,P0020,SR001,Midwest,Private Label,36510.0,1606.44,520.49,0.0,1085.95
T0000092,O0000035,INV0000035,IL0000092,2024-09-17,2024-09-17,C00086,P0036,SR014,Northeast,Private Label,2827.0,346.87,52.52,0.0,294.36
T0000093,O0000035,INV0000035,IL0000093,2024-09-17,2024-09-17,C00086,P0077,SR014,Northeast,Foodservice Packaging,2703.0,327.06,49.52,0.0,277.55
T0000094,O0000035,INV0000035,IL0000094,2024-09-17,2024-09-17,C00086,P0049,SR014,Northeast,Foodservice Packaging,3621.0,879.9,133.22,0.0,746.69
T0000095,O0000036,INV0000036,IL0000095,2024-09-24,2024-09-24,C00002,P0069,SR002,Northeast,Foodservice Packaging,23825.0,6830.63,1000.0,36.37,5794.26
T0000096,O0000037,INV0000037,IL0000096,2024-09-01,2024-09-01,C00033,P0067,SR009,Midwest,Industrial,14109.0,2014.77,609.26,0.0,1405.5
T0000097,O0000037,INV0000037,IL0000097,2024-09-01,2024-09-01,C00033,P0059,SR009,Midwest,Industrial,5977.0,1946.11,588.5,0.0,1357.61
T0000098,O0000038,INV0000038,IL0000098,2024-09-23,2024-09-23,C00001,P0022,SR001,Midwest,Retail Packaging,43886.0,6266.92,2030.48,0.0,4236.44
T0000099,O0000038,INV0000038,IL0000099,2024-09-23,2024-09-23,C00001,P0079,SR001,Midwest,Industrial,17294.0,4202.44,1361.59,0.0,2840.85
T0000100,O0000038,INV0000038,IL0000100,2024-09-23,2024-09-23,C00001,P0010,SR001,Midwest,Retail Packaging,39706.0,2060.74,667.68,0.0,1393.06
T0000101,O0000039,INV0000039,IL0000101,2024-09-01,2024-09-01,C00002,P0036,SR002,Northeast,Private Label,33578.0,4120.02,603.17,0.0,3516.85
T0000102,O0000039,INV0000039,IL0000102,2024-09-01,2024-09-01,C00002,P0048,SR002,Northeast,Private Label,14871.0,1606.07,235.13,0.0,1370.94
T0000103,O0000039,INV0000039,IL0000103,2024-09-01,2024-09-01,C00002,P0004,SR002,Northeast,Private Label,20399.0,4956.96,725.7,0.0,4231.26
T0000104,O0000040,INV0000040,IL0000104,2024-09-06,2024-09-06,C00020,P0041,SR020,West,Foodservice Packaging,10618.0,1480.15,391.8,0.0,1088.35
T0000105,O0000040,INV0000040,IL0000105,2024-09-06,2024-09-06,C00020,P0032,SR020,West,Private Label,15089.0,1825.77,483.28,0.0,1342.49
T0000106,O0000040,INV0000040,IL0000106,2024-09-06,2024-09-06,C00020,P0061,SR020,West,Foodservice Packaging,10074.0,1047.7,277.33,10.86,759.51
T0000107,O0000041,INV0000041,IL0000107,2024-09-21,2024-09-21,C00005,P0071,SR005,Midwest,Industrial,18135.0,2528.02,765.23,0.0,1762.79
T0000108,O0000041,INV0000041,IL0000108,2024-09-21,2024-09-21,C00005,P0053,SR005,Midwest,Foodservice Packaging,19913.0,2536.92,767.92,0.0,1768.99
T0000109,O0000041,INV0000041,IL0000109,2024-09-21,2024-09-21,C00005,P0008,SR005,Midwest,Private Label,41323.0,5264.55,1593.58,0.0,3670.97
T0000110,O0000041,INV0000041,IL0000110,2024-09-21,2024-09-21,C00005,P0061,SR005,Midwest,Foodservice Packaging,20020.0,2082.08,630.25,0.0,1451.83
T0000111,O0000042,INV0000042,IL0000111,2024-09-19,2024-09-19,C00071,P0042,SR023,South,Retail Packaging,4147.0,672.23,128.8,0.0,543.43
T0000112,O0000042,INV0000042,IL0000112,2024-09-19,2024-09-19,C00071,P0033,SR023,South,Foodservice Packaging,3718.0,401.54,76.94,0.0,324.61
T0000113,O0000043,INV0000043,IL0000113,2024-09-21,2024-09-21,C00067,P0001,SR019,South,Foodservice Packaging,1655.0,172.12,39.0,0.0,133.12
T0000114,O0000043,INV0000043,IL0000114,2024-09-21,2024-09-21,C00067,P0008,SR019,South,Private Label,3019.0,384.62,87.16,0.0,297.47
T0000115,O0000043,INV0000043,IL0000115,2024-09-21,2024-09-21,C00067,P0040,SR019,South,Private Label,4606.0,239.05,54.17,0.0,184.88
T0000116,O0000043,INV0000043,IL0000116,2024-09-21,2024-09-21,C00067,P0062,SR019,South,Retail Packaging,2706.0,327.43,74.19,0.0,253.23
T0000117,O0000044,INV0000044,IL0000117,2024-09-01,2024-09-01,C00005,P0041,SR005,Midwest,Foodservice Packaging,24977.0,3481.79,1053.94,0.0,2427.85
T0000118,O0000044,INV0000044,IL0000118,2024-09-01,2024-09-01,C00005,P0045,SR005,Midwest,Foodservice Packaging,17419.0,1027.72,311.09,0.0,716.63
T0000119,O0000044,INV0000044,IL0000119,2024-09-01,2024-09-01,C00005,P0074,SR005,Midwest,Retail Packaging,33881.0,11031.65,3339.28,0.0,7692.37
T0000120,O0000045,INV0000045,IL0000120,2024-09-06,2024-09-06,C00001,P0008,SR001,Midwest,Private Label,38005.0,4841.84,1568.76,0.0,3273.08
T0000121,O0000046,INV0000046,IL0000121,2024-09-28,2024-09-28,C00001,P0039,SR001,Midwest,Industrial,27452.0,7870.49,2550.04,0.0,5320.45
T0000122,O0000047,INV0000047,IL0000122,2024-09-15,2024-09-15,C00010,P0077,SR010,Northeast,Foodservice Packaging,33561.0,4060.88,698.07,0.0,3362.82
T0000123,O0000048,INV0000048,IL0000123,2024-09-04,2024-09-04,C00002,P0062,SR002,Northeast,Retail Packaging,41114.0,4974.79,728.31,0.0,4246.48
T0000124,O0000048,INV0000048,IL0000124,2024-09-04,2024-09-04,C00002,P0025,SR002,Northeast,Foodservice Packaging,42739.0,2218.15,324.74,0.0,1893.42
T0000125,O0000049,INV0000049,IL0000125,2024-09-25,2024-09-25,C00001,P0035,SR001,Midwest,Industrial,31864.0,1402.02,454.25,0.0,947.76
T0000126,O0000049,INV0000049,IL0000126,2024-09-25,2024-09-25,C00001,P0018,SR001,Midwest,Retail Packaging,19500.0,2106.0,682.34,0.0,1423.66
T0000127,O0000049,INV0000049,IL0000127,2024-09-25,2024-09-25,C00001,P0044,SR001,Midwest,Private Label,18288.0,5954.57,1929.28,0.0,4025.29
T0000128,O0000049,INV0000049,IL0000128,2024-09-25,2024-09-25,C00001,P0024,SR001,Midwest,Private Label,30897.0,8858.17,2870.05,0.0,5988.12
T0000129,O0000050,INV0000050,IL0000129,2024-09-24,2024-09-24,C00004,P0061,SR004,West,Foodservice Packaging,19860.0,2065.44,505.21,0.0,1560.23
T0000130,O0000050,INV0000050,IL0000130,2024-09-24,2024-09-24,C00004,P0009,SR004,West,Foodservice Packaging,17108.0,4904.86,1199.73,0.0,3705.13
T0000131,O0000051,INV0000051,IL0000131,2024-09-22,2024-09-22,C00002,P0068,SR002,Northeast,Private Label,19946.0,2541.12,372.02,0.0,2169.1
T0000132,O0000052,INV0000052,IL0000132,2024-09-25,2024-09-25,C00001,P0011,SR001,Midwest,Industrial,29591.0,4124.99,1336.5,0.0,2788.49
T0000133,O0000052,INV0000052,IL0000133,2024-09-25,2024-09-25,C00001,P0068,SR001,Midwest,Private Label,22001.0,2802.93,908.15,0.0,1894.78
T0000134,O0000052,INV0000052,IL0000134,2024-09-25,2024-09-25,C00001,P0046,SR001,Midwest,Retail Packaging,41878.0,4355.31,1411.12,0.0,2944.19
T0000135,O0000053,INV0000053,IL0000135,2024-09-10,2024-09-10,C00012,P0039,SR012,West,Industrial,29479.0,8451.63,2116.29,0.0,6335.34
T0000136,O0000053,INV0000053,IL0000136,2024-09-10,2024-09-10,C00012,P0037,SR012,West,Foodservice Packaging,17774.0,2538.13,635.55,0.0,1902.58
T0000137,O0000054,INV0000054,IL0000137,2024-09-24,2024-09-24,C00010,P0013,SR010,Northeast,Foodservice Packaging,15245.0,2205.95,379.2,0.0,1826.75
T0000138,O0000054,INV0000054,IL0000138,2024-09-24,2024-09-24,C00010,P0030,SR010,Northeast,Retail Packaging,40790.0,2406.61,413.7,0.0,1992.91
T0000139,O0000054,INV0000054,IL0000139,2024-09-24,2024-09-24,C00010,P0012,SR010,Northeast,Private Label,32216.0,5222.21,897.7,0.0,4324.52
T0000140,O0000054,INV0000054,IL0000140,2024-09-24,2024-09-24,C00010,P0045,SR010,Northeast,Foodservice Packaging,25431.0,1500.43,257.92,0.0,1242.51
T0000141,O0000055,INV0000055,IL0000141,2024-09-08,2024-09-08,C00115,P0066,SR019,South,Retail Packaging,4144.0,508.47,102.25,0.0,406.22
T0000142,O0000056,INV0000056,IL0000142,2024-09-20,2024-09-20,C00086,P0045,SR014,Northeast,Foodservice Packaging,4286.0,252.87,38.29,0.0,214.59
T0000143,O0000056,INV0000056,IL0000143,2024-09-20,2024-09-20,C00086,P0005,SR014,Northeast,Foodservice Packaging,4136.0,181.98,27.55,0.0,154.43
T0000144,O0000057,INV0000057,IL0000144,2024-09-10,2024-09-10,C00088,P0023,SR016,West,Industrial,5255.0,669.49,153.45,0.0,516.04
T0000145,O0000057,INV0000057,IL0000145,2024-09-10,2024-09-10,C00088,P0035,SR016,West,Industrial,1773.0,78.01,17.88,0.0,60.13
T0000146,O0000057,INV0000057,IL0000146,2024-09-10,2024-09-10,C00088,P0052,SR016,West,Private Label,2041.0,291.45,66.8,0.0,224.65
T0000147,O0000058,INV0000058,IL0000147,2024-09-05,2024-09-05,C00005,P0059,SR005,Midwest,Industrial,31357.0,10209.84,3090.52,0.0,7119.32
T0000148,O0000058,INV0000058,IL0000148,2024-09-05,2024-09-05,C00005,P0050,SR005,Midwest,Retail Packaging,41778.0,1838.23,556.43,0.0,1281.8
T0000149,O0000058,INV0000058,IL0000149,2024-09-05,2024-09-05,C00005,P0025,SR005,Midwest,Foodservice Packaging,18791.0,975.25,295.21,0.0,680.04
T0000150,O0000058,INV0000058,IL0000150,2024-09-05,2024-09-05,C00005,P0033,SR005,Midwest,Foodservice Packaging,40915.0,4418.82,1337.58,33.57,3047.67
T0000151,O0000059,INV0000059,IL0000151,2024-09-19,2024-09-19,C00040,P0079,SR016,West,Industrial,11475.0,2788.42,730.57,0.0,2057.86
T0000152,O0000059,INV0000059,IL0000152,2024-09-19,2024-09-19,C00040,P0037,SR016,West,Foodservice Packaging,14713.0,2101.02,550.47,0.0,1550.55
T0000153,O0000060,INV0000060,IL0000153,2024-09-26,2024-09-26,C00005,P0012,SR005,Midwest,Private Label,26491.0,4294.19,1299.85,0.0,2994.34
T0000154,O0000060,INV0000060,IL0000154,2024-09-26,2024-09-26,C00005,P0048,SR005,Midwest,Private Label,25070.0,2707.56,819.58,0.0,1887.98
T0000155,O0000060,INV0000060,IL0000155,2024-09-26,2024-09-26,C00005,P0057,SR005,Midwest,Foodservice Packaging,27120.0,4396.15,1330.72,0.0,3065.44
T0000156,O0000061,INV0000061,IL0000156,2024-09-26,2024-09-26,C00027,P0053,SR003,South,Foodservice Packaging,12169.0,1550.33,331.77,10.25,1208.31
T0000157,O0000062,INV0000062,IL0000157,2024-09-27,2024-09-27,C00046,P0073,SR022,Northeast,Foodservice Packaging,6459.0,934.62,170.01,0.0,764.61
T0000158,O0000062,INV0000062,IL0000158,2024-09-27,2024-09-27,C00046,P0020,SR022,Northeast,Private Label,11627.0,511.59,93.06,0.0,418.53
T0000159,O0000062,INV0000062,IL0000159,2024-09-27,2024-09-27,C00046,P0054,SR022,Northeast,Retail Packaging,6765.0,1939.53,352.8,0.0,1586.73
T0000160,O0000062,INV0000062,IL0000160,2024-09-27,2024-09-27,C00046,P0058,SR022,Northeast,Retail Packaging,12588.0,1821.48,331.33,0.0,1490.16
T0000161,O0000063,INV0000063,IL0000161,2024-09-08,2024-09-08,C00002,P0006,SR002,Northeast,Retail Packaging,42963.0,5271.56,771.76,0.0,4499.8
T0000162,O0000063,INV0000063,IL0000162,2024-09-08,2024-09-08,C00002,P0050,SR002,Northeast,Retail Packaging,33907.0,1491.91,218.42,10.74,1262.75
T0000163,O0000064,INV0000064,IL0000163,2024-09-11,2024-09-11,C00020,P0014,SR020,West,Retail Packaging,7997.0,2603.82,689.23,0.0,1914.59
T0000164,O0000064,INV0000064,IL0000164,2024-09-11,2024-09-11,C00020,P0075,SR020,West,Industrial,9723.0,573.66,151.85,0.0,421.81
T0000165,O0000065,INV0000065,IL0000165,2024-09-24,2024-09-24,C00001,P0073,SR001,Midwest,Foodservice Packaging,40830.0,5908.1,1914.22,0.0,3993.88
T0000166,O0000065,INV0000065,IL0000166,2024-09-24,2024-09-24,C00001,P0077,SR001,Midwest,Foodservice Packaging,36365.0,4400.16,1425.65,0.0,2974.51
T0000167,O0000066,INV0000066,IL0000167,2024-09-18,2024-09-18,C00010,P0056,SR010,Northeast,Private Label,22338.0,3113.92,535.28,0.0,2578.63
