Order_ID,Customer_ID,Ship_Date,Freight_Cost
O0000306,C00005,2024-10-10,160.56
O0000307,C00055,2024-10-15,22.86
O0000308,C00001,2024-10-02,57.71
O0000309,C00042,2024-10-11,22.71
O0000310,C00093,2024-10-06,66.83
O0000311,C00007,2024-10-23,658.78
O0000312,C00040,2024-10-07,295.03
O0000313,C00004,2024-10-14,284.71
O0000314,C00052,2024-10-18,306.96
O0000315,C00043,2024-10-20,73.28
O0000316,C00001,2024-10-28,67.73
O0000317,C00001,2024-10-14,338.3
O0000318,C00119,2024-10-05,0.97
O0000319,C00012,2024-10-24,468.53
O0000320,C00011,2024-10-03,445.52
O0000321,C00055,2024-10-25,43.44
O0000322,C00084,2024-10-26,50.7
O0000323,C00007,2024-10-09,123.36
O0000324,C00026,2024-10-12,13.74
O0000325,C00104,2024-10-25,38.22
O0000326,C00001,2024-10-22,496.85
O0000327,C00004,2024-10-02,9.57
O0000328,C00001,2024-10-15,357.99
O0000329,C00075,2024-10-12,0.58
O0000330,C00001,2024-10-28,435.53
O0000331,C00002,2024-10-11,389.37
O0000332,C00001,2024-10-07,451.52
O0000333,C00030,2024-10-22,155.86
O0000334,C00063,2024-10-26,57.03
O0000335,C00042,2024-10-14,239.14
O0000336,C00001,2024-10-13,104.07
O0000337,C00002,2024-10-24,305.32
O0000338,C00115,2024-10-14,28.78
O0000339,C00023,2024-10-07,199.63
O0000340,C00001,2024-10-14,685.82
O0000341,C00025,2024-10-26,77.9
O0000342,C00022,2024-10-18,48.64
O0000343,C00014,2024-10-16,513.01
O0000344,C00009,2024-10-08,139.02
O0000345,C00025,2024-10-20,104.57
O0000346,C00033,2024-10-15,10.89
O0000347,C00004,2024-10-08,392.58
O0000348,C00001,2024-10-25,245.15
O0000349,C00001,2024-10-10,321.36
O0000350,C00001,2024-10-17,442.19
O0000351,C00001,2024-10-04,422.24
O0000352,C00009,2024-10-23,828.75
O0000353,C00014,2024-10-15,377.88
O0000354,C00011,2024-10-23,178.97
O0000355,C00001,2024-10-03,29.84
O0000356,C00002,2024-10-04,527.41
O0000357,C00001,2024-10-27,148.13
O0000358,C00002,2024-10-27,207.19
O0000359,C00012,2024-10-14,160.28
O0000360,C00001,2024-10-01,180.97
O0000361,C00001,2024-10-07,190.72
O0000362,C00011,2024-10-23,103.0
O0000363,C00090,2024-10-05,30.08
O0000364,C00080,2024-10-21,47.74
O0000365,C00004,2024-10-14,30.59
O0000366,C00088,2024-10-22,26.43
O0000367,C00014,2024-10-07,232.83
O0000368,C00105,2024-10-21,53.25
O0000369,C00006,2024-10-04,536.84
O0000370,C00014,2024-10-01,401.81
O0000371,C00030,2024-10-03,141.78
O0000372,C00012,2024-10-09,378.58
O0000373,C00002,2024-10-22,501.11
O0000374,C00082,2024-10-18,6.42
O0000375,C00001,2024-10-15,26.25
O0000376,C00031,2024-10-23,126.79
O0000377,C00082,2024-10-07,3.86
O0000378,C00002,2024-10-15,411.43
O0000379,C00020,2024-10-01,223.67
O0000380,C00001,2024-10-05,16.86
O0000381,C00058,2024-10-14,53.19
O0000382,C00001,2024-10-16,306.57
O0000383,C00029,2024-10-20,18.2
O0000384,C00001,2024-10-16,150.12
O0000385,C00047,2024-10-08,131.14
O0000386,C00061,2024-10-19,12.37
O0000387,C00102,2024-10-01,15.73
O0000388,C00009,2024-10-04,604.9
O0000389,C00001,2024-10-12,438.52
O0000390,C00013,2024-10-09,356.73
O0000391,C00050,2024-10-28,17.64
O0000392,C00048,2024-10-01,136.29
O0000393,C00009,2024-10-18,64.14
O0000394,C00053,2024-10-26,68.59
O0000395,C00098,2024-10-04,27.79
O0000396,C00001,2024-10-22,393.92
O0000397,C00012,2024-10-21,298.75
O0000398,C00001,2024-10-21,482.33
O0000399,C00012,2024-10-07,92.89
O0000400,C00042,2024-10-10,47.78
O0000401,C00002,2024-10-22,319.47
O0000402,C00001,2024-10-19,206.48
O0000403,C00002,2024-10-18,313.32
O0000404,C00008,2024-10-20,14.61
O0000405,C00013,2024-10-16,136.1
O0000406,C00056,2024-10-21,50.36
O0000407,C00117,2024-10-10,87.86
O0000408,C00048,2024-10-20,43.43
O0000409,C00002,2024-10-25,453.87
O0000410,C00008,2024-10-01,198.94
O0000411,C00002,2024-10-12,238.54
O0000412,C00063,2024-10-12,35.59
O0000413,C00001,2024-10-20,309.6
O0000414,C00001,2024-10-06,184.87
O0000415,C00111,2024-10-28,4.58
O0000416,C00030,2024-10-07,31.35
O0000417,C00036,2024-10-19,88.36
O0000418,C00026,2024-10-28,110.19
O0000419,C00029,2024-10-09,115.04
O0000420,C00011,2024-10-28,391.94
O0000421,C00025,2024-10-28,12.98
O0000422,C00002,2024-10-03,377.11
O0000423,C00079,2024-10-09,27.4
O0000424,C00025,2024-10-27,90.11
O0000425,C00001,2024-10-10,31.81
O0000426,C00086,2024-10-06,3.5
O0000427,C00001,2024-10-09,365.36
O0000428,C00001,2024-10-13,506.22
O0000429,C00001,2024-10-10,152.02
O0000430,C00095,2024-10-27,18.45
O0000431,C00002,2024-10-22,199.49
O0000432,C00005,2024-10-11,559.17
O0000433,C00001,2024-10-15,492.79
O0000434,C00018,2024-10-02,188.15
O0000435,C00005,2024-10-16,54.25
O0000436,C00082,2024-10-11,49.4
O0000437,C00007,2024-10-04,293.33
O0000438,C00115,2024-10-12,32.73
O0000439,C00011,2024-10-27,27.12
O0000440,C00001,2024-10-16,234.12
O0000441,C00119,2024-10-01,57.2
O0000442,C00001,2024-10-13,293.19
O0000443,C00037,2024-10-22,38.12
O0000444,C00012,2024-10-06,270.9
O0000445,C00027,2024-10-12,79.09
O0000446,C00018,2024-10-03,53.1
O0000447,C00071,2024-10-21,41.33
O0000448,C00001,2024-10-21,354.37
O0000449,C00045,2024-10-04,130.79
O0000450,C00029,2024-10-10,18.84
O0000451,C00001,2024-10-05,33.49
O0000452,C00002,2024-10-14,467.86
O0000453,C00011,2024-10-20,191.95
O0000454,C00009,2024-10-02,343.49
O0000455,C00004,2024-10-10,391.74
O0000456,C00022,2024-10-19,151.5
O0000457,C00019,2024-10-11,83.46
O0000458,C00001,2024-10-27,4.77
O0000459,C00001,2024-10-25,301.62
O0000460,C00069,2024-10-26,35.77
O0000461,C00003,2024-10-06,318.58
O0000462,C00009,2024-10-28,13.47
O0000463,C00025,2024-10-07,167.71
O0000464,C00060,2024-10-15,26.79
O0000465,C00001,2024-10-13,561.77
O0000466,C00001,2024-10-18,420.64
O0000467,C00087,2024-10-04,25.65
O0000468,C00008,2024-10-27,238.39
O0000469,C00091,2024-10-14,31.73
O0000470,C00002,2024-10-23,188.36
O0000471,C00056,2024-10-10,59.84
O0000472,C00041,2024-10-10,140.57
O0000473,C00085,2024-10-22,46.21
O0000474,C00021,2024-10-02,100.66
O0000475,C00009,2024-10-10,504.63
O0000476,C00006,2024-10-18,192.93
O0000477,C00001,2024-10-21,127.26
O0000478,C00013,2024-10-13,438.74
O0000479,C00001,2024-10-04,118.24
O0000480,C00001,2024-10-04,478.43
O0000481,C00001,2024-10-11,21.4
O0000482,C00084,2024-10-06,12.07
O0000483,C00001,2024-10-20,390.06
O0000484,C00041,2024-10-17,245.93
O0000485,C00101,2024-10-06,56.2
O0000486,C00002,2024-10-28,305.27
O0000487,C00116,2024-10-22,38.11
O0000488,C00002,2024-10-27,157.93
O0000489,C00023,2024-10-08,155.23
O0000490,C00001,2024-10-15,364.7
O0000491,C00043,2024-10-17,147.21
O0000492,C00057,2024-10-07,13.79
O0000493,C00040,2024-10-02,57.69
O0000494,C00026,2024-10-18,176.18
O0000495,C00073,2024-10-17,35.13
O0000496,C00001,2024-10-17,553.09
O0000497,C00001,2024-10-08,55.35
O0000498,C00090,2024-10-06,30.62
O0000499,C00004,2024-10-13,205.15
O0000500,C00001,2024-10-20,597.39
O0000501,C00098,2024-10-27,23.08
O0000502,C00037,2024-10-08,8.87
O0000503,C00001,2024-10-24,105.01
O0000504,C00014,2024-10-19,82.78
O0000505,C00024,2024-10-17,20.53
O0000506,C00052,2024-10-05,213.9
O0000507,C00001,2024-10-18,27.02
O0000508,C00083,2024-10-22,53.79
O0000509,C00011,2024-10-09,460.24
O0000510,C00009,2024-10-21,312.59
O0000511,C00001,2024-10-28,8.0
O0000512,C00002,2024-10-04,56.46
O0000513,C00012,2024-10-27,461.28
O0000514,C00107,2024-10-20,39.28
O0000515,C00028,2024-10-09,74.33
O0000516,C00027,2024-10-25,114.17
O0000517,C00011,2024-10-06,360.96
O0000518,C00032,2024-10-16,89.67
O0000519,C00021,2024-10-21,147.77
O0000520,C00017,2024-10-15,91.74
O0000521,C00019,2024-11-02,259.49
O0000522,C00020,2024-11-28,11.56
O0000523,C00001,2024-11-13,505.94
O0000524,C00001,2024-11-06,244.08
O0000525,C00073,2024-11-22,4.92
O0000526,C00001,2024-11-20,376.06
O0000527,C00021,2024-11-12,107.04
O0000528,C00004,2024-11-25,7.51
O0000529,C00044,2024-11-17,91.12
O0000530,C00064,2024-11-05,13.12
O0000531,C00080,2024-11-26,39.48
O0000532,C00001,2024-11-12,349.02
O0000533,C00043,2024-11-24,22.61
O0000534,C00081,2024-11-09,24.35
O0000535,C00028,2024-11-25,82.96
O0000536,C00048,2024-11-09,99.0
O0000537,C00010,2024-11-27,351.92
O0000538,C00006,2024-11-27,287.01
O0000539,C00001,2024-11-10,130.37
O0000540,C00009,2024-11-04,352.01
O0000541,C00081,2024-11-23,61.89
O0000542,C00001,2024-11-10,402.34
O0000543,C00001,2024-11-21,292.35
O0000544,C00002,2024-11-24,234.08
O0000545,C00004,2024-11-16,583.61
O0000546,C00055,2024-11-24,39.93
O0000547,C00001,2024-11-08,36.41
O0000548,C00001,2024-11-03,272.09
O0000549,C00002,2024-11-14,5.96
O0000550,C00010,2024-11-11,109.57
O0000551,C00105,2024-11-08,23.31
O0000552,C00009,2024-11-08,298.0
O0000553,C00002,2024-11-04,318.43
O0000554,C00117,2024-11-18,20.17
O0000555,C00001,2024-11-09,109.84
O0000556,C00027,2024-11-15,31.04
O0000557,C00014,2024-11-10,233.3
O0000558,C00001,2024-11-28,97.24
O0000559,C00004,2024-11-20,298.62
O0000560,C00001,2024-11-01,82.28
O0000561,C00030,2024-11-24,153.34
O0000562,C00016,2024-11-16,17.09
O0000563,C00047,2024-11-02,93.21
O0000564,C00022,2024-11-16,27.37
O0000565,C00097,2024-11-02,42.09
O0000566,C00001,2024-11-16,314.67
O0000567,C00046,2024-11-04,205.42
O0000568,C00016,2024-11-07,187.47
O0000569,C00001,2024-11-05,11.85
O0000570,C00003,2024-11-25,145.63
O0000571,C00001,2024-11-24,342.29
O0000572,C00004,2024-11-13,7.53
O0000573,C00001,2024-11-16,580.85
O0000574,C00002,2024-11-06,382.01
O0000575,C00013,2024-11-04,6.24
O0000576,C00002,2024-11-08,196.94
O0000577,C00001,2024-11-27,237.37
O0000578,C00051,2024-11-09,62.08
O0000579,C00016,2024-11-12,52.4
O0000580,C00006,2024-11-16,136.72
O0000581,C00001,2024-11-12,88.42
O0000582,C00001,2024-11-03,302.95
O0000583,C00001,2024-11-05,249.34
O0000584,C00041,2024-11-10,37.62
O0000585,C00007,2024-11-07,485.79
O0000586,C00003,2024-11-03,7.76
O0000587,C00024,2024-11-12,1.45
O0000588,C00001,2024-11-08,241.29
O0000589,C00073,2024-11-24,23.06
O0000590,C00001,2024-11-05,26.06
O0000591,C00001,2024-11-13,320.88
O0000592,C00004,2024-11-13,7.57
O0000593,C00003,2024-11-24,144.93
O0000594,C00051,2024-11-27,29.4
O0000595,C00003,2024-11-06,174.23
O0000596,C00001,2024-11-04,77.02
O0000597,C00001,2024-11-20,344.23
O0000598,C00034,2024-11-15,144.62
O0000599,C00002,2024-11-08,463.7
O0000600,C00015,2024-11-04,136.58
O0000601,C00033,2024-11-28,2.9
O0000602,C00071,2024-11-15,23.93
O0000603,C00019,2024-11-28,15.77
O0000604,C00053,2024-11-25,7.18
O0000605,C00036,2024-11-06,150.92
O0000606,C00001,2024-11-04,381.87
O0000607,C00001,2024-11-19,724.7
O0000608,C00053,2024-11-24,80.12
O0000609,C00042,2024-11-05,60.04
O0000610,C00027,2024-11-28,130.55
O0000611,C00001,2024-11-15,569.56
O0000612,C00042,2024-11-03,94.9
O0000613,C00116,2024-11-21,22.61
O0000614,C00004,2024-11-07,243.56
O0000615,C00047,2024-11-17,53.33
O0000616,C00009,2024-11-18,369.06
O0000617,C00001,2024-11-09,154.51
O0000618,C00033,2024-11-22,10.67
O0000619,C00011,2024-11-13,555.08
O0000620,C00001,2024-11-23,367.73
O0000621,C00001,2024-11-11,202.33
O0000622,C00007,2024-11-27,303.67
O0000623,C00007,2024-11-18,704.5
O0000624,C00031,2024-11-12,3.86
O0000625,C00001,2024-11-28,335.9
O0000626,C00114,2024-11-21,1.16
O0000627,C00052,2024-11-12,84.09
O0000628,C00032,2024-11-19,53.85
O0000629,C00054,2024-11-17,78.68
O0000630,C00028,2024-11-15,310.98
O0000631,C00002,2024-11-17,109.79
O0000632,C00001,2024-11-10,575.87
O0000633,C00001,2024-11-02,228.92
O0000634,C00076,2024-11-25,60.21
O0000635,C00013,2024-11-04,561.9
O0000636,C00022,2024-11-11,116.93
O0000637,C00002,2024-11-11,37.59
O0000638,C00064,2024-11-06,58.57
O0000639,C00008,2024-11-17,24.07
O0000640,C00082,2024-11-14,58.54
O0000641,C00029,2024-11-23,151.21
O0000642,C00012,2024-11-15,198.0
O0000643,C00001,2024-11-16,521.39
O0000644,C00023,2024-11-06,131.12
O0000645,C00013,2024-11-16,160.05
O0000646,C00002,2024-11-03,178.69
O0000647,C00026,2024-11-15,163.88
O0000648,C00001,2024-11-08,311.61
O0000649,C00116,2024-11-18,10.35
O0000650,C00001,2024-11-03,301.46
O0000651,C00003,2024-11-27,215.0
O0000652,C00029,2024-11-11,6.89
O0000653,C00051,2024-11-07,176.84
O0000654,C00001,2024-11-03,117.46
O0000655,C00004,2024-11-26,250.89
O0000656,C00040,2024-11-23,210.29
O0000657,C00109,2024-11-17,52.0
O0000658,C00033,2024-11-27,104.93
O0000659,C00075,2024-11-17,31.31
O0000660,C00005,2024-11-19,9.24
O0000661,C00016,2024-11-16,96.27
O0000662,C00106,2024-11-02,67.07
O0000663,C00038,2024-11-18,42.93
O0000664,C00001,2024-11-08,17.18
O0000665,C00035,2024-11-15,111.46
O0000666,C00012,2024-11-08,250.74
O0000667,C00038,2024-11-26,39.19
O0000668,C00103,2024-11-05,25.9
O0000669,C00001,2024-11-15,48.13
O0000670,C00005,2024-11-13,5.71
O0000671,C00052,2024-11-01,100.76
O0000672,C00100,2024-11-22,59.18
O0000673,C00029,2024-11-18,70.43
O0000674,C00001,2024-11-24,130.68
O0000675,C00003,2024-11-17,302.81
O0000676,C00004,2024-11-13,626.17
O0000677,C00063,2024-11-12,13.17
O0000678,C00001,2024-11-14,146.57
O0000679,C00043,2024-11-20,134.84
O0000680,C00015,2024-11-03,388.68
O0000681,C00016,2024-11-23,96.63
O0000682,C00011,2024-11-08,321.79
O0000683,C00031,2024-11-11,141.47
O0000684,C00013,2024-11-14,16.8
O0000685,C00031,2024-11-14,2.58
O0000686,C00005,2024-11-18,786.18
O0000687,C00035,2024-11-18,78.45
O0000688,C00001,2024-11-22,237.46
O0000689,C00022,2024-11-11,216.34
O0000690,C00012,2024-11-09,434.06
O0000691,C00002,2024-11-13,18.84
O0000692,C00042,2024-11-03,125.75
O0000693,C00091,2024-11-18,40.92
O0000694,C00001,2024-11-06,383.24
O0000695,C00082,2024-11-24,29.37
O0000696,C00001,2024-11-23,363.74
O0000697,C00001,2024-11-08,346.04
