Fiscal_Year,Fiscal_Period,Profit_Center,Cost_Center,Budget_Revenue,Budget_Cost,Budget_Profit,Forecast_Revenue,Forecast_Cost
2025,11,PC003,CC003,328985.6,210550.79,118434.82,337198.26,206071.8
2025,11,PC004,CC006,346986.58,222071.41,124915.17,344683.61,230267.94
2025,12,PC001,CC006,335495.68,214717.24,120778.45,349098.76,214146.47
2025,12,PC002,CC004,341982.17,218868.59,123113.58,340234.93,223211.71
2025,12,PC003,CC004,339764.93,217449.55,122315.37,353737.32,215149.57
2025,12,PC004,CC001,307069.57,196524.53,110545.05,320914.14,205802.76
2026,1,PC001,CC004,286002.13,183041.36,102960.77,278964.22,187937.53
2026,1,PC002,CC008,284200.96,181888.61,102312.35,292400.78,179357.29
2026,1,PC003,CC002,306778.48,196338.23,110440.25,320303.11,192860.29
2026,1,PC004,CC006,297105.77,190147.69,106958.08,300910.53,198282.05
2026,2,PC001,CC006,311774.29,199535.54,112238.74,327230.34,202498.41
2026,2,PC002,CC003,318468.4,203819.78,114648.62,325845.07,197788.31
2026,2,PC003,CC006,347134.68,222166.19,124968.48,338696.84,219319.56
2026,2,PC004,CC001,336057.71,215076.93,120980.77,343156.88,219303.98
2026,3,PC001,CC007,323879.63,207282.96,116596.67,327468.68,208198.65
2026,3,PC002,CC005,314210.47,201094.7,113115.77,326858.13,201222.16
2026,3,PC003,CC003,335922.21,214990.22,120932.0,342305.49,212393.22
2026,3,PC004,CC005,308645.06,197532.84,111112.22,311618.81,194824.13
2026,4,PC001,CC001,312261.69,199847.48,112414.21,323821.58,201664.15
2026,4,PC002,CC004,315533.93,201941.72,113592.21,317100.61,200140.29
2026,4,PC003,CC002,302385.45,193526.69,108858.76,314296.8,196524.6
2026,4,PC004,CC001,337833.21,216213.25,121619.96,328094.95,221029.13
2026,5,PC001,CC006,333110.57,213190.77,119919.81,325059.92,207293.41
2026,5,PC002,CC007,367337.98,235096.31,132241.67,379026.07,240049.64
2026,5,PC003,CC005,333030.83,213139.73,119891.1,339238.15,208653.5
2026,5,PC004,CC003,328845.36,210461.03,118384.33,321607.27,216026.96
2026,6,PC001,CC003,396034.58,253462.13,142572.45,405783.67,264259.47
2026,6,PC002,CC004,382930.79,245075.7,137855.08,382902.23,240474.14
2026,6,PC003,CC005,408802.65,261633.7,147168.96,415258.92,266830.93
2026,6,PC004,CC005,377243.55,241435.87,135807.68,381301.1,235533.71
2026,7,PC001,CC007,402561.38,257639.28,144922.1,405115.3,256794.59
2026,7,PC002,CC002,390774.13,250095.44,140678.69,379142.12,246827.6
2026,7,PC003,CC003,420772.38,269294.32,151478.06,426324.24,269302.01
2026,7,PC004,CC004,439142.36,281051.11,158091.25,448457.02,286589.58
2026,8,PC001,CC001,229407.68,146820.92,82586.77,227365.25,148337.48
2026,8,PC002,CC006,227805.87,145795.75,82010.11,225283.81,146522.99
2026,8,PC003,CC002,224691.41,143802.5,80888.91,220287.81,142230.74
2026,8,PC004,CC005,231659.11,148261.83,83397.28,238637.17,150214.17
