Transaction_ID,Product_ID,Plant_ID,Material_ID,Production_Date,Units_Produced,Material_KG,Machine_Hours,Material_Cost,Labor_Cost,Scrap_Rate
T0000040,P0069,PLANT-EAST,RPET,2024-09-21,30099,994.476,1.5842,3367.2,54.34,0.052
T0000041,P0075,PLANT-CENTRAL,PLA Paper,2024-09-21,31518,232.294,0.3283,907.62,10.53,0.017
T0000042,P0041,PLANT-EAST,Bagasse,2024-09-14,33635,676.078,0.8009,1252.5,27.47,0.031
T0000043,P0002,PLANT-WEST,Molded Fiber,2024-09-14,25264,505.294,0.9717,1047.68,37.82,0.048
T0000044,P0009,PLANT-EAST,RPET,2024-09-14,15040,496.924,0.7916,1682.54,27.15,0.052
T0000045,P0078,PLANT-WEST,PLA Paper,2024-09-14,29038,319.427,0.528,1248.07,20.55,0.022
T0000046,P0014,PLANT-WEST,RPET,2024-09-12,45065,1690.854,2.3719,5725.06,92.31,0.052
T0000047,P0057,PLANT-EAST,Molded Fiber,2024-09-12,29680,795.442,1.1416,1649.27,39.16,0.048
T0000048,P0077,PLANT-EAST,Molded Fiber,2024-09-18,14565,291.303,0.5602,603.99,19.21,0.048
T0000049,P0050,PLANT-WEST,PLA Paper,2024-09-18,12431,68.372,0.1295,267.14,5.04,0.017
T0000050,P0009,PLANT-EAST,RPET,2024-09-12,8699,287.427,0.4579,973.2,15.7,0.052
T0000051,P0077,PLANT-EAST,Molded Fiber,2024-09-12,5461,109.223,0.21,226.46,7.2,0.048
T0000052,P0013,PLANT-EAST,PLA Paper,2024-09-12,10513,154.966,0.1912,605.48,6.56,0.022
T0000053,P0024,PLANT-SOUTH,RPET,2024-09-12,9986,329.947,0.5256,1117.17,15.67,0.052
T0000054,P0007,PLANT-CENTRAL,Molded Fiber,2024-09-21,15202,358.784,0.5847,743.9,18.75,0.048
T0000055,P0045,PLANT-EAST,PLA Paper,2024-09-21,5147,37.937,0.0536,148.23,1.84,0.017
T0000056,P0018,PLANT-WEST,PLA Paper,2024-09-21,5603,61.636,0.1019,240.82,3.97,0.022
T0000057,P0060,PLANT-SOUTH,PLA Paper,2024-09-19,7216,53.187,0.0752,207.81,2.24,0.017
T0000058,P0001,PLANT-EAST,Bagasse,2024-09-19,14081,211.223,0.3353,391.31,11.5,0.031
T0000059,P0059,PLANT-CENTRAL,RPET,2024-09-19,12292,461.203,0.647,1561.59,20.74,0.052
T0000060,P0068,PLANT-SOUTH,PLA Paper,2024-09-19,15033,195.138,0.2733,762.44,8.15,0.022
T0000061,P0062,PLANT-WEST,Molded Fiber,2024-09-02,3838,76.765,0.1476,159.16,5.75,0.048
T0000062,P0028,PLANT-SOUTH,PLA Paper,2024-09-02,2706,39.894,0.0492,155.88,1.47,0.022
T0000063,P0069,PLANT-EAST,RPET,2024-09-02,2323,76.78,0.1223,259.97,4.2,0.052
T0000064,P0042,PLANT-WEST,Molded Fiber,2024-09-12,11346,304.09,0.4364,630.5,16.99,0.048
T0000065,P0051,PLANT-CENTRAL,Bagasse,2024-09-12,12394,219.378,0.2951,406.42,9.46,0.031
T0000066,P0078,PLANT-WEST,PLA Paper,2024-09-12,9429,103.724,0.1714,405.27,6.67,0.022
T0000067,P0024,PLANT-SOUTH,RPET,2024-09-12,10333,341.413,0.5439,1155.99,16.22,0.052
T0000068,P0045,PLANT-EAST,PLA Paper,2024-09-04,27468,202.446,0.2861,791.0,9.81,0.017
T0000069,P0016,PLANT-SOUTH,Bagasse,2024-09-04,24725,370.882,0.5887,687.1,17.56,0.031
T0000070,P0023,PLANT-CENTRAL,PLA Paper,2024-09-15,8683,112.706,0.1579,440.36,5.06,0.022
T0000071,P0077,PLANT-EAST,Molded Fiber,2024-09-15,10847,216.954,0.4172,449.83,14.31,0.048
T0000072,P0028,PLANT-SOUTH,PLA Paper,2024-09-15,11639,171.56,0.2116,670.32,6.31,0.022
T0000073,P0015,PLANT-CENTRAL,PLA Paper,2024-09-07,40208,296.337,0.4188,1157.85,13.43,0.017
T0000074,P0026,PLANT-WEST,Bagasse,2024-09-07,31487,632.891,0.7497,1172.49,29.18,0.031
T0000075,P0076,PLANT-SOUTH,Bagasse,2024-09-25,39332,589.985,0.9365,1093.01,27.93,0.031
T0000076,P0080,PLANT-SOUTH,PLA Paper,2024-09-25,37584,206.717,0.3915,807.69,11.67,0.017
T0000077,P0052,PLANT-SOUTH,Molded Fiber,2024-09-19,30801,726.915,1.1847,1507.18,35.33,0.048
T0000078,P0026,PLANT-WEST,Bagasse,2024-09-19,15197,305.462,0.3618,565.9,14.08,0.031
T0000079,P0046,PLANT-WEST,Bagasse,2024-09-02,28190,422.864,0.6712,783.4,26.12,0.031
T0000080,P0063,PLANT-CENTRAL,PLA Paper,2024-09-02,21280,234.082,0.3869,914.6,12.4,0.022
T0000081,P0050,PLANT-WEST,PLA Paper,2024-09-02,25678,141.232,0.2675,551.82,10.41,0.017
T0000082,P0031,PLANT-CENTRAL,Bagasse,2024-09-02,14137,212.059,0.3366,392.86,10.79,0.031
T0000083,P0009,PLANT-EAST,RPET,2024-09-02,41331,1365.584,2.1753,4623.73,74.61,0.052
T0000084,P0063,PLANT-CENTRAL,PLA Paper,2024-09-12,22995,252.955,0.4181,988.35,13.4,0.022
T0000085,P0044,PLANT-SOUTH,RPET,2024-09-12,21869,820.532,1.151,2778.24,34.32,0.052
T0000086,P0075,PLANT-CENTRAL,PLA Paper,2024-09-24,27695,204.118,0.2885,797.53,9.25,0.017
T0000087,P0026,PLANT-WEST,Bagasse,2024-09-24,18749,376.859,0.4464,698.17,17.37,0.031
T0000088,P0020,PLANT-SOUTH,PLA Paper,2024-09-24,41555,228.555,0.4329,893.01,12.91,0.017
T0000089,P0008,PLANT-SOUTH,PLA Paper,2024-09-20,41945,544.457,0.7627,2127.3,22.74,0.022
T0000090,P0038,PLANT-WEST,PLA Paper,2024-09-20,34536,448.288,0.6279,1751.55,24.44,0.022
T0000091,P0020,PLANT-SOUTH,PLA Paper,2024-09-20,37141,204.278,0.3869,798.15,11.54,0.017
T0000092,P0036,PLANT-SOUTH,Bagasse,2024-09-17,2917,51.639,0.0695,95.67,2.07,0.031
T0000093,P0077,PLANT-EAST,Molded Fiber,2024-09-17,2839,56.786,0.1092,117.74,3.75,0.048
T0000094,P0049,PLANT-EAST,RPET,2024-09-17,3819,106.949,0.201,362.12,6.9,0.052
T0000095,P0069,PLANT-EAST,RPET,2024-09-24,25131,830.357,1.3227,2811.5,45.37,0.052
T0000096,P0067,PLANT-CENTRAL,Molded Fiber,2024-09-01,14820,349.761,0.57,725.19,18.27,0.048
T0000097,P0059,PLANT-CENTRAL,RPET,2024-09-01,6304,236.558,0.3318,800.96,10.64,0.052
T0000098,P0022,PLANT-WEST,Molded Fiber,2024-09-23,46098,1087.93,1.773,2255.71,69.01,0.048
T0000099,P0079,PLANT-CENTRAL,RPET,2024-09-23,18242,510.793,0.9601,1729.49,30.78,0.052
T0000100,P0010,PLANT-WEST,PLA Paper,2024-09-23,40392,262.148,0.4208,1024.27,16.38,0.017
T0000101,P0036,PLANT-SOUTH,Bagasse,2024-09-01,34652,613.344,0.8251,1136.28,24.6,0.031
T0000102,P0048,PLANT-SOUTH,PLA Paper,2024-09-01,15205,167.261,0.2765,653.52,8.24,0.022
T0000103,P0004,PLANT-SOUTH,RPET,2024-09-01,21517,602.502,1.1325,2040.01,33.77,0.052
T0000104,P0041,PLANT-EAST,Bagasse,2024-09-06,10957,220.25,0.2609,408.03,8.95,0.031
T0000105,P0032,PLANT-SOUTH,Molded Fiber,2024-09-06,15849,316.996,0.6096,657.26,18.18,0.048
T0000106,P0061,PLANT-EAST,Bagasse,2024-09-06,10396,155.944,0.2475,288.9,8.49,0.031
T0000107,P0071,PLANT-CENTRAL,Bagasse,2024-09-21,18715,376.175,0.4456,696.9,14.29,0.031
T0000108,P0053,PLANT-EAST,PLA Paper,2024-09-21,20360,264.285,0.3702,1032.61,12.7,0.022
T0000109,P0008,PLANT-SOUTH,PLA Paper,2024-09-21,42252,548.438,0.7682,2142.86,22.91,0.022
T0000110,P0061,PLANT-EAST,Bagasse,2024-09-21,20660,309.907,0.4919,574.13,16.87,0.031
T0000111,P0042,PLANT-WEST,Molded Fiber,2024-09-19,4356,116.743,0.1675,242.06,6.52,0.048
T0000112,P0033,PLANT-EAST,PLA Paper,2024-09-19,3801,41.818,0.0691,163.39,2.37,0.022
T0000113,P0001,PLANT-EAST,Bagasse,2024-09-21,1707,25.619,0.0407,47.46,1.39,0.031
T0000114,P0008,PLANT-SOUTH,PLA Paper,2024-09-21,3086,40.068,0.0561,156.55,1.67,0.022
T0000115,P0040,PLANT-SOUTH,PLA Paper,2024-09-21,4685,30.41,0.0488,118.82,1.46,0.017
T0000116,P0062,PLANT-WEST,Molded Fiber,2024-09-21,2842,56.849,0.1093,117.87,4.25,0.048
T0000117,P0041,PLANT-EAST,Bagasse,2024-09-01,25776,518.099,0.6137,959.83,21.05,0.031
T0000118,P0045,PLANT-EAST,PLA Paper,2024-09-01,17720,130.598,0.1846,510.27,6.33,0.017
T0000119,P0074,PLANT-WEST,RPET,2024-09-01,35739,1340.944,1.881,4540.3,73.21,0.052
T0000120,P0008,PLANT-SOUTH,PLA Paper,2024-09-06,38859,504.402,0.7065,1970.8,21.07,0.022
T0000121,P0039,PLANT-CENTRAL,RPET,2024-09-28,28957,956.766,1.5241,3239.51,48.86,0.052
T0000122,P0077,PLANT-EAST,Molded Fiber,2024-09-15,35253,705.063,1.3559,1461.88,46.51,0.048
T0000123,P0062,PLANT-WEST,Molded Fiber,2024-09-04,43186,863.739,1.661,1790.88,64.65,0.048
T0000124,P0025,PLANT-EAST,PLA Paper,2024-09-04,43478,282.173,0.4529,1102.51,15.53,0.017
T0000125,P0035,PLANT-CENTRAL,PLA Paper,2024-09-25,32415,178.283,0.3377,696.59,10.83,0.017
T0000126,P0018,PLANT-WEST,PLA Paper,2024-09-25,19938,219.325,0.3625,856.95,14.11,0.022
T0000127,P0044,PLANT-SOUTH,RPET,2024-09-25,19291,723.804,1.0153,2450.73,30.28,0.052
T0000128,P0024,PLANT-SOUTH,RPET,2024-09-25,32591,1076.832,1.7154,3646.05,51.15,0.052
T0000129,P0061,PLANT-EAST,Bagasse,2024-09-24,20495,307.43,0.488,569.55,16.74,0.031
T0000130,P0009,PLANT-EAST,RPET,2024-09-24,18046,596.254,0.9498,2018.85,32.58,0.052
T0000131,P0068,PLANT-SOUTH,PLA Paper,2024-09-22,20394,264.723,0.3708,1034.33,11.06,0.022
T0000132,P0011,PLANT-CENTRAL,Bagasse,2024-09-25,30537,613.807,0.7271,1137.14,23.31,0.031
T0000133,P0068,PLANT-SOUTH,PLA Paper,2024-09-25,22495,291.997,0.409,1140.89,12.2,0.022
T0000134,P0046,PLANT-WEST,Bagasse,2024-09-25,43217,648.266,1.029,1200.98,40.05,0.031
T0000135,P0039,PLANT-CENTRAL,RPET,2024-09-10,31095,1027.412,1.6366,3478.71,52.47,0.052
T0000136,P0037,PLANT-EAST,Molded Fiber,2024-09-10,18670,440.616,0.7181,913.57,24.63,0.048
T0000137,P0013,PLANT-EAST,PLA Paper,2024-09-24,15587,229.766,0.2834,897.74,9.72,0.022
T0000138,P0030,PLANT-WEST,PLA Paper,2024-09-24,41495,305.821,0.4322,1194.9,16.82,0.017
T0000139,P0012,PLANT-SOUTH,Molded Fiber,2024-09-24,33840,906.921,1.3016,1880.41,38.81,0.048
T0000140,P0045,PLANT-EAST,PLA Paper,2024-09-24,25870,190.668,0.2695,744.98,9.24,0.017
T0000141,P0066,PLANT-WEST,Bagasse,2024-09-08,4276,75.695,0.1018,140.23,3.96,0.031
T0000142,P0045,PLANT-EAST,PLA Paper,2024-09-20,4360,32.134,0.0454,125.55,1.56,0.017
T0000143,P0005,PLANT-EAST,PLA Paper,2024-09-20,4207,23.141,0.0438,90.42,1.5,0.017
T0000144,P0023,PLANT-CENTRAL,PLA Paper,2024-09-10,5373,69.744,0.0977,272.5,3.13,0.022
T0000145,P0035,PLANT-CENTRAL,PLA Paper,2024-09-10,1803,9.92,0.0188,38.76,0.6,0.017
T0000146,P0052,PLANT-SOUTH,Molded Fiber,2024-09-10,2143,50.596,0.0825,104.91,2.46,0.048
T0000147,P0059,PLANT-CENTRAL,RPET,2024-09-05,33077,1241.049,1.7409,4202.07,55.81,0.052
T0000148,P0050,PLANT-WEST,PLA Paper,2024-09-05,42500,233.753,0.4427,913.32,17.23,0.017
T0000149,P0025,PLANT-EAST,PLA Paper,2024-09-05,19115,124.063,0.1991,484.74,6.83,0.017
T0000150,P0033,PLANT-EAST,PLA Paper,2024-09-05,41835,460.189,0.7606,1798.05,26.09,0.022
T0000151,P0079,PLANT-CENTRAL,RPET,2024-09-19,12104,338.924,0.6371,1147.56,20.42,0.052
T0000152,P0037,PLANT-EAST,Molded Fiber,2024-09-19,15454,364.734,0.5944,756.24,20.39,0.048
T0000153,P0012,PLANT-SOUTH,Molded Fiber,2024-09-26,27826,745.755,1.0703,1546.25,31.92,0.048
T0000154,P0048,PLANT-SOUTH,PLA Paper,2024-09-26,25633,281.973,0.4661,1101.73,13.9,0.022
T0000155,P0057,PLANT-EAST,Molded Fiber,2024-09-26,28487,763.462,1.0957,1582.96,37.58,0.048
T0000156,P0053,PLANT-EAST,PLA Paper,2024-09-26,12442,161.507,0.2262,631.04,7.76,0.022
T0000157,P0073,PLANT-EAST,PLA Paper,2024-09-27,6604,97.347,0.1201,380.36,4.12,0.022
T0000158,P0020,PLANT-SOUTH,PLA Paper,2024-09-27,11828,65.054,0.1232,254.18,3.67,0.017
T0000159,P0054,PLANT-WEST,RPET,2024-09-27,7136,235.776,0.3756,798.31,14.62,0.052
T0000160,P0058,PLANT-WEST,PLA Paper,2024-09-27,12871,189.721,0.234,741.28,9.11,0.022
T0000161,P0006,PLANT-WEST,Bagasse,2024-09-08,44337,784.773,1.0557,1453.87,41.09,0.031
T0000162,P0050,PLANT-WEST,PLA Paper,2024-09-08,34493,189.714,0.3593,741.25,13.98,0.017
T0000163,P0014,PLANT-WEST,RPET,2024-09-11,8435,316.506,0.444,1071.66,17.28,0.052
T0000164,P0075,PLANT-CENTRAL,PLA Paper,2024-09-11,9891,72.898,0.103,284.83,3.3,0.017
T0000165,P0073,PLANT-EAST,PLA Paper,2024-09-24,41748,615.372,0.7591,2404.38,26.04,0.022
T0000166,P0077,PLANT-EAST,Molded Fiber,2024-09-24,38198,763.971,1.4692,1584.02,50.39,0.048
T0000167,P0056,PLANT-SOUTH,Bagasse,2024-09-18,23052,463.358,0.5489,858.42,16.37,0.031
T0000168,P0020,PLANT-SOUTH,PLA Paper,2024-09-18,31483,173.158,0.328,676.56,9.78,0.017
T0000169,P0046,PLANT-WEST,Bagasse,2024-09-19,4956,74.35,0.118,137.74,4.59,0.031
T0000170,P0068,PLANT-SOUTH,PLA Paper,2024-09-19,13940,180.95,0.2535,707.01,7.56,0.022
T0000171,P0010,PLANT-WEST,PLA Paper,2024-09-17,15219,98.776,0.1585,385.94,6.17,0.017
T0000172,P0049,PLANT-EAST,RPET,2024-09-11,45034,1260.975,2.3703,4269.53,81.3,0.052
T0000173,P0071,PLANT-CENTRAL,Bagasse,2024-09-11,18363,369.102,0.4372,683.8,14.02,0.031
T0000174,P0036,PLANT-SOUTH,Bagasse,2024-09-07,3139,55.566,0.0747,102.94,2.23,0.031
T0000175,P0009,PLANT-EAST,RPET,2024-09-07,3457,114.246,0.182,386.83,6.24,0.052
T0000176,P0057,PLANT-EAST,Molded Fiber,2024-09-07,4068,109.03,0.1565,226.06,5.37,0.048
T0000177,P0008,PLANT-SOUTH,PLA Paper,2024-09-05,38033,493.678,0.6915,1928.9,20.62,0.022
T0000178,P0005,PLANT-EAST,PLA Paper,2024-09-05,24444,134.445,0.2546,525.3,8.73,0.017
T0000179,P0017,PLANT-EAST,Molded Fiber,2024-09-05,40972,819.454,1.5759,1699.06,54.05,0.048
T0000180,P0060,PLANT-SOUTH,PLA Paper,2024-09-19,38002,280.075,0.3959,1094.31,11.8,0.017
T0000181,P0026,PLANT-WEST,Bagasse,2024-09-16,15722,316.02,0.3743,585.46,14.57,0.031
T0000182,P0071,PLANT-CENTRAL,Bagasse,2024-09-16,38091,765.646,0.9069,1418.44,29.08,0.031
T0000183,P0013,PLANT-EAST,PLA Paper,2024-09-16,41099,605.802,0.7473,2366.99,25.63,0.022
T0000184,P0008,PLANT-SOUTH,PLA Paper,2024-09-16,19345,251.106,0.3517,981.12,10.49,0.022
T0000185,P0004,PLANT-SOUTH,RPET,2024-09-02,26638,745.869,1.402,2525.44,41.81,0.052
T0000186,P0065,PLANT-EAST,PLA Paper,2024-09-02,21543,118.488,0.2244,462.96,7.7,0.017
T0000187,P0030,PLANT-WEST,PLA Paper,2024-09-21,6943,51.17,0.0723,199.93,2.81,0.017
T0000188,P0025,PLANT-EAST,PLA Paper,2024-09-21,6006,38.98,0.0626,152.3,2.15,0.017
T0000189,P0066,PLANT-WEST,Bagasse,2024-09-07,26436,467.927,0.6294,866.88,24.5,0.031
T0000190,P0032,PLANT-SOUTH,Molded Fiber,2024-09-06,15763,315.273,0.6063,653.69,18.08,0.048
T0000191,P0073,PLANT-EAST,PLA Paper,2024-09-06,7202,106.164,0.131,414.8,4.49,0.022
T0000192,P0059,PLANT-CENTRAL,RPET,2024-09-25,31546,1183.621,1.6603,4007.62,53.23,0.052
T0000193,P0001,PLANT-EAST,Bagasse,2024-09-25,36106,541.594,0.8597,1003.36,29.49,0.031
T0000194,P0034,PLANT-WEST,RPET,2024-09-18,40196,1125.494,2.1156,3810.81,82.34,0.052
T0000195,P0023,PLANT-CENTRAL,PLA Paper,2024-09-18,27017,350.686,0.4912,1370.2,15.75,0.022
T0000196,P0045,PLANT-EAST,PLA Paper,2024-09-22,15752,116.098,0.1641,453.62,5.63,0.017
T0000197,P0052,PLANT-SOUTH,Molded Fiber,2024-09-22,42960,1013.858,1.6523,2102.13,49.27,0.048
T0000198,P0066,PLANT-WEST,Bagasse,2024-09-03,1837,32.532,0.0438,60.27,1.7,0.031
T0000199,P0039,PLANT-CENTRAL,RPET,2024-09-03,3765,124.423,0.1982,421.28,6.35,0.052
T0000200,P0017,PLANT-EAST,Molded Fiber,2024-09-27,18763,375.273,0.7217,778.09,24.75,0.048
T0000201,P0008,PLANT-SOUTH,PLA Paper,2024-09-27,24927,323.558,0.4532,1264.2,13.52,0.022
T0000202,P0009,PLANT-EAST,RPET,2024-09-27,15994,528.466,0.8418,1789.33,28.87,0.052
T0000203,P0033,PLANT-EAST,PLA Paper,2024-09-27,23139,254.53,0.4207,994.5,14.43,0.022
T0000204,P0008,PLANT-SOUTH,PLA Paper,2024-09-01,2139,27.765,0.0389,108.48,1.16,0.022
T0000205,P0060,PLANT-SOUTH,PLA Paper,2024-09-01,4219,31.099,0.044,121.51,1.31,0.017
T0000206,P0009,PLANT-EAST,RPET,2024-09-01,3549,117.278,0.1868,397.09,6.41,0.052
T0000207,P0054,PLANT-WEST,RPET,2024-09-01,1804,59.632,0.095,201.91,3.7,0.052
T0000208,P0047,PLANT-CENTRAL,Molded Fiber,2024-09-18,4632,92.647,0.1782,192.09,5.71,0.048
T0000209,P0023,PLANT-CENTRAL,PLA Paper,2024-09-15,27408,355.769,0.4983,1390.06,15.98,0.022
T0000210,P0078,PLANT-WEST,PLA Paper,2024-09-15,18740,206.143,0.3407,805.44,13.26,0.022
T0000211,P0080,PLANT-SOUTH,PLA Paper,2024-09-11,26810,147.459,0.2793,576.15,8.33,0.017
T0000212,P0067,PLANT-CENTRAL,Molded Fiber,2024-09-11,43986,1038.078,1.6918,2152.35,54.24,0.048
T0000213,P0047,PLANT-CENTRAL,Molded Fiber,2024-09-11,26941,538.824,1.0362,1117.2,33.22,0.048
T0000214,P0003,PLANT-CENTRAL,PLA Paper,2024-09-11,29129,320.428,0.5296,1251.98,16.98,0.022
T0000215,P0078,PLANT-WEST,PLA Paper,2024-09-10,6114,67.26,0.1112,262.8,4.33,0.022
T0000216,P0029,PLANT-EAST,RPET,2024-09-10,12790,479.884,0.6732,1624.84,23.09,0.052
T0000217,P0026,PLANT-WEST,Bagasse,2024-09-10,7177,144.268,0.1709,267.27,6.65,0.031
T0000218,P0075,PLANT-CENTRAL,PLA Paper,2024-09-11,33994,250.543,0.3541,978.92,11.35,0.017
T0000219,P0077,PLANT-EAST,Molded Fiber,2024-09-11,26972,539.454,1.0374,1118.5,35.58,0.048
T0000220,P0065,PLANT-EAST,PLA Paper,2024-09-11,31272,171.999,0.3258,672.04,11.17,0.017
T0000221,P0027,PLANT-CENTRAL,Molded Fiber,2024-09-03,14403,386.01,0.554,800.35,17.76,0.048
T0000222,P0062,PLANT-WEST,Molded Fiber,2024-09-21,26353,527.08,1.0136,1092.85,39.45,0.048
T0000223,P0074,PLANT-WEST,RPET,2024-09-21,22743,853.343,1.197,2889.33,46.59,0.052
T0000224,P0027,PLANT-CENTRAL,Molded Fiber,2024-09-21,39151,1049.254,1.5058,2175.52,48.28,0.048
T0000225,P0061,PLANT-EAST,Bagasse,2024-09-03,2963,44.458,0.0706,82.36,2.42,0.031
T0000226,P0068,PLANT-SOUTH,PLA Paper,2024-09-03,4696,60.958,0.0854,238.18,2.55,0.022
T0000227,P0067,PLANT-CENTRAL,Molded Fiber,2024-09-03,3743,88.351,0.144,183.19,4.62,0.048
T0000228,P0016,PLANT-SOUTH,Bagasse,2024-09-03,3795,56.935,0.0904,105.48,2.69,0.031
T0000229,P0010,PLANT-WEST,PLA Paper,2024-09-25,37801,245.333,0.3938,958.56,15.33,0.017
T0000230,P0042,PLANT-WEST,Molded Fiber,2024-09-21,19677,527.358,0.7568,1093.42,29.46,0.048
T0000231,P0006,PLANT-WEST,Bagasse,2024-09-21,25761,455.98,0.6134,844.75,23.87,0.031
T0000232,P0002,PLANT-WEST,Molded Fiber,2024-09-21,15751,315.021,0.6058,653.16,23.58,0.048
T0000233,P0075,PLANT-CENTRAL,PLA Paper,2024-09-21,29555,217.824,0.3079,851.08,9.87,0.017
T0000234,P0015,PLANT-CENTRAL,PLA Paper,2024-09-20,42418,312.621,0.4419,1221.47,14.17,0.017
T0000235,P0028,PLANT-SOUTH,PLA Paper,2024-09-20,40644,599.095,0.739,2340.78,22.04,0.022
T0000236,P0029,PLANT-EAST,RPET,2024-09-28,10742,403.063,0.5654,1364.73,19.39,0.052
T0000237,P0035,PLANT-CENTRAL,PLA Paper,2024-09-28,14801,81.409,0.1542,318.08,4.94,0.017
T0000238,P0050,PLANT-WEST,PLA Paper,2024-09-28,7920,43.564,0.0825,170.21,3.21,0.017
T0000239,P0069,PLANT-EAST,RPET,2024-09-28,5426,179.28,0.2856,607.03,9.8,0.052
T0000240,P0005,PLANT-EAST,PLA Paper,2024-09-02,18465,101.563,0.1924,396.83,6.6,0.017
T0000241,P0001,PLANT-EAST,Bagasse,2024-09-02,42465,636.981,1.0111,1180.07,34.68,0.031
T0000242,P0014,PLANT-WEST,RPET,2024-09-28,24008,900.797,1.2636,3050.01,49.18,0.052
T0000243,P0008,PLANT-SOUTH,PLA Paper,2024-09-28,4905,63.679,0.0892,248.81,2.66,0.022
