Transaction_ID,Order_ID,Invoice_ID,Invoice_Line_ID,Transaction_Date,Posting_Date,Customer_ID,Product_ID,Sales_Org,Business_Unit,Region_ID,Currency_Code,Quantity_Sold,Gross_Sales_Amount,Discount_Amount,Net_Sales_Amount,Returns_Amount,Rebate_Amount,Freight_Revenue,Tax_Amount,COGS_Amount
T0000015,O0000005,INV0000008,IL0000015,2026-01-18,2026-01-18,C00225,P0133,SO05,BU3,R01,USD,257,216.37,1.39,213.34,0.14,6.59,5.09,10.57,104.29
T0000016,O0000006,INV0000008,IL0000016,2025-03-02,2025-03-02,C00118,P0018,SO02,BU2,R03,USD,686,253.27,6.03,240.52,5.08,2.98,1.34,9.61,187.91
T0000017,O0000006,INV0000009,IL0000017,2026-04-30,2026-04-30,C00125,P0122,SO04,BU2,R03,USD,399,172.29,11.35,161.16,1.83,3.9,5.95,7.37,85.31
T0000018,O0000006,INV0000009,IL0000018,2026-10-24,2026-10-24,C00051,P0016,SO03,BU1,R02,USD,704,1631.59,17.83,1565.41,9.38,48.12,9.15,50.69,866.99
T0000019,O0000007,INV0000010,IL0000019,2025-03-19,2025-03-19,C00227,P0141,SO04,BU4,R02,USD,113,217.1,11.74,210.69,0.1,1.11,6.54,5.99,118.58
T0000020,O0000007,INV0000010,IL0000020,2026-05-08,2026-05-08,C00110,P0103,SO02,BU2,R03,USD,347,413.59,40.75,359.24,3.29,17.84,7.53,24.07,247.51
T0000021,O0000007,INV0000011,IL0000021,2026-07-24,2026-07-24,C00339,P0125,SO05,BU1,R02,USD,398,386.94,37.48,342.78,6.72,11.54,11.58,14.02,191.92
T0000022,O0000008,INV0000011,IL0000022,2026-05-30,2026-05-30,C00471,P0136,SO01,BU2,R04,USD,126,345.91,2.77,339.23,1.93,11.32,9.34,2.85,188.82
T0000023,O0000008,INV0000012,IL0000023,2026-08-07,2026-08-07,C00127,P0149,SO05,BU4,R04,USD,91,166.87,7.0,158.39,2.92,4.8,6.24,7.94,89.64
T0000024,O0000008,INV0000012,IL0000024,2025-09-02,2025-09-02,C00136,P0102,SO05,BU1,R04,USD,624,874.1,81.21,789.62,24.54,0.45,21.72,5.53,557.36
T0000025,O0000009,INV0000013,IL0000025,2026-07-05,2026-07-05,C00110,P0130,SO04,BU1,R03,USD,281,750.78,66.13,654.33,19.8,15.26,4.74,32.22,535.64
T0000026,O0000009,INV0000013,IL0000026,2026-09-19,2026-09-19,C00414,P0136,SO01,BU1,R03,USD,1145,1121.3,74.39,1012.23,31.58,8.28,5.18,39.2,571.83
T0000027,O0000009,INV0000014,IL0000027,2025-10-06,2025-10-06,C00145,P0054,SO01,BU3,R01,USD,426,858.65,73.24,791.72,13.02,11.86,31.19,35.15,424.37
T0000028,O0000010,INV0000014,IL0000028,2025-10-11,2025-10-11,C00023,P0001,SO01,BU3,R04,USD,277,521.06,13.65,488.92,11.59,15.81,8.91,2.58,251.52
T0000029,O0000010,INV0000015,IL0000029,2026-12-09,2026-12-09,C00463,P0039,SO03,BU2,R04,USD,83,199.9,11.64,188.43,0.89,1.4,2.46,10.5,146.27
T0000030,O0000010,INV0000015,IL0000030,2025-02-10,2025-02-10,C00461,P0092,SO02,BU3,R03,USD,521,1021.52,36.13,958.88,17.16,49.14,39.79,62.14,704.7
T0000031,O0000011,INV0000016,IL0000031,2025-08-31,2025-08-31,C00443,P0042,SO01,BU2,R02,USD,854,210.25,15.49,188.65,2.1,10.76,6.75,10.71,151.79
T0000032,O0000011,INV0000016,IL0000032,2025-10-01,2025-10-01,C00082,P0028,SO03,BU1,R01,USD,89,220.04,4.89,206.88,5.39,5.57,2.69,3.3,154.62
T0000033,O0000011,INV0000017,IL0000033,2025-01-25,2025-01-25,C00338,P0050,SO03,BU1,R01,USD,682,630.1,4.37,611.78,14.62,12.17,12.84,36.13,422.33
T0000034,O0000012,INV0000017,IL0000034,2025-12-06,2025-12-06,C00481,P0008,SO04,BU4,R01,USD,544,357.3,34.39,324.14,2.85,2.13,6.21,7.12,244.39
T0000035,O0000012,INV0000018,IL0000035,2026-09-13,2026-09-13,C00262,P0030,SO03,BU1,R03,USD,1190,818.12,3.63,806.79,10.7,23.39,26.39,53.1,550.04
T0000036,O0000012,INV0000018,IL0000036,2026-11-18,2026-11-18,C00101,P0094,SO04,BU2,R03,USD,153,415.17,38.23,356.1,7.76,15.15,2.07,12.64,303.91
T0000037,O0000013,INV0000019,IL0000037,2026-11-14,2026-11-14,C00210,P0084,SO03,BU1,R01,USD,615,1021.08,19.59,990.39,20.37,21.29,30.56,39.45,539.87
T0000038,O0000013,INV0000019,IL0000038,2026-02-20,2026-02-20,C00281,P0001,SO05,BU2,R01,USD,597,442.5,34.77,399.66,8.05,7.84,7.82,14.3,296.11
T0000039,O0000013,INV0000020,IL0000039,2025-06-23,2025-06-23,C00338,P0022,SO05,BU2,R01,USD,1065,2079.41,128.77,1855.47,5.83,108.88,19.54,104.76,1178.85
T0000040,O0000014,INV0000020,IL0000040,2025-05-31,2025-05-31,C00013,P0012,SO03,BU4,R03,USD,983,1781.29,136.89,1574.26,24.34,86.82,41.02,42.31,1213.3
T0000041,O0000014,INV0000021,IL0000041,2026-02-14,2026-02-14,C00125,P0038,SO01,BU1,R03,USD,228,514.92,11.27,481.09,12.42,19.71,9.57,30.9,327.53
T0000042,O0000014,INV0000021,IL0000042,2025-05-05,2025-05-05,C00234,P0035,SO05,BU3,R01,USD,1097,3091.02,184.06,2743.06,88.1,151.55,75.75,96.92,2106.21
T0000043,O0000015,INV0000022,IL0000043,2026-07-16,2026-07-16,C00229,P0041,SO01,BU4,R03,USD,931,811.83,20.07,758.97,15.53,34.19,16.93,14.59,532.15
T0000044,O0000015,INV0000022,IL0000044,2025-03-21,2025-03-21,C00366,P0074,SO03,BU4,R03,USD,566,609.41,54.42,557.8,1.47,5.06,9.34,8.35,318.59
T0000045,O0000015,INV0000023,IL0000045,2026-03-01,2026-03-01,C00209,P0085,SO03,BU2,R01,USD,964,1243.66,25.72,1169.43,15.68,61.89,29.06,70.13,839.16
T0000046,O0000016,INV0000023,IL0000046,2026-08-13,2026-08-13,C00195,P0123,SO01,BU1,R02,USD,730,713.43,27.82,649.1,19.08,32.79,15.36,36.34,489.2
T0000047,O0000016,INV0000024,IL0000047,2025-08-14,2025-08-14,C00250,P0057,SO04,BU1,R01,USD,902,1331.98,51.8,1233.56,26.73,58.47,38.58,79.4,952.82
T0000048,O0000016,INV0000024,IL0000048,2026-09-30,2026-09-30,C00274,P0007,SO03,BU1,R01,USD,1165,2271.98,19.07,2131.9,29.21,108.32,16.52,48.85,1256.05
T0000049,O0000017,INV0000025,IL0000049,2026-04-11,2026-04-11,C00168,P0087,SO03,BU1,R04,USD,579,1266.79,105.39,1147.08,9.59,5.71,0.98,80.29,799.39
T0000050,O0000017,INV0000025,IL0000050,2025-12-25,2025-12-25,C00115,P0018,SO02,BU2,R02,USD,73,198.23,3.95,193.5,0.12,1.66,1.0,7.64,132.31
T0000051,O0000017,INV0000026,IL0000051,2025-08-12,2025-08-12,C00239,P0066,SO02,BU4,R04,USD,353,634.59,61.16,536.76,13.68,27.15,4.16,21.74,359.87
T0000052,O0000018,INV0000026,IL0000052,2025-11-16,2025-11-16,C00295,P0097,SO03,BU1,R04,USD,416,159.29,11.0,149.32,3.0,0.89,4.92,6.28,114.38
T0000053,O0000018,INV0000027,IL0000053,2025-05-04,2025-05-04,C00408,P0145,SO02,BU2,R04,USD,721,1155.33,76.43,1035.94,2.39,41.15,0.58,35.55,690.44
T0000054,O0000018,INV0000027,IL0000054,2026-03-20,2026-03-20,C00492,P0093,SO05,BU3,R02,USD,323,433.72,31.83,396.91,12.56,6.44,14.02,13.43,273.54
T0000055,O0000019,INV0000028,IL0000055,2026-03-23,2026-03-23,C00423,P0069,SO01,BU3,R04,USD,512,1227.83,10.64,1191.07,32.47,16.47,22.82,31.6,799.19
T0000056,O0000019,INV0000028,IL0000056,2025-01-30,2025-01-30,C00254,P0084,SO01,BU2,R03,USD,1008,752.37,60.03,669.33,7.68,36.43,21.1,0.48,419.34
T0000057,O0000019,INV0000029,IL0000057,2025-07-15,2025-07-15,C00044,P0062,SO04,BU2,R02,USD,1010,1678.92,40.35,1578.96,23.98,65.73,30.1,32.52,813.99
T0000058,O0000020,INV0000029,IL0000058,2026-02-19,2026-02-19,C00355,P0063,SO05,BU2,R02,USD,765,1104.35,58.63,1000.92,14.1,45.31,14.61,18.98,747.42
T0000059,O0000020,INV0000030,IL0000059,2025-09-15,2025-09-15,C00119,P0031,SO02,BU3,R04,USD,656,327.48,17.55,301.94,7.49,3.33,2.83,15.31,201.59
T0000060,O0000020,INV0000030,IL0000060,2026-06-22,2026-06-22,C00306,P0073,SO04,BU4,R01,USD,407,395.2,14.26,363.97,3.58,15.39,2.0,1.39,194.73
T0000061,O0000021,INV0000031,IL0000061,2025-10-27,2025-10-27,C00358,P0033,SO01,BU4,R03,USD,220,552.24,31.7,503.45,7.78,13.38,4.07,33.16,273.02
T0000062,O0000021,INV0000031,IL0000062,2026-05-05,2026-05-05,C00059,P0017,SO03,BU1,R02,USD,1017,384.22,24.18,364.92,0.62,3.15,8.65,25.39,217.11
T0000063,O0000021,INV0000032,IL0000063,2025-05-02,2025-05-02,C00286,P0107,SO05,BU4,R03,USD,472,1062.52,40.42,1000.77,28.96,17.38,25.01,39.83,637.59
T0000064,O0000022,INV0000032,IL0000064,2025-03-03,2025-03-03,C00313,P0026,SO02,BU3,R01,USD,442,391.88,3.18,376.43,2.82,11.9,2.45,18.16,232.93
T0000065,O0000022,INV0000033,IL0000065,2026-04-27,2026-04-27,C00150,P0009,SO03,BU4,R03,USD,600,1240.56,87.21,1135.4,16.9,46.9,45.85,49.68,869.13
T0000066,O0000022,INV0000033,IL0000066,2026-11-09,2026-11-09,C00412,P0051,SO04,BU2,R02,USD,245,400.33,25.93,346.43,10.91,18.2,1.14,7.46,210.76
T0000067,O0000023,INV0000034,IL0000067,2026-08-06,2026-08-06,C00472,P0074,SO05,BU3,R04,USD,264,377.89,11.49,364.34,4.56,5.66,8.16,15.25,227.71
T0000068,O0000023,INV0000034,IL0000068,2026-03-19,2026-03-19,C00377,P0083,SO05,BU4,R01,USD,522,130.03,2.98,121.32,2.63,6.15,3.05,6.49,63.17
T0000069,O0000023,INV0000035,IL0000069,2025-10-03,2025-10-03,C00296,P0011,SO01,BU2,R04,USD,973,1523.33,67.37,1386.28,12.71,83.53,26.56,94.04,1078.5
T0000070,O0000024,INV0000035,IL0000070,2026-04-27,2026-04-27,C00179,P0105,SO01,BU3,R02,USD,667,1313.52,112.66,1152.89,13.0,50.11,15.14,65.66,978.12
T0000071,O0000024,INV0000036,IL0000071,2026-07-18,2026-07-18,C00019,P0117,SO03,BU3,R02,USD,654,558.45,6.47,530.9,12.94,26.57,18.43,32.31,268.24
T0000072,O0000024,INV0000036,IL0000072,2026-04-19,2026-04-19,C00212,P0014,SO02,BU3,R02,USD,1071,1227.37,92.84,1070.19,23.03,51.3,9.99,69.5,777.88
T0000073,O0000025,INV0000037,IL0000073,2026-03-25,2026-03-25,C00451,P0125,SO04,BU4,R02,USD,69,191.7,11.67,181.2,1.38,1.67,4.22,1.18,121.66
T0000074,O0000025,INV0000037,IL0000074,2025-04-27,2025-04-27,C00237,P0031,SO05,BU1,R03,USD,1030,2750.31,80.27,2602.07,58.2,62.85,53.08,83.2,1683.8
T0000075,O0000025,INV0000038,IL0000075,2025-05-29,2025-05-29,C00197,P0049,SO05,BU4,R03,USD,1050,2281.23,31.14,2226.32,4.78,96.95,77.96,122.76,1312.08
T0000076,O0000026,INV0000038,IL0000076,2025-10-01,2025-10-01,C00421,P0001,SO05,BU2,R03,USD,621,1500.4,87.01,1339.08,29.71,71.4,26.8,31.16,923.67
T0000077,O0000026,INV0000039,IL0000077,2026-07-11,2026-07-11,C00194,P0117,SO01,BU3,R01,USD,396,1108.29,26.47,1035.12,12.73,52.18,18.21,34.27,630.72
T0000078,O0000026,INV0000039,IL0000078,2026-01-26,2026-01-26,C00198,P0039,SO01,BU4,R03,USD,85,43.95,4.24,40.52,0.44,0.24,1.49,2.58,22.32
T0000079,O0000027,INV0000040,IL0000079,2025-01-16,2025-01-16,C00370,P0037,SO04,BU2,R01,USD,326,123.81,9.68,110.88,0.98,4.24,1.97,2.55,62.21
T0000080,O0000027,INV0000040,IL0000080,2026-11-22,2026-11-22,C00440,P0137,SO03,BU1,R04,USD,658,1219.67,108.24,1087.41,17.85,36.29,30.12,52.1,665.62
T0000081,O0000027,INV0000041,IL0000081,2025-10-22,2025-10-22,C00117,P0024,SO04,BU2,R03,USD,211,466.35,32.83,433.43,1.41,4.27,5.59,9.84,227.63
T0000082,O0000028,INV0000041,IL0000082,2025-02-27,2025-02-27,C00151,P0092,SO02,BU4,R04,USD,892,507.28,26.95,453.06,8.61,22.11,3.45,27.62,254.71
T0000083,O0000028,INV0000042,IL0000083,2026-09-27,2026-09-27,C00350,P0062,SO01,BU4,R03,USD,303,242.37,15.46,223.39,3.34,8.89,8.71,4.5,147.91
T0000084,O0000028,INV0000042,IL0000084,2026-07-14,2026-07-14,C00081,P0019,SO05,BU3,R01,USD,717,2019.79,60.42,1861.3,58.29,76.69,36.91,130.21,1140.36
T0000085,O0000029,INV0000043,IL0000085,2026-05-10,2026-05-10,C00055,P0061,SO03,BU1,R04,USD,1181,1344.45,39.78,1319.49,28.2,1.62,44.64,0.75,794.34
T0000086,O0000029,INV0000043,IL0000086,2026-12-04,2026-12-04,C00399,P0013,SO05,BU4,R04,USD,1027,2468.6,222.9,2236.2,57.45,31.24,79.19,29.76,1336.31
T0000087,O0000029,INV0000044,IL0000087,2025-09-14,2025-09-14,C00348,P0036,SO04,BU4,R02,USD,90,90.44,3.99,81.57,1.57,3.64,0.33,4.27,50.88
T0000088,O0000030,INV0000044,IL0000088,2025-06-29,2025-06-29,C00103,P0034,SO03,BU2,R04,USD,759,1212.43,110.75,1094.33,30.21,17.14,40.0,61.78,745.54
T0000089,O0000030,INV0000045,IL0000089,2025-12-13,2025-12-13,C00412,P0030,SO05,BU3,R02,USD,164,91.15,8.81,79.93,2.35,3.63,3.57,4.5,68.44
T0000090,O0000030,INV0000045,IL0000090,2026-01-10,2026-01-10,C00047,P0102,SO01,BU1,R04,USD,551,888.54,40.41,818.11,17.94,32.86,20.78,53.85,631.11
T0000091,O0000031,INV0000046,IL0000091,2025-04-21,2025-04-21,C00346,P0060,SO01,BU4,R01,USD,61,111.89,10.55,99.39,1.1,3.75,2.9,3.23,73.61
T0000092,O0000031,INV0000046,IL0000092,2026-12-19,2026-12-19,C00155,P0105,SO04,BU4,R02,USD,296,89.13,0.33,86.41,2.66,0.57,0.84,2.35,56.2
T0000093,O0000031,INV0000047,IL0000093,2026-01-15,2026-01-15,C00344,P0139,SO04,BU2,R04,USD,326,829.38,54.32,757.39,20.74,28.08,31.15,36.6,463.07
T0000094,O0000032,INV0000047,IL0000094,2025-08-11,2025-08-11,C00228,P0114,SO03,BU4,R02,USD,752,334.87,22.96,293.23,5.47,18.01,4.8,3.9,198.07
T0000095,O0000032,INV0000048,IL0000095,2025-05-06,2025-05-06,C00486,P0117,SO03,BU3,R03,USD,444,840.67,50.2,761.74,0.54,36.38,8.19,30.1,433.16
T0000096,O0000032,INV0000048,IL0000096,2025-03-12,2025-03-12,C00425,P0142,SO02,BU3,R01,USD,452,1062.61,24.76,992.4,24.69,46.09,25.33,68.36,592.55
T0000097,O0000033,INV0000049,IL0000097,2025-05-14,2025-05-14,C00277,P0065,SO01,BU2,R03,USD,235,457.07,1.18,440.18,0.2,19.86,4.35,5.37,260.83
T0000098,O0000033,INV0000049,IL0000098,2025-02-23,2025-02-23,C00065,P0108,SO02,BU1,R01,USD,242,525.36,25.02,475.54,12.26,14.83,2.29,31.47,326.29
T0000099,O0000033,INV0000050,IL0000099,2025-02-14,2025-02-14,C00373,P0134,SO05,BU2,R03,USD,948,1799.02,5.6,1686.36,53.89,83.84,30.67,84.1,917.91
T0000100,O0000034,INV0000050,IL0000100,2026-03-31,2026-03-31,C00038,P0021,SO01,BU3,R03,USD,313,111.24,3.06,104.17,2.11,3.35,1.45,3.87,84.38
T0000101,O0000034,INV0000051,IL0000101,2026-04-10,2026-04-10,C00259,P0111,SO04,BU4,R02,USD,244,599.51,39.02,528.05,13.83,23.77,5.16,8.45,363.56
T0000102,O0000034,INV0000051,IL0000102,2025-12-14,2025-12-14,C00424,P0117,SO03,BU1,R04,USD,861,1832.29,57.27,1802.04,17.18,25.69,69.89,59.83,1231.87
T0000103,O0000035,INV0000052,IL0000103,2025-04-04,2025-04-04,C00426,P0022,SO03,BU3,R01,USD,894,391.39,28.92,350.14,9.53,11.98,9.18,8.08,249.41
T0000104,O0000035,INV0000052,IL0000104,2025-05-06,2025-05-06,C00211,P0091,SO04,BU2,R02,USD,115,318.04,19.1,288.18,3.36,10.11,2.71,4.52,211.14
T0000105,O0000035,INV0000053,IL0000105,2025-04-21,2025-04-21,C00180,P0143,SO02,BU4,R02,USD,245,542.97,31.17,494.58,13.15,25.24,21.17,21.24,385.05
T0000106,O0000036,INV0000053,IL0000106,2026-10-21,2026-10-21,C00286,P0007,SO05,BU4,R03,USD,557,143.32,3.92,130.87,3.28,7.26,2.01,1.31,76.07
T0000107,O0000036,INV0000054,IL0000107,2026-11-05,2026-11-05,C00206,P0018,SO05,BU1,R03,USD,72,30.6,1.62,28.06,0.35,0.76,0.19,0.64,17.36
T0000108,O0000036,INV0000054,IL0000108,2026-08-05,2026-08-05,C00306,P0022,SO02,BU2,R01,USD,328,196.9,12.17,183.01,3.98,2.95,5.21,5.66,121.29
T0000109,O0000037,INV0000055,IL0000109,2025-10-07,2025-10-07,C00111,P0132,SO04,BU4,R04,USD,716,950.78,26.93,904.42,19.35,25.45,25.37,25.02,468.47
T0000110,O0000037,INV0000055,IL0000110,2026-09-06,2026-09-06,C00029,P0002,SO02,BU3,R03,USD,627,1695.41,130.1,1507.59,38.87,26.99,8.14,45.45,1049.91
T0000111,O0000037,INV0000056,IL0000111,2025-05-13,2025-05-13,C00195,P0137,SO03,BU4,R02,USD,1034,1728.64,115.48,1608.35,18.37,37.75,51.31,51.76,1040.89
T0000112,O0000038,INV0000056,IL0000112,2025-03-21,2025-03-21,C00442,P0081,SO04,BU3,R01,USD,889,1521.08,107.92,1385.73,19.06,9.64,1.27,77.73,868.44
T0000113,O0000038,INV0000057,IL0000113,2026-09-25,2026-09-25,C00236,P0093,SO03,BU3,R02,USD,904,2201.06,53.56,2080.03,38.88,63.43,34.84,49.43,1247.73
T0000114,O0000038,INV0000057,IL0000114,2025-12-08,2025-12-08,C00399,P0044,SO03,BU3,R04,USD,1055,1973.59,104.72,1800.85,11.48,84.26,27.72,81.36,1476.84
T0000115,O0000039,INV0000058,IL0000115,2025-06-01,2025-06-01,C00121,P0027,SO05,BU1,R01,USD,534,377.38,22.73,335.1,8.61,13.61,2.67,11.59,262.81
T0000116,O0000039,INV0000058,IL0000116,2026-08-01,2026-08-01,C00390,P0149,SO05,BU3,R03,USD,1166,2211.67,218.19,1881.9,21.44,118.11,27.97,61.77,1333.93
T0000117,O0000039,INV0000059,IL0000117,2026-10-09,2026-10-09,C00156,P0071,SO04,BU3,R02,USD,125,139.96,1.04,138.75,1.94,0.29,2.06,6.26,78.43
T0000118,O0000040,INV0000059,IL0000118,2025-04-03,2025-04-03,C00315,P0130,SO03,BU1,R02,USD,957,1655.13,157.94,1516.95,36.69,3.73,60.18,19.99,1059.39
T0000119,O0000040,INV0000060,IL0000119,2026-09-12,2026-09-12,C00244,P0129,SO05,BU1,R02,USD,136,188.07,15.25,158.57,4.72,10.16,0.63,0.43,124.3
T0000120,O0000040,INV0000060,IL0000120,2026-12-26,2026-12-26,C00225,P0113,SO02,BU1,R01,USD,1080,1952.86,71.06,1846.91,53.78,41.61,60.5,6.77,1308.59
T0000121,O0000041,INV0000061,IL0000121,2026-10-09,2026-10-09,C00332,P0086,SO03,BU3,R02,USD,685,296.13,20.09,269.51,2.52,11.79,7.78,16.48,217.29
T0000122,O0000041,INV0000061,IL0000122,2025-12-08,2025-12-08,C00042,P0150,SO05,BU1,R01,USD,726,732.03,48.03,685.03,14.54,5.19,20.76,26.8,368.74
T0000123,O0000041,INV0000062,IL0000123,2026-10-21,2026-10-21,C00406,P0085,SO05,BU1,R03,USD,1088,467.3,31.33,434.14,7.13,0.47,5.77,10.39,348.76
T0000124,O0000042,INV0000062,IL0000124,2026-05-13,2026-05-13,C00099,P0058,SO05,BU1,R02,USD,327,126.22,10.66,114.05,0.38,5.35,4.22,0.3,91.82
T0000125,O0000042,INV0000063,IL0000125,2025-12-11,2025-12-11,C00449,P0034,SO05,BU4,R01,USD,781,462.27,8.36,445.11,9.61,15.88,16.69,1.36,315.24
T0000126,O0000042,INV0000063,IL0000126,2026-01-09,2026-01-09,C00347,P0061,SO05,BU3,R02,USD,593,1298.02,101.74,1220.23,9.11,17.07,50.13,77.21,908.13
T0000127,O0000043,INV0000064,IL0000127,2025-07-18,2025-07-18,C00189,P0147,SO05,BU3,R03,USD,955,2133.85,166.04,1900.32,32.19,49.13,13.83,80.43,1143.56
T0000128,O0000043,INV0000064,IL0000128,2025-09-14,2025-09-14,C00027,P0124,SO02,BU4,R02,USD,1145,3062.42,217.86,2786.43,47.4,21.0,10.27,87.64,1607.43
T0000129,O0000043,INV0000065,IL0000129,2026-06-10,2026-06-10,C00076,P0112,SO03,BU3,R02,USD,464,1095.32,96.9,960.23,30.57,24.99,17.37,25.96,640.44
T0000130,O0000044,INV0000065,IL0000130,2025-03-25,2025-03-25,C00192,P0058,SO01,BU1,R04,USD,662,1764.43,148.07,1514.87,34.4,76.8,9.71,87.99,988.66
T0000131,O0000044,INV0000066,IL0000131,2026-12-14,2026-12-14,C00426,P0036,SO01,BU4,R01,USD,928,1691.74,153.25,1527.58,0.96,20.07,10.12,65.11,1257.41
T0000132,O0000044,INV0000066,IL0000132,2026-03-10,2026-03-10,C00057,P0074,SO03,BU4,R01,USD,626,316.32,7.54,292.67,6.06,10.84,0.79,10.24,225.94
T0000133,O0000045,INV0000067,IL0000133,2026-07-03,2026-07-03,C00009,P0132,SO04,BU3,R01,USD,505,1059.74,30.87,1032.45,0.05,20.56,24.19,48.29,564.26
T0000134,O0000045,INV0000067,IL0000134,2026-06-21,2026-06-21,C00500,P0093,SO03,BU3,R02,USD,1087,1774.74,139.57,1668.16,27.03,1.98,62.0,45.18,873.51
T0000135,O0000045,INV0000068,IL0000135,2026-01-18,2026-01-18,C00130,P0005,SO02,BU4,R01,USD,148,162.89,11.94,145.76,3.07,6.91,4.79,0.45,93.35
T0000136,O0000046,INV0000068,IL0000136,2026-07-14,2026-07-14,C00174,P0045,SO05,BU3,R03,USD,990,1848.03,149.97,1649.5,3.5,78.89,33.83,5.06,1038.9
T0000137,O0000046,INV0000069,IL0000137,2025-07-24,2025-07-24,C00454,P0011,SO01,BU3,R03,USD,645,1003.68,99.28,904.31,16.35,13.98,30.24,22.6,535.47
T0000138,O0000046,INV0000069,IL0000138,2025-02-18,2025-02-18,C00444,P0085,SO04,BU1,R02,USD,264,610.95,26.7,585.51,7.33,14.78,23.37,7.66,351.25
T0000139,O0000047,INV0000070,IL0000139,2026-12-10,2026-12-10,C00255,P0095,SO02,BU1,R04,USD,556,1289.42,93.75,1192.31,3.05,42.72,42.41,26.81,815.86
T0000140,O0000047,INV0000070,IL0000140,2025-03-23,2025-03-23,C00168,P0076,SO05,BU2,R04,USD,923,1651.25,70.36,1517.59,34.17,31.93,2.8,37.45,1194.86
T0000141,O0000047,INV0000071,IL0000141,2026-03-22,2026-03-22,C00141,P0015,SO03,BU3,R03,USD,841,967.15,77.48,824.8,19.71,50.68,5.52,45.11,628.76
T0000142,O0000048,INV0000071,IL0000142,2025-02-05,2025-02-05,C00065,P0018,SO03,BU4,R01,USD,760,871.64,82.76,796.36,0.85,7.36,15.69,24.75,508.92
T0000143,O0000048,INV0000072,IL0000143,2025-03-20,2025-03-20,C00294,P0036,SO02,BU1,R03,USD,761,945.77,61.43,899.19,7.08,5.9,27.83,24.36,586.12
T0000144,O0000048,INV0000072,IL0000144,2026-07-30,2026-07-30,C00061,P0068,SO04,BU1,R03,USD,923,694.93,42.52,605.33,14.47,38.17,5.56,3.14,359.98
T0000145,O0000049,INV0000073,IL0000145,2025-06-26,2025-06-26,C00461,P0114,SO03,BU3,R03,USD,664,1303.5,92.49,1184.32,21.51,20.82,15.64,58.82,683.17
T0000146,O0000049,INV0000073,IL0000146,2026-12-19,2026-12-19,C00327,P0045,SO02,BU4,R04,USD,1051,818.41,80.62,723.85,19.45,10.66,16.17,29.0,475.54
