Expense_ID,GL_Account,Cost_Center,Department,Expense_Date,Expense_Type,Expense_Category,Expense_Amount
EXP0000076,6500,CC0007,Department 7,2026-11-24,SG&A,Administrative,8846.18
EXP0000077,6400,CC0012,Department 4,2025-08-18,Marketing,Marketing,12450.6
EXP0000078,6300,CC0015,Department 7,2026-05-01,SG&A,Administrative,9356.36
EXP0000079,6100,CC0002,Department 2,2025-08-04,Operations,Administrative,22725.14
EXP0000080,6200,CC0003,Department 3,2026-11-24,Operations,Administrative,7744.9
EXP0000081,6300,CC0016,Department 8,2026-03-14,Operations,Administrative,17709.27
EXP0000082,6300,CC0001,Department 1,2025-12-13,Marketing,Marketing,19006.91
EXP0000083,6300,CC0016,Department 8,2025-12-31,Operations,Administrative,7326.26
EXP0000084,6300,CC0003,Department 3,2025-02-26,SG&A,Administrative,14272.71
EXP0000085,6300,CC0009,Department 1,2025-12-15,Sales,Sales,6340.67
EXP0000086,6200,CC0014,Department 6,2025-05-20,Marketing,Marketing,20791.18
EXP0000087,6300,CC0015,Department 7,2026-08-07,SG&A,Administrative,17319.66
EXP0000088,6300,CC0001,Department 1,2025-04-17,Operations,Administrative,4807.03
EXP0000089,6400,CC0012,Department 4,2026-04-26,SG&A,Administrative,1969.6
EXP0000090,6200,CC0001,Department 1,2025-05-29,Operations,Administrative,12531.73
EXP0000091,6500,CC0005,Department 5,2025-02-26,Marketing,Marketing,6493.57
EXP0000092,6400,CC0011,Department 3,2026-11-30,Sales,Sales,14453.02
EXP0000093,6100,CC0016,Department 8,2025-06-26,Operations,Administrative,6663.13
EXP0000094,6500,CC0009,Department 1,2025-11-12,Marketing,Marketing,6437.89
EXP0000095,6200,CC0015,Department 7,2026-01-08,Operations,Administrative,5457.46
EXP0000096,6100,CC0018,Department 2,2026-09-21,Operations,Administrative,17087.81
EXP0000097,6300,CC0014,Department 6,2026-08-25,Sales,Sales,24695.44
EXP0000098,6400,CC0012,Department 4,2026-01-06,SG&A,Administrative,18661.33
EXP0000099,6300,CC0016,Department 8,2025-05-18,Marketing,Marketing,3416.06
EXP0000100,6200,CC0008,Department 8,2026-06-04,Marketing,Marketing,13670.38
EXP0000101,6300,CC0005,Department 5,2025-12-08,Operations,Administrative,13861.71
EXP0000102,6400,CC0014,Department 6,2026-01-25,Marketing,Marketing,17674.99
EXP0000103,6300,CC0017,Department 1,2025-06-07,Operations,Administrative,22341.69
EXP0000104,6500,CC0005,Department 5,2026-10-18,Sales,Sales,7053.76
EXP0000105,6500,CC0016,Department 8,2025-09-09,Sales,Sales,15954.16
EXP0000106,6500,CC0018,Department 2,2025-03-07,Sales,Sales,24938.93
EXP0000107,6400,CC0017,Department 1,2025-09-18,Sales,Sales,10693.04
EXP0000108,6400,CC0013,Department 5,2026-10-05,Marketing,Marketing,5690.4
EXP0000109,6500,CC0015,Department 7,2025-05-14,Sales,Sales,13593.84
EXP0000110,6200,CC0007,Department 7,2025-11-24,Marketing,Marketing,2867.46
EXP0000111,6200,CC0014,Department 6,2026-08-14,Marketing,Marketing,12373.38
EXP0000112,6300,CC0007,Department 7,2026-02-20,SG&A,Administrative,5148.25
EXP0000113,6200,CC0013,Department 5,2026-09-08,Sales,Sales,11768.92
EXP0000114,6300,CC0014,Department 6,2026-06-09,Marketing,Marketing,1429.9
EXP0000115,6100,CC0003,Department 3,2026-09-10,Sales,Sales,24686.33
EXP0000116,6300,CC0006,Department 6,2026-08-20,Sales,Sales,24516.93
EXP0000117,6500,CC0001,Department 1,2025-09-06,Sales,Sales,24700.91
EXP0000118,6100,CC0020,Department 4,2026-09-15,Marketing,Marketing,14710.59
EXP0000119,6500,CC0006,Department 6,2026-02-14,Sales,Sales,20851.12
EXP0000120,6100,CC0006,Department 6,2026-07-21,Marketing,Marketing,11408.43
EXP0000121,6300,CC0010,Department 2,2026-09-27,Sales,Sales,15309.24
EXP0000122,6200,CC0017,Department 1,2026-02-10,Operations,Administrative,21266.24
EXP0000123,6200,CC0005,Department 5,2025-04-10,SG&A,Administrative,2808.57
EXP0000124,6200,CC0013,Department 5,2025-03-10,Operations,Administrative,18619.02
EXP0000125,6100,CC0001,Department 1,2025-03-03,SG&A,Administrative,3501.2
EXP0000126,6500,CC0006,Department 6,2026-04-24,SG&A,Administrative,3487.4
EXP0000127,6300,CC0020,Department 4,2025-01-15,Sales,Sales,9570.12
EXP0000128,6400,CC0016,Department 8,2025-12-19,SG&A,Administrative,9206.18
EXP0000129,6200,CC0009,Department 1,2026-02-18,SG&A,Administrative,23310.59
EXP0000130,6100,CC0005,Department 5,2025-09-16,Operations,Administrative,7060.23
EXP0000131,6200,CC0003,Department 3,2026-02-15,Operations,Administrative,20097.38
EXP0000132,6300,CC0020,Department 4,2026-10-08,Operations,Administrative,8568.62
EXP0000133,6100,CC0013,Department 5,2026-05-27,Operations,Administrative,23867.6
EXP0000134,6100,CC0013,Department 5,2026-12-12,SG&A,Administrative,11405.51
EXP0000135,6500,CC0015,Department 7,2026-01-25,Operations,Administrative,5327.38
EXP0000136,6500,CC0003,Department 3,2025-04-26,SG&A,Administrative,13919.43
EXP0000137,6500,CC0020,Department 4,2026-12-10,Marketing,Marketing,21390.1
EXP0000138,6200,CC0007,Department 7,2026-08-05,Sales,Sales,11485.16
EXP0000139,6100,CC0014,Department 6,2026-05-08,Sales,Sales,4820.17
EXP0000140,6300,CC0009,Department 1,2026-01-02,SG&A,Administrative,11415.68
EXP0000141,6200,CC0009,Department 1,2025-05-21,Sales,Sales,13147.24
EXP0000142,6100,CC0015,Department 7,2025-09-02,SG&A,Administrative,23090.12
EXP0000143,6400,CC0004,Department 4,2026-11-07,Marketing,Marketing,17377.22
EXP0000144,6400,CC0019,Department 3,2025-04-28,SG&A,Administrative,2688.36
EXP0000145,6300,CC0007,Department 7,2025-12-07,Sales,Sales,15166.18
EXP0000146,6300,CC0014,Department 6,2026-08-17,Sales,Sales,11747.27
EXP0000147,6500,CC0004,Department 4,2025-01-04,Operations,Administrative,17686.68
EXP0000148,6500,CC0006,Department 6,2025-09-05,Sales,Sales,8426.52
EXP0000149,6200,CC0004,Department 4,2025-02-22,Operations,Administrative,8269.53
EXP0000150,6400,CC0009,Department 1,2026-11-02,Sales,Sales,21178.65
EXP0000151,6500,CC0006,Department 6,2026-05-21,Marketing,Marketing,3691.99
EXP0000152,6400,CC0004,Department 4,2025-11-12,Operations,Administrative,3309.64
EXP0000153,6300,CC0017,Department 1,2026-09-29,Marketing,Marketing,4412.1
EXP0000154,6100,CC0001,Department 1,2025-07-22,SG&A,Administrative,24965.19
EXP0000155,6100,CC0017,Department 1,2025-10-23,Operations,Administrative,11132.13
EXP0000156,6300,CC0019,Department 3,2025-07-02,Operations,Administrative,14264.97
EXP0000157,6500,CC0007,Department 7,2026-06-11,Operations,Administrative,13404.35
EXP0000158,6500,CC0017,Department 1,2025-11-24,Marketing,Marketing,3035.55
EXP0000159,6400,CC0018,Department 2,2026-08-25,Operations,Administrative,11396.18
EXP0000160,6500,CC0005,Department 5,2026-03-26,SG&A,Administrative,23524.44
EXP0000161,6300,CC0011,Department 3,2025-01-26,SG&A,Administrative,10633.5
EXP0000162,6500,CC0012,Department 4,2026-07-07,SG&A,Administrative,21130.04
EXP0000163,6500,CC0012,Department 4,2026-10-15,Operations,Administrative,1976.95
EXP0000164,6500,CC0007,Department 7,2025-09-01,Marketing,Marketing,4183.67
EXP0000165,6500,CC0017,Department 1,2025-04-05,SG&A,Administrative,9740.99
EXP0000166,6500,CC0009,Department 1,2026-12-28,Marketing,Marketing,613.41
EXP0000167,6200,CC0004,Department 4,2025-04-06,SG&A,Administrative,18058.12
EXP0000168,6200,CC0013,Department 5,2025-12-10,SG&A,Administrative,21601.46
EXP0000169,6400,CC0013,Department 5,2026-10-13,Operations,Administrative,16309.95
EXP0000170,6100,CC0011,Department 3,2026-05-24,Sales,Sales,13888.89
EXP0000171,6200,CC0009,Department 1,2026-12-24,Marketing,Marketing,13178.77
EXP0000172,6100,CC0003,Department 3,2025-11-11,SG&A,Administrative,10110.14
EXP0000173,6200,CC0014,Department 6,2025-09-05,Marketing,Marketing,9222.85
EXP0000174,6200,CC0004,Department 4,2026-03-23,SG&A,Administrative,23621.66
EXP0000175,6500,CC0007,Department 7,2026-05-04,Operations,Administrative,15690.94
EXP0000176,6300,CC0009,Department 1,2025-12-28,SG&A,Administrative,20194.19
EXP0000177,6200,CC0019,Department 3,2025-12-28,Marketing,Marketing,3348.86
EXP0000178,6400,CC0019,Department 3,2026-07-19,Operations,Administrative,22993.7
EXP0000179,6100,CC0010,Department 2,2025-06-13,Marketing,Marketing,9083.61
EXP0000180,6400,CC0017,Department 1,2025-12-19,Marketing,Marketing,11782.06
EXP0000181,6100,CC0012,Department 4,2025-05-03,Marketing,Marketing,16113.91
EXP0000182,6200,CC0008,Department 8,2026-11-22,Operations,Administrative,3862.88
EXP0000183,6500,CC0019,Department 3,2026-04-29,Marketing,Marketing,20215.2
EXP0000184,6200,CC0010,Department 2,2025-03-05,Marketing,Marketing,10960.85
EXP0000185,6300,CC0017,Department 1,2025-02-02,SG&A,Administrative,20104.91
EXP0000186,6100,CC0008,Department 8,2025-11-26,Sales,Sales,22090.71
EXP0000187,6300,CC0014,Department 6,2026-03-12,Sales,Sales,1235.03
EXP0000188,6200,CC0016,Department 8,2026-08-26,SG&A,Administrative,19261.7
EXP0000189,6400,CC0015,Department 7,2025-01-28,Sales,Sales,15725.76
EXP0000190,6400,CC0004,Department 4,2025-08-25,Marketing,Marketing,16301.42
EXP0000191,6400,CC0006,Department 6,2025-08-28,Sales,Sales,23003.94
EXP0000192,6400,CC0006,Department 6,2026-10-09,Sales,Sales,13992.43
EXP0000193,6500,CC0006,Department 6,2025-03-11,Operations,Administrative,7222.82
EXP0000194,6300,CC0012,Department 4,2026-02-06,Sales,Sales,3959.26
EXP0000195,6200,CC0004,Department 4,2025-07-20,Marketing,Marketing,126.29
EXP0000196,6100,CC0016,Department 8,2025-07-28,Operations,Administrative,23166.19
EXP0000197,6200,CC0019,Department 3,2025-10-14,SG&A,Administrative,18722.91
EXP0000198,6400,CC0016,Department 8,2025-04-25,Marketing,Marketing,20865.32
EXP0000199,6500,CC0016,Department 8,2026-05-24,SG&A,Administrative,2277.03
EXP0000200,6400,CC0004,Department 4,2026-03-15,Sales,Sales,1134.01
EXP0000201,6100,CC0005,Department 5,2026-11-05,Marketing,Marketing,16898.18
EXP0000202,6200,CC0020,Department 4,2025-06-22,Operations,Administrative,22618.53
EXP0000203,6300,CC0012,Department 4,2026-11-08,Operations,Administrative,19708.31
EXP0000204,6200,CC0012,Department 4,2025-06-27,Marketing,Marketing,12271.11
EXP0000205,6100,CC0016,Department 8,2025-09-01,Marketing,Marketing,4159.89
EXP0000206,6100,CC0006,Department 6,2026-08-05,Marketing,Marketing,13811.85
EXP0000207,6100,CC0018,Department 2,2025-12-14,SG&A,Administrative,2080.93
EXP0000208,6200,CC0001,Department 1,2026-06-13,Operations,Administrative,19290.17
EXP0000209,6500,CC0004,Department 4,2026-03-21,Sales,Sales,6966.1
EXP0000210,6400,CC0006,Department 6,2025-01-20,Marketing,Marketing,21031.73
EXP0000211,6200,CC0003,Department 3,2026-06-07,Marketing,Marketing,8166.69
EXP0000212,6200,CC0010,Department 2,2025-11-08,Sales,Sales,24262.17
EXP0000213,6500,CC0016,Department 8,2025-07-03,Operations,Administrative,3362.1
EXP0000214,6400,CC0003,Department 3,2025-12-25,Sales,Sales,12240.44
EXP0000215,6100,CC0003,Department 3,2026-08-17,Marketing,Marketing,1964.32
EXP0000216,6300,CC0009,Department 1,2026-05-28,Sales,Sales,2914.81
EXP0000217,6300,CC0003,Department 3,2026-10-30,Sales,Sales,7603.18
EXP0000218,6100,CC0007,Department 7,2026-08-24,Operations,Administrative,13405.36
EXP0000219,6100,CC0001,Department 1,2026-05-16,Marketing,Marketing,7892.38
EXP0000220,6400,CC0008,Department 8,2025-09-17,Marketing,Marketing,18001.53
EXP0000221,6100,CC0014,Department 6,2026-08-27,Sales,Sales,24981.79
EXP0000222,6200,CC0019,Department 3,2026-11-04,SG&A,Administrative,4727.7
EXP0000223,6200,CC0001,Department 1,2025-12-08,Sales,Sales,19086.81
EXP0000224,6500,CC0016,Department 8,2025-09-26,Sales,Sales,1309.9
EXP0000225,6400,CC0017,Department 1,2025-07-03,Operations,Administrative,16012.99
EXP0000226,6400,CC0005,Department 5,2025-07-20,Marketing,Marketing,14493.06
EXP0000227,6300,CC0019,Department 3,2025-01-05,SG&A,Administrative,18110.01
EXP0000228,6500,CC0006,Department 6,2025-01-25,SG&A,Administrative,21120.56
EXP0000229,6300,CC0020,Department 4,2025-03-22,Marketing,Marketing,11433.25
EXP0000230,6100,CC0016,Department 8,2026-10-13,Marketing,Marketing,1209.67
EXP0000231,6200,CC0013,Department 5,2026-04-16,Marketing,Marketing,23706.83
EXP0000232,6300,CC0002,Department 2,2026-03-06,Operations,Administrative,3192.45
EXP0000233,6300,CC0014,Department 6,2026-04-28,SG&A,Administrative,18698.09
EXP0000234,6200,CC0012,Department 4,2025-07-27,Sales,Sales,7895.77
EXP0000235,6100,CC0012,Department 4,2026-02-13,Sales,Sales,3547.42
EXP0000236,6300,CC0014,Department 6,2026-05-11,SG&A,Administrative,6113.96
EXP0000237,6400,CC0009,Department 1,2025-11-18,Sales,Sales,19657.46
EXP0000238,6300,CC0009,Department 1,2025-01-08,Sales,Sales,14482.72
EXP0000239,6100,CC0006,Department 6,2026-05-08,SG&A,Administrative,1188.99
EXP0000240,6500,CC0017,Department 1,2025-07-20,Operations,Administrative,1628.27
EXP0000241,6300,CC0015,Department 7,2026-08-12,SG&A,Administrative,24637.1
EXP0000242,6400,CC0017,Department 1,2026-02-24,Sales,Sales,11498.46
EXP0000243,6300,CC0018,Department 2,2026-01-08,Operations,Administrative,24458.23
EXP0000244,6100,CC0017,Department 1,2026-07-15,SG&A,Administrative,24767.04
EXP0000245,6500,CC0005,Department 5,2025-11-29,Marketing,Marketing,22777.2
EXP0000246,6200,CC0002,Department 2,2025-12-17,Marketing,Marketing,22049.15
EXP0000247,6200,CC0004,Department 4,2025-12-31,Operations,Administrative,20661.74
EXP0000248,6200,CC0001,Department 1,2025-10-27,SG&A,Administrative,23956.6
EXP0000249,6400,CC0012,Department 4,2026-12-29,SG&A,Administrative,22562.21
EXP0000250,6300,CC0019,Department 3,2025-11-01,Sales,Sales,3349.45
EXP0000251,6200,CC0008,Department 8,2025-03-21,Sales,Sales,22115.6
EXP0000252,6100,CC0017,Department 1,2026-09-01,Operations,Administrative,2679.49
EXP0000253,6500,CC0002,Department 2,2026-01-19,Marketing,Marketing,3197.27
EXP0000254,6200,CC0015,Department 7,2026-11-13,Sales,Sales,6951.66
EXP0000255,6500,CC0019,Department 3,2026-12-09,Sales,Sales,16754.55
EXP0000256,6300,CC0012,Department 4,2026-03-02,Operations,Administrative,17895.44
EXP0000257,6400,CC0010,Department 2,2026-10-16,Marketing,Marketing,24089.63
EXP0000258,6100,CC0006,Department 6,2025-07-04,Sales,Sales,5670.45
EXP0000259,6400,CC0010,Department 2,2026-02-11,Operations,Administrative,12847.54
EXP0000260,6200,CC0004,Department 4,2026-05-27,Marketing,Marketing,3209.13
EXP0000261,6100,CC0013,Department 5,2026-01-12,Operations,Administrative,24298.07
EXP0000262,6200,CC0010,Department 2,2025-03-22,Operations,Administrative,20583.37
EXP0000263,6500,CC0016,Department 8,2026-04-12,Operations,Administrative,7724.5
EXP0000264,6500,CC0013,Department 5,2025-11-19,Operations,Administrative,13022.07
EXP0000265,6200,CC0010,Department 2,2025-08-21,Operations,Administrative,931.41
EXP0000266,6100,CC0016,Department 8,2025-04-11,SG&A,Administrative,21888.82
EXP0000267,6500,CC0006,Department 6,2025-09-11,SG&A,Administrative,1804.36
EXP0000268,6200,CC0008,Department 8,2026-10-26,Operations,Administrative,21131.25
EXP0000269,6300,CC0013,Department 5,2025-03-03,Marketing,Marketing,10035.96
EXP0000270,6500,CC0007,Department 7,2025-05-07,Operations,Administrative,15377.07
EXP0000271,6400,CC0006,Department 6,2025-09-11,Operations,Administrative,6116.95
EXP0000272,6400,CC0019,Department 3,2026-03-11,Marketing,Marketing,14512.45
EXP0000273,6400,CC0014,Department 6,2026-09-15,SG&A,Administrative,13813.93
EXP0000274,6400,CC0002,Department 2,2025-01-18,SG&A,Administrative,18298.39
EXP0000275,6200,CC0011,Department 3,2025-07-27,Marketing,Marketing,3855.8
EXP0000276,6300,CC0003,Department 3,2026-09-29,Operations,Administrative,79.19
EXP0000277,6100,CC0017,Department 1,2025-05-30,Marketing,Marketing,10119.21
EXP0000278,6200,CC0009,Department 1,2025-09-11,SG&A,Administrative,8837.87
EXP0000279,6500,CC0019,Department 3,2025-03-02,SG&A,Administrative,1858.3
EXP0000280,6100,CC0003,Department 3,2025-01-17,Marketing,Marketing,15775.01
EXP0000281,6300,CC0012,Department 4,2025-03-03,Marketing,Marketing,22281.64
EXP0000282,6100,CC0018,Department 2,2025-03-13,Marketing,Marketing,21110.85
EXP0000283,6500,CC0010,Department 2,2026-03-03,Operations,Administrative,8911.23
EXP0000284,6400,CC0011,Department 3,2026-09-25,Marketing,Marketing,17430.07
EXP0000285,6300,CC0013,Department 5,2025-12-11,Sales,Sales,8120.97
EXP0000286,6500,CC0006,Department 6,2025-03-11,SG&A,Administrative,17864.01
EXP0000287,6300,CC0011,Department 3,2026-08-17,Sales,Sales,20539.1
EXP0000288,6300,CC0017,Department 1,2026-03-21,Marketing,Marketing,13589.1
EXP0000289,6200,CC0003,Department 3,2026-06-09,Marketing,Marketing,14864.59
EXP0000290,6500,CC0002,Department 2,2026-02-07,SG&A,Administrative,17595.18
EXP0000291,6300,CC0002,Department 2,2026-09-22,Sales,Sales,4461.92
EXP0000292,6500,CC0016,Department 8,2026-03-01,SG&A,Administrative,18532.58
EXP0000293,6200,CC0018,Department 2,2026-12-26,SG&A,Administrative,6618.26
EXP0000294,6200,CC0005,Department 5,2026-05-10,Sales,Sales,6907.71
EXP0000295,6300,CC0017,Department 1,2025-09-29,Marketing,Marketing,5510.42
EXP0000296,6500,CC0011,Department 3,2025-01-20,Sales,Sales,2840.77
EXP0000297,6200,CC0010,Department 2,2026-07-12,Sales,Sales,15019.53
EXP0000298,6100,CC0013,Department 5,2026-06-06,Marketing,Marketing,13760.01
EXP0000299,6500,CC0019,Department 3,2025-06-23,Sales,Sales,15939.42
EXP0000300,6400,CC0009,Department 1,2026-04-22,Marketing,Marketing,3345.88
EXP0000301,6100,CC0015,Department 7,2026-03-31,Marketing,Marketing,10978.56
EXP0000302,6400,CC0018,Department 2,2026-01-18,Sales,Sales,1772.76
EXP0000303,6400,CC0019,Department 3,2025-02-11,SG&A,Administrative,5919.31
EXP0000304,6500,CC0010,Department 2,2025-06-14,Sales,Sales,11884.79
EXP0000305,6200,CC0020,Department 4,2026-04-26,Operations,Administrative,9463.59
EXP0000306,6400,CC0011,Department 3,2026-10-20,Operations,Administrative,3945.56
EXP0000307,6300,CC0019,Department 3,2026-05-27,Marketing,Marketing,12855.85
EXP0000308,6300,CC0003,Department 3,2026-07-18,Marketing,Marketing,8129.05
EXP0000309,6200,CC0012,Department 4,2025-08-21,Operations,Administrative,7079.83
EXP0000310,6500,CC0005,Department 5,2025-02-09,SG&A,Administrative,4166.67
EXP0000311,6500,CC0020,Department 4,2026-09-06,Operations,Administrative,8670.41
EXP0000312,6100,CC0018,Department 2,2025-01-07,Operations,Administrative,12101.38
EXP0000313,6300,CC0015,Department 7,2025-03-12,SG&A,Administrative,13280.81
EXP0000314,6200,CC0018,Department 2,2026-12-27,Marketing,Marketing,24063.08
EXP0000315,6300,CC0019,Department 3,2026-12-17,Marketing,Marketing,10000.13
EXP0000316,6400,CC0011,Department 3,2026-01-02,SG&A,Administrative,8336.46
EXP0000317,6500,CC0010,Department 2,2025-07-16,Sales,Sales,18301.55
EXP0000318,6500,CC0014,Department 6,2026-04-19,SG&A,Administrative,20750.61
EXP0000319,6500,CC0016,Department 8,2025-08-23,Marketing,Marketing,2448.34
EXP0000320,6100,CC0003,Department 3,2025-06-04,SG&A,Administrative,558.78
EXP0000321,6200,CC0018,Department 2,2025-02-02,SG&A,Administrative,21208.39
EXP0000322,6300,CC0017,Department 1,2026-10-19,SG&A,Administrative,16083.07
EXP0000323,6300,CC0001,Department 1,2026-03-02,Marketing,Marketing,12422.1
EXP0000324,6300,CC0009,Department 1,2025-09-11,Sales,Sales,858.69
EXP0000325,6200,CC0018,Department 2,2026-07-31,SG&A,Administrative,22345.48
EXP0000326,6100,CC0015,Department 7,2026-04-01,Marketing,Marketing,11471.26
EXP0000327,6200,CC0010,Department 2,2026-05-10,Marketing,Marketing,11888.56
EXP0000328,6100,CC0009,Department 1,2025-09-11,SG&A,Administrative,11849.51
EXP0000329,6400,CC0006,Department 6,2026-07-29,Marketing,Marketing,8203.26
EXP0000330,6500,CC0019,Department 3,2026-07-02,Marketing,Marketing,19063.63
EXP0000331,6500,CC0001,Department 1,2025-09-18,Sales,Sales,8727.41
EXP0000332,6500,CC0007,Department 7,2026-06-24,Operations,Administrative,24936.3
EXP0000333,6500,CC0005,Department 5,2026-01-20,SG&A,Administrative,21255.98
EXP0000334,6100,CC0014,Department 6,2026-08-18,Operations,Administrative,18028.38
EXP0000335,6300,CC0017,Department 1,2026-04-02,Operations,Administrative,6679.25
EXP0000336,6400,CC0004,Department 4,2025-03-29,Sales,Sales,9954.12
