Journal_ID,Posting_Date,GL_Account,Account_Type,Cost_Center,Profit_Center,Amount,Currency,Fiscal_Period,Fiscal_Year
JRN0000039,2025-01-02,5000,COGS,CC0010,PC010,-8428.73,USD,1,2025
JRN0000040,2026-11-28,4000,Revenue,CC0004,PC004,44070.44,USD,11,2026
JRN0000041,2025-05-02,4000,Revenue,CC0004,PC004,29322.43,USD,5,2025
JRN0000042,2026-01-06,5000,COGS,CC0004,PC004,-1845.27,USD,1,2026
JRN0000043,2026-08-26,4000,Revenue,CC0001,PC001,36880.01,USD,8,2026
JRN0000044,2025-12-21,6200,Operating Expense,CC0014,PC004,-35609.3,USD,12,2025
JRN0000045,2025-09-26,6200,Operating Expense,CC0011,PC001,-36709.17,USD,9,2025
JRN0000046,2025-11-10,6100,Operating Expense,CC0007,PC007,-43126.61,USD,11,2025
JRN0000047,2026-09-07,6200,Operating Expense,CC0017,PC007,-6285.64,USD,9,2026
JRN0000048,2026-03-27,6200,Operating Expense,CC0016,PC006,-23488.01,USD,3,2026
JRN0000049,2025-03-08,4000,Revenue,CC0016,PC006,31422.61,USD,3,2025
JRN0000050,2026-06-12,6100,Operating Expense,CC0015,PC005,-10116.82,USD,6,2026
JRN0000051,2026-07-14,5000,COGS,CC0014,PC004,-37889.29,USD,7,2026
JRN0000052,2026-02-03,6100,Operating Expense,CC0003,PC003,-46616.8,USD,2,2026
JRN0000053,2025-07-07,4000,Revenue,CC0005,PC005,23785.8,USD,7,2025
JRN0000054,2026-08-28,5000,COGS,CC0014,PC004,-36071.87,USD,8,2026
JRN0000055,2026-04-20,6100,Operating Expense,CC0016,PC006,-16133.56,USD,4,2026
JRN0000056,2025-05-31,4000,Revenue,CC0010,PC010,29738.31,USD,5,2025
JRN0000057,2025-07-01,5000,COGS,CC0016,PC006,-33305.75,USD,7,2025
JRN0000058,2026-05-29,6200,Operating Expense,CC0011,PC001,-27236.64,USD,5,2026
JRN0000059,2026-04-24,6200,Operating Expense,CC0013,PC003,-36116.54,USD,4,2026
JRN0000060,2025-09-06,6100,Operating Expense,CC0004,PC004,-1807.29,USD,9,2025
JRN0000061,2025-05-30,6100,Operating Expense,CC0006,PC006,-5071.33,USD,5,2025
JRN0000062,2025-01-19,5000,COGS,CC0019,PC009,-4412.78,USD,1,2025
JRN0000063,2026-03-21,4000,Revenue,CC0008,PC008,3145.87,USD,3,2026
JRN0000064,2026-06-04,5000,COGS,CC0015,PC005,-35948.52,USD,6,2026
JRN0000065,2026-01-16,4000,Revenue,CC0018,PC008,7858.53,USD,1,2026
JRN0000066,2026-11-08,4000,Revenue,CC0010,PC010,28681.59,USD,11,2026
JRN0000067,2025-01-13,6200,Operating Expense,CC0010,PC010,-7948.78,USD,1,2025
JRN0000068,2026-05-18,6200,Operating Expense,CC0010,PC010,-35939.75,USD,5,2026
JRN0000069,2026-08-11,4000,Revenue,CC0012,PC002,28007.91,USD,8,2026
JRN0000070,2025-07-03,6100,Operating Expense,CC0018,PC008,-2979.08,USD,7,2025
JRN0000071,2025-02-16,6200,Operating Expense,CC0013,PC003,-14306.88,USD,2,2025
JRN0000072,2026-05-27,5000,COGS,CC0013,PC003,-20077.3,USD,5,2026
JRN0000073,2025-07-28,6200,Operating Expense,CC0002,PC002,-37896.75,USD,7,2025
JRN0000074,2025-10-12,4000,Revenue,CC0019,PC009,40706.53,USD,10,2025
JRN0000075,2025-09-22,6100,Operating Expense,CC0015,PC005,-18384.17,USD,9,2025
JRN0000076,2025-07-28,6100,Operating Expense,CC0019,PC009,-18439.07,USD,7,2025
JRN0000077,2025-04-06,6100,Operating Expense,CC0019,PC009,-11677.61,USD,4,2025
JRN0000078,2025-10-11,4000,Revenue,CC0015,PC005,43937.61,USD,10,2025
JRN0000079,2026-10-20,6200,Operating Expense,CC0012,PC002,-7761.23,USD,10,2026
JRN0000080,2025-06-29,5000,COGS,CC0004,PC004,-20617.26,USD,6,2025
JRN0000081,2026-06-19,6200,Operating Expense,CC0015,PC005,-15568.51,USD,6,2026
JRN0000082,2026-03-25,6200,Operating Expense,CC0017,PC007,-9743.35,USD,3,2026
JRN0000083,2026-09-17,6100,Operating Expense,CC0005,PC005,-39092.72,USD,9,2026
JRN0000084,2025-10-11,6200,Operating Expense,CC0005,PC005,-46785.96,USD,10,2025
JRN0000085,2025-09-05,5000,COGS,CC0020,PC010,-23188.12,USD,9,2025
JRN0000086,2026-03-15,5000,COGS,CC0019,PC009,-3591.29,USD,3,2026
JRN0000087,2025-04-24,5000,COGS,CC0001,PC001,-11469.35,USD,4,2025
JRN0000088,2026-01-11,6100,Operating Expense,CC0007,PC007,-9425.0,USD,1,2026
JRN0000089,2025-12-25,6100,Operating Expense,CC0020,PC010,-31332.66,USD,12,2025
JRN0000090,2026-12-27,6100,Operating Expense,CC0013,PC003,-20987.04,USD,12,2026
JRN0000091,2026-03-08,5000,COGS,CC0009,PC009,-11338.91,USD,3,2026
JRN0000092,2026-05-27,4000,Revenue,CC0019,PC009,10111.29,USD,5,2026
JRN0000093,2025-03-06,6200,Operating Expense,CC0004,PC004,-30450.15,USD,3,2025
JRN0000094,2025-12-14,4000,Revenue,CC0008,PC008,46423.68,USD,12,2025
JRN0000095,2025-12-22,4000,Revenue,CC0014,PC004,25328.06,USD,12,2025
JRN0000096,2025-02-08,6200,Operating Expense,CC0015,PC005,-47130.37,USD,2,2025
JRN0000097,2025-02-18,6100,Operating Expense,CC0003,PC003,-15924.71,USD,2,2025
JRN0000098,2025-03-02,6200,Operating Expense,CC0009,PC009,-13804.83,USD,3,2025
JRN0000099,2026-07-03,6200,Operating Expense,CC0010,PC010,-23136.13,USD,7,2026
JRN0000100,2026-07-26,5000,COGS,CC0003,PC003,-30988.08,USD,7,2026
JRN0000101,2025-09-13,6100,Operating Expense,CC0013,PC003,-41981.27,USD,9,2025
JRN0000102,2025-06-03,6200,Operating Expense,CC0013,PC003,-34804.89,USD,6,2025
JRN0000103,2025-06-09,6200,Operating Expense,CC0006,PC006,-25026.75,USD,6,2025
JRN0000104,2026-09-21,4000,Revenue,CC0019,PC009,46500.91,USD,9,2026
JRN0000105,2026-10-16,6200,Operating Expense,CC0004,PC004,-41532.62,USD,10,2026
JRN0000106,2025-03-30,5000,COGS,CC0014,PC004,-48225.92,USD,3,2025
JRN0000107,2025-04-05,6200,Operating Expense,CC0003,PC003,-32021.34,USD,4,2025
JRN0000108,2025-01-25,6100,Operating Expense,CC0004,PC004,-43872.47,USD,1,2025
JRN0000109,2026-08-11,5000,COGS,CC0007,PC007,-20560.16,USD,8,2026
JRN0000110,2026-02-21,5000,COGS,CC0017,PC007,-7846.64,USD,2,2026
JRN0000111,2026-07-10,6200,Operating Expense,CC0016,PC006,-653.36,USD,7,2026
JRN0000112,2025-05-05,4000,Revenue,CC0001,PC001,27732.2,USD,5,2025
JRN0000113,2026-10-28,5000,COGS,CC0013,PC003,-40364.36,USD,10,2026
JRN0000114,2025-02-04,4000,Revenue,CC0014,PC004,18438.43,USD,2,2025
JRN0000115,2026-10-09,5000,COGS,CC0010,PC010,-27921.54,USD,10,2026
JRN0000116,2025-02-18,4000,Revenue,CC0012,PC002,10572.06,USD,2,2025
JRN0000117,2025-04-04,6100,Operating Expense,CC0006,PC006,-42896.65,USD,4,2025
JRN0000118,2025-06-23,6100,Operating Expense,CC0014,PC004,-5320.1,USD,6,2025
JRN0000119,2025-08-24,5000,COGS,CC0004,PC004,-4983.8,USD,8,2025
JRN0000120,2025-11-28,6200,Operating Expense,CC0012,PC002,-40314.04,USD,11,2025
JRN0000121,2025-05-13,6200,Operating Expense,CC0007,PC007,-30150.67,USD,5,2025
JRN0000122,2026-12-13,6200,Operating Expense,CC0002,PC002,-2933.27,USD,12,2026
JRN0000123,2025-04-08,6100,Operating Expense,CC0015,PC005,-39547.02,USD,4,2025
JRN0000124,2025-05-19,5000,COGS,CC0017,PC007,-10631.52,USD,5,2025
JRN0000125,2025-02-12,5000,COGS,CC0016,PC006,-45932.67,USD,2,2025
JRN0000126,2025-01-28,6100,Operating Expense,CC0019,PC009,-3240.4,USD,1,2025
JRN0000127,2025-01-03,6200,Operating Expense,CC0018,PC008,-40848.57,USD,1,2025
JRN0000128,2026-11-28,4000,Revenue,CC0004,PC004,6119.86,USD,11,2026
JRN0000129,2026-09-15,6100,Operating Expense,CC0012,PC002,-16190.62,USD,9,2026
JRN0000130,2026-08-18,6100,Operating Expense,CC0004,PC004,-28408.17,USD,8,2026
JRN0000131,2025-08-08,6200,Operating Expense,CC0002,PC002,-8207.84,USD,8,2025
JRN0000132,2025-01-09,5000,COGS,CC0009,PC009,-40544.11,USD,1,2025
JRN0000133,2026-11-07,6100,Operating Expense,CC0012,PC002,-48403.05,USD,11,2026
JRN0000134,2026-02-04,6100,Operating Expense,CC0001,PC001,-45949.06,USD,2,2026
JRN0000135,2025-09-04,5000,COGS,CC0019,PC009,-45700.26,USD,9,2025
JRN0000136,2025-12-09,6100,Operating Expense,CC0015,PC005,-8241.84,USD,12,2025
JRN0000137,2026-01-17,4000,Revenue,CC0012,PC002,40587.25,USD,1,2026
JRN0000138,2026-03-27,6200,Operating Expense,CC0006,PC006,-5809.85,USD,3,2026
JRN0000139,2026-09-19,6200,Operating Expense,CC0013,PC003,-3544.67,USD,9,2026
JRN0000140,2025-10-06,6100,Operating Expense,CC0017,PC007,-3866.61,USD,10,2025
JRN0000141,2025-04-06,5000,COGS,CC0009,PC009,-1807.49,USD,4,2025
JRN0000142,2025-08-10,6200,Operating Expense,CC0007,PC007,-38567.15,USD,8,2025
JRN0000143,2026-05-31,5000,COGS,CC0018,PC008,-48996.63,USD,5,2026
JRN0000144,2025-07-21,6200,Operating Expense,CC0020,PC010,-33386.69,USD,7,2025
JRN0000145,2025-09-19,6100,Operating Expense,CC0001,PC001,-34827.04,USD,9,2025
JRN0000146,2026-01-15,6100,Operating Expense,CC0003,PC003,-49460.22,USD,1,2026
JRN0000147,2025-08-09,6200,Operating Expense,CC0013,PC003,-36415.25,USD,8,2025
JRN0000148,2026-04-16,6200,Operating Expense,CC0006,PC006,-2250.13,USD,4,2026
JRN0000149,2025-09-13,4000,Revenue,CC0011,PC001,43144.85,USD,9,2025
JRN0000150,2026-06-29,6200,Operating Expense,CC0006,PC006,-21412.38,USD,6,2026
JRN0000151,2025-10-11,6200,Operating Expense,CC0017,PC007,-44232.49,USD,10,2025
JRN0000152,2026-01-22,4000,Revenue,CC0010,PC010,36565.52,USD,1,2026
JRN0000153,2026-03-25,6100,Operating Expense,CC0006,PC006,-604.26,USD,3,2026
JRN0000154,2026-10-09,5000,COGS,CC0001,PC001,-41156.64,USD,10,2026
JRN0000155,2025-02-28,5000,COGS,CC0014,PC004,-19530.89,USD,2,2025
JRN0000156,2025-06-25,5000,COGS,CC0004,PC004,-2307.05,USD,6,2025
JRN0000157,2026-05-15,6200,Operating Expense,CC0003,PC003,-18172.32,USD,5,2026
JRN0000158,2025-06-30,4000,Revenue,CC0004,PC004,39987.22,USD,6,2025
JRN0000159,2026-12-03,6200,Operating Expense,CC0015,PC005,-8259.16,USD,12,2026
JRN0000160,2025-03-28,5000,COGS,CC0005,PC005,-42595.6,USD,3,2025
JRN0000161,2026-03-21,6100,Operating Expense,CC0016,PC006,-7765.0,USD,3,2026
JRN0000162,2025-06-29,6100,Operating Expense,CC0003,PC003,-7573.06,USD,6,2025
JRN0000163,2025-09-09,4000,Revenue,CC0015,PC005,34233.46,USD,9,2025
JRN0000164,2025-08-09,4000,Revenue,CC0004,PC004,9049.59,USD,8,2025
JRN0000165,2026-02-09,4000,Revenue,CC0009,PC009,23572.2,USD,2,2026
JRN0000166,2026-09-19,6200,Operating Expense,CC0013,PC003,-23926.41,USD,9,2026
JRN0000167,2025-01-16,5000,COGS,CC0014,PC004,-34764.28,USD,1,2025
JRN0000168,2026-08-23,6200,Operating Expense,CC0014,PC004,-20416.44,USD,8,2026
JRN0000169,2025-10-25,6200,Operating Expense,CC0011,PC001,-6686.17,USD,10,2025
JRN0000170,2026-07-01,6100,Operating Expense,CC0017,PC007,-34537.98,USD,7,2026
JRN0000171,2025-11-11,4000,Revenue,CC0004,PC004,47665.54,USD,11,2025
JRN0000172,2026-09-14,5000,COGS,CC0006,PC006,-23198.75,USD,9,2026
JRN0000173,2026-01-25,6100,Operating Expense,CC0012,PC002,-22269.08,USD,1,2026
JRN0000174,2026-09-28,6100,Operating Expense,CC0003,PC003,-27022.43,USD,9,2026
JRN0000175,2026-11-15,4000,Revenue,CC0015,PC005,4319.54,USD,11,2026
JRN0000176,2025-07-21,6100,Operating Expense,CC0007,PC007,-32014.27,USD,7,2025
JRN0000177,2026-04-26,6200,Operating Expense,CC0013,PC003,-13964.22,USD,4,2026
JRN0000178,2025-07-17,6100,Operating Expense,CC0006,PC006,-30917.98,USD,7,2025
JRN0000179,2026-01-06,6200,Operating Expense,CC0007,PC007,-22249.94,USD,1,2026
JRN0000180,2026-05-12,4000,Revenue,CC0016,PC006,48202.5,USD,5,2026
JRN0000181,2025-05-12,6200,Operating Expense,CC0010,PC010,-30116.31,USD,5,2025
JRN0000182,2025-08-15,4000,Revenue,CC0016,PC006,24053.14,USD,8,2025
JRN0000183,2026-05-02,6100,Operating Expense,CC0011,PC001,-6524.88,USD,5,2026
JRN0000184,2026-11-27,6200,Operating Expense,CC0020,PC010,-30242.88,USD,11,2026
JRN0000185,2025-11-04,6100,Operating Expense,CC0009,PC009,-46173.03,USD,11,2025
JRN0000186,2026-02-01,4000,Revenue,CC0007,PC007,49116.83,USD,2,2026
JRN0000187,2025-11-19,4000,Revenue,CC0001,PC001,9900.2,USD,11,2025
JRN0000188,2025-01-30,4000,Revenue,CC0003,PC003,47736.38,USD,1,2025
JRN0000189,2025-04-25,6200,Operating Expense,CC0012,PC002,-43193.21,USD,4,2025
JRN0000190,2025-03-18,6100,Operating Expense,CC0010,PC010,-17362.73,USD,3,2025
JRN0000191,2025-05-12,5000,COGS,CC0004,PC004,-38662.22,USD,5,2025
JRN0000192,2025-07-06,6200,Operating Expense,CC0006,PC006,-13862.11,USD,7,2025
JRN0000193,2026-09-05,5000,COGS,CC0018,PC008,-6105.5,USD,9,2026
JRN0000194,2025-03-11,6200,Operating Expense,CC0011,PC001,-1323.97,USD,3,2025
JRN0000195,2025-01-06,6200,Operating Expense,CC0011,PC001,-41011.24,USD,1,2025
JRN0000196,2026-01-06,4000,Revenue,CC0003,PC003,23182.27,USD,1,2026
JRN0000197,2025-08-19,6100,Operating Expense,CC0006,PC006,-45744.0,USD,8,2025
JRN0000198,2026-07-12,6200,Operating Expense,CC0006,PC006,-16529.48,USD,7,2026
JRN0000199,2025-05-24,5000,COGS,CC0017,PC007,-36915.41,USD,5,2025
JRN0000200,2026-12-11,5000,COGS,CC0010,PC010,-38354.95,USD,12,2026
JRN0000201,2026-05-25,4000,Revenue,CC0002,PC002,849.75,USD,5,2026
JRN0000202,2025-10-05,5000,COGS,CC0004,PC004,-6432.75,USD,10,2025
JRN0000203,2026-01-28,6100,Operating Expense,CC0002,PC002,-11232.49,USD,1,2026
JRN0000204,2025-02-03,5000,COGS,CC0020,PC010,-29902.62,USD,2,2025
JRN0000205,2026-09-07,6100,Operating Expense,CC0011,PC001,-31027.49,USD,9,2026
JRN0000206,2026-10-17,5000,COGS,CC0002,PC002,-38232.29,USD,10,2026
JRN0000207,2025-10-23,6100,Operating Expense,CC0010,PC010,-24630.59,USD,10,2025
JRN0000208,2026-12-26,6100,Operating Expense,CC0002,PC002,-15817.43,USD,12,2026
JRN0000209,2026-10-09,5000,COGS,CC0020,PC010,-37469.83,USD,10,2026
JRN0000210,2026-03-19,6200,Operating Expense,CC0003,PC003,-17341.46,USD,3,2026
JRN0000211,2025-10-20,6100,Operating Expense,CC0002,PC002,-45506.89,USD,10,2025
JRN0000212,2026-01-24,6200,Operating Expense,CC0003,PC003,-14085.07,USD,1,2026
JRN0000213,2025-08-05,6100,Operating Expense,CC0015,PC005,-37118.54,USD,8,2025
JRN0000214,2026-11-19,6100,Operating Expense,CC0005,PC005,-30273.68,USD,11,2026
JRN0000215,2026-07-09,5000,COGS,CC0008,PC008,-43611.28,USD,7,2026
JRN0000216,2025-01-15,4000,Revenue,CC0012,PC002,34956.56,USD,1,2025
JRN0000217,2025-11-06,6200,Operating Expense,CC0001,PC001,-10878.11,USD,11,2025
JRN0000218,2025-03-22,6100,Operating Expense,CC0015,PC005,-17076.91,USD,3,2025
JRN0000219,2026-06-05,6200,Operating Expense,CC0016,PC006,-11594.44,USD,6,2026
JRN0000220,2026-03-13,6200,Operating Expense,CC0002,PC002,-24077.41,USD,3,2026
JRN0000221,2025-01-21,6100,Operating Expense,CC0012,PC002,-38946.38,USD,1,2025
JRN0000222,2026-12-31,5000,COGS,CC0014,PC004,-19957.76,USD,12,2026
JRN0000223,2025-06-20,5000,COGS,CC0005,PC005,-35765.79,USD,6,2025
JRN0000224,2025-07-12,5000,COGS,CC0011,PC001,-43550.58,USD,7,2025
JRN0000225,2025-01-09,4000,Revenue,CC0012,PC002,23584.17,USD,1,2025
JRN0000226,2026-12-23,6200,Operating Expense,CC0016,PC006,-10889.18,USD,12,2026
JRN0000227,2025-01-27,6100,Operating Expense,CC0006,PC006,-9335.83,USD,1,2025
JRN0000228,2026-06-26,6100,Operating Expense,CC0006,PC006,-49152.13,USD,6,2026
JRN0000229,2025-08-31,6200,Operating Expense,CC0015,PC005,-16060.53,USD,8,2025
JRN0000230,2026-06-09,6100,Operating Expense,CC0013,PC003,-20637.11,USD,6,2026
JRN0000231,2025-05-20,6100,Operating Expense,CC0013,PC003,-4405.67,USD,5,2025
JRN0000232,2025-03-06,4000,Revenue,CC0006,PC006,7497.69,USD,3,2025
JRN0000233,2025-11-18,4000,Revenue,CC0001,PC001,21259.94,USD,11,2025
JRN0000234,2026-11-28,6100,Operating Expense,CC0006,PC006,-44030.17,USD,11,2026
JRN0000235,2026-04-18,4000,Revenue,CC0005,PC005,29851.0,USD,4,2026
JRN0000236,2025-07-20,5000,COGS,CC0020,PC010,-27490.07,USD,7,2025
JRN0000237,2025-01-25,6100,Operating Expense,CC0019,PC009,-19730.23,USD,1,2025
JRN0000238,2025-06-06,6200,Operating Expense,CC0002,PC002,-29130.82,USD,6,2025
JRN0000239,2025-05-30,5000,COGS,CC0001,PC001,-6324.99,USD,5,2025
JRN0000240,2026-09-04,6100,Operating Expense,CC0019,PC009,-5044.46,USD,9,2026
JRN0000241,2026-05-02,6100,Operating Expense,CC0015,PC005,-47779.91,USD,5,2026
JRN0000242,2026-01-18,6200,Operating Expense,CC0013,PC003,-35918.38,USD,1,2026
JRN0000243,2025-05-09,5000,COGS,CC0001,PC001,-4401.35,USD,5,2025
JRN0000244,2026-07-08,5000,COGS,CC0006,PC006,-33796.65,USD,7,2026
JRN0000245,2026-07-01,5000,COGS,CC0020,PC010,-5591.51,USD,7,2026
JRN0000246,2025-09-09,6100,Operating Expense,CC0006,PC006,-38782.17,USD,9,2025
JRN0000247,2025-05-20,4000,Revenue,CC0012,PC002,43199.17,USD,5,2025
JRN0000248,2025-03-12,6200,Operating Expense,CC0003,PC003,-30802.01,USD,3,2025
JRN0000249,2025-01-24,6200,Operating Expense,CC0011,PC001,-38342.65,USD,1,2025
JRN0000250,2025-01-20,6100,Operating Expense,CC0018,PC008,-30324.71,USD,1,2025
JRN0000251,2026-05-11,5000,COGS,CC0020,PC010,-18512.14,USD,5,2026
JRN0000252,2026-06-18,5000,COGS,CC0018,PC008,-35309.66,USD,6,2026
JRN0000253,2026-10-23,4000,Revenue,CC0010,PC010,21880.11,USD,10,2026
JRN0000254,2026-08-28,4000,Revenue,CC0005,PC005,11533.26,USD,8,2026
JRN0000255,2025-10-03,4000,Revenue,CC0020,PC010,45794.86,USD,10,2025
JRN0000256,2025-12-27,6200,Operating Expense,CC0008,PC008,-9282.51,USD,12,2025
JRN0000257,2026-04-05,6100,Operating Expense,CC0011,PC001,-45637.97,USD,4,2026
JRN0000258,2026-02-05,6200,Operating Expense,CC0007,PC007,-18404.75,USD,2,2026
JRN0000259,2026-11-04,4000,Revenue,CC0017,PC007,17892.41,USD,11,2026
JRN0000260,2025-02-06,6100,Operating Expense,CC0006,PC006,-36960.18,USD,2,2025
JRN0000261,2026-08-19,6200,Operating Expense,CC0004,PC004,-48810.58,USD,8,2026
JRN0000262,2025-11-21,6200,Operating Expense,CC0016,PC006,-21071.99,USD,11,2025
JRN0000263,2025-04-24,4000,Revenue,CC0001,PC001,32771.94,USD,4,2025
JRN0000264,2026-01-10,5000,COGS,CC0017,PC007,-45698.96,USD,1,2026
JRN0000265,2026-08-09,6100,Operating Expense,CC0003,PC003,-19396.24,USD,8,2026
JRN0000266,2026-09-08,6100,Operating Expense,CC0011,PC001,-528.6,USD,9,2026
JRN0000267,2025-03-09,6200,Operating Expense,CC0005,PC005,-42136.87,USD,3,2025
JRN0000268,2026-10-03,5000,COGS,CC0009,PC009,-41135.77,USD,10,2026
JRN0000269,2025-01-24,4000,Revenue,CC0016,PC006,47476.01,USD,1,2025
JRN0000270,2026-01-31,6100,Operating Expense,CC0012,PC002,-7558.67,USD,1,2026
JRN0000271,2026-10-02,6200,Operating Expense,CC0011,PC001,-10852.32,USD,10,2026
JRN0000272,2026-05-21,6200,Operating Expense,CC0003,PC003,-6005.3,USD,5,2026
JRN0000273,2026-05-20,6100,Operating Expense,CC0013,PC003,-45732.66,USD,5,2026
JRN0000274,2026-06-16,5000,COGS,CC0009,PC009,-5201.02,USD,6,2026
JRN0000275,2026-06-01,4000,Revenue,CC0015,PC005,41274.53,USD,6,2026
JRN0000276,2025-05-21,6200,Operating Expense,CC0012,PC002,-3188.48,USD,5,2025
JRN0000277,2025-11-16,6100,Operating Expense,CC0013,PC003,-30543.48,USD,11,2025
JRN0000278,2025-08-18,4000,Revenue,CC0002,PC002,2336.22,USD,8,2025
JRN0000279,2025-10-20,6100,Operating Expense,CC0020,PC010,-18971.56,USD,10,2025
JRN0000280,2026-01-08,6200,Operating Expense,CC0020,PC010,-48877.79,USD,1,2026
JRN0000281,2025-11-08,6200,Operating Expense,CC0003,PC003,-46180.09,USD,11,2025
JRN0000282,2026-07-08,4000,Revenue,CC0015,PC005,33046.56,USD,7,2026
JRN0000283,2026-08-14,4000,Revenue,CC0014,PC004,7926.37,USD,8,2026
JRN0000284,2025-01-10,6100,Operating Expense,CC0008,PC008,-8562.18,USD,1,2025
JRN0000285,2026-07-31,6100,Operating Expense,CC0016,PC006,-31791.81,USD,7,2026
JRN0000286,2025-06-07,5000,COGS,CC0007,PC007,-815.65,USD,6,2025
JRN0000287,2026-04-07,6100,Operating Expense,CC0016,PC006,-38083.31,USD,4,2026
JRN0000288,2025-03-15,5000,COGS,CC0005,PC005,-18879.26,USD,3,2025
JRN0000289,2025-06-10,6200,Operating Expense,CC0002,PC002,-43456.4,USD,6,2025
JRN0000290,2025-01-23,4000,Revenue,CC0018,PC008,22816.68,USD,1,2025
JRN0000291,2026-02-24,5000,COGS,CC0018,PC008,-26011.07,USD,2,2026
JRN0000292,2026-06-22,6100,Operating Expense,CC0015,PC005,-43722.03,USD,6,2026
JRN0000293,2026-07-08,4000,Revenue,CC0020,PC010,19918.53,USD,7,2026
JRN0000294,2025-05-17,6100,Operating Expense,CC0019,PC009,-37693.0,USD,5,2025
JRN0000295,2026-09-15,6200,Operating Expense,CC0004,PC004,-20675.12,USD,9,2026
JRN0000296,2025-06-06,5000,COGS,CC0010,PC010,-12156.71,USD,6,2025
JRN0000297,2025-06-27,5000,COGS,CC0003,PC003,-9613.67,USD,6,2025
JRN0000298,2026-02-20,5000,COGS,CC0011,PC001,-42362.99,USD,2,2026
JRN0000299,2026-04-28,6100,Operating Expense,CC0020,PC010,-33314.26,USD,4,2026
JRN0000300,2026-09-04,6200,Operating Expense,CC0012,PC002,-29775.36,USD,9,2026
JRN0000301,2025-08-03,4000,Revenue,CC0013,PC003,36567.18,USD,8,2025
JRN0000302,2026-04-02,5000,COGS,CC0003,PC003,-10438.46,USD,4,2026
JRN0000303,2025-04-06,4000,Revenue,CC0019,PC009,40859.3,USD,4,2025
JRN0000304,2026-06-12,5000,COGS,CC0019,PC009,-11441.65,USD,6,2026
