Budget_ID,Fiscal_Year,Fiscal_Period,Cost_Center,Profit_Center,Budget_Revenue,Budget_Cost,Budget_Profit,Forecast_Revenue,Forecast_Cost
BUD0000048,2025,12,CC0015,PC005,160320.07,121850.65,38469.42,162929.03,123164.21
BUD0000049,2026,5,CC0014,PC004,629808.32,455780.84,174027.48,632968.47,485268.61
BUD0000050,2025,3,CC0004,PC004,309002.27,203639.85,105362.42,316929.61,201043.14
BUD0000051,2026,4,CC0012,PC002,514632.79,318784.32,195848.47,539761.36,339271.06
BUD0000052,2025,4,CC0006,PC006,552069.64,375408.04,176661.6,599859.21,357908.7
BUD0000053,2025,7,CC0017,PC007,328402.26,214206.12,114196.14,328946.58,204557.74
BUD0000054,2026,9,CC0019,PC009,217862.81,154575.19,63287.62,232039.97,151992.94
BUD0000055,2025,7,CC0016,PC006,545764.52,375490.97,170273.55,565921.3,367387.08
BUD0000056,2025,8,CC0002,PC002,228443.62,137914.32,90529.3,243893.08,142174.28
BUD0000057,2025,11,CC0017,PC007,227773.62,171883.4,55890.22,228714.72,175853.72
BUD0000058,2025,10,CC0005,PC005,372388.49,304933.01,67455.48,357149.65,297737.2
BUD0000059,2025,6,CC0012,PC002,488321.32,304224.0,184097.32,536363.8,312957.16
BUD0000060,2026,1,CC0011,PC001,455708.16,356932.42,98775.74,468326.24,343512.85
BUD0000061,2025,10,CC0020,PC010,377804.37,219219.21,158585.16,386729.82,229950.12
BUD0000062,2026,6,CC0001,PC001,299065.01,232175.07,66889.94,305025.8,249570.82
BUD0000063,2025,11,CC0012,PC002,389818.54,303809.27,86009.27,404900.28,321743.87
BUD0000064,2026,3,CC0010,PC010,294159.41,177558.64,116600.77,309821.78,180776.83
BUD0000065,2026,12,CC0010,PC010,530028.43,391658.95,138369.48,553223.15,409451.35
BUD0000066,2026,12,CC0019,PC009,397011.86,239634.37,157377.49,407149.15,232390.45
BUD0000067,2026,3,CC0010,PC010,290659.86,164749.71,125910.15,295775.43,173757.97
BUD0000068,2026,10,CC0019,PC009,627185.95,502385.68,124800.27,643869.13,484191.72
BUD0000069,2025,2,CC0006,PC006,308548.28,181360.33,127187.95,312725.19,177851.61
BUD0000070,2025,10,CC0004,PC004,676229.97,541770.04,134459.93,700421.57,538541.42
BUD0000071,2026,10,CC0019,PC009,136515.57,104762.4,31753.17,134233.34,99685.41
BUD0000072,2026,3,CC0017,PC007,519101.04,290012.06,229088.98,516968.75,307165.79
BUD0000073,2026,10,CC0017,PC007,681226.6,474309.45,206917.15,724048.01,497687.04
BUD0000074,2026,4,CC0001,PC001,80101.97,53883.18,26218.79,81873.51,54745.94
BUD0000075,2025,5,CC0020,PC010,544559.85,381833.94,162725.91,548763.89,369334.97
BUD0000076,2026,8,CC0003,PC003,501979.75,408236.08,93743.67,535365.64,390385.78
BUD0000077,2025,8,CC0018,PC008,334816.3,248121.29,86695.01,330079.58,243415.4
BUD0000078,2026,8,CC0016,PC006,444299.97,298098.11,146201.86,425581.03,308275.98
BUD0000079,2025,4,CC0017,PC007,195990.17,124904.69,71085.48,193012.83,120817.9
BUD0000080,2026,11,CC0006,PC006,429950.42,262878.73,167071.69,428081.57,268055.55
BUD0000081,2026,5,CC0011,PC001,245205.9,157195.74,88010.16,254100.7,154049.0
BUD0000082,2026,7,CC0020,PC010,302150.07,191905.47,110244.6,324379.97,183333.52
BUD0000083,2025,4,CC0009,PC009,229326.85,129694.64,99632.21,239013.11,125122.01
BUD0000084,2026,7,CC0006,PC006,300336.95,218942.45,81394.5,308696.45,232145.2
BUD0000085,2026,12,CC0015,PC005,124732.12,83126.89,41605.23,127564.87,82564.63
BUD0000086,2026,6,CC0010,PC010,480580.64,346179.42,134401.22,455618.03,338311.75
BUD0000087,2025,7,CC0012,PC002,91743.04,55271.67,36471.37,89122.31,54774.81
BUD0000088,2026,3,CC0008,PC008,188203.71,106010.35,82193.36,191452.8,113255.55
BUD0000089,2026,7,CC0012,PC002,171957.92,104258.11,67699.81,168193.32,108274.32
BUD0000090,2025,2,CC0019,PC009,322859.67,215105.48,107754.19,342974.07,220411.01
BUD0000091,2026,5,CC0015,PC005,452124.64,348291.82,103832.82,466941.21,360239.61
BUD0000092,2026,2,CC0005,PC005,513984.64,282736.16,231248.48,514224.73,273482.17
BUD0000093,2025,10,CC0010,PC010,221793.43,142317.08,79476.35,218309.14,149619.3
BUD0000094,2025,2,CC0003,PC003,54580.26,43435.82,11144.44,56012.11,43347.96
BUD0000095,2025,10,CC0007,PC007,339661.2,262856.43,76804.77,366517.97,252343.39
BUD0000096,2026,7,CC0002,PC002,594934.92,458488.72,136446.2,571267.22,443368.52
BUD0000097,2026,8,CC0002,PC002,342562.18,208286.67,134275.51,333803.91,198405.44
BUD0000098,2026,1,CC0009,PC009,735257.77,512247.12,223010.65,744741.61,545862.31
BUD0000099,2026,5,CC0016,PC006,371873.01,253774.24,118098.77,389735.17,268696.15
BUD0000100,2026,2,CC0020,PC010,208393.28,156526.29,51866.99,209463.29,165633.85
BUD0000101,2025,3,CC0018,PC008,582997.48,454469.86,128527.62,600748.29,452607.2
BUD0000102,2026,11,CC0012,PC002,264198.15,190144.92,74053.23,267261.47,183928.99
BUD0000103,2026,12,CC0018,PC008,294473.5,198833.17,95640.33,308227.8,211370.28
BUD0000104,2026,6,CC0018,PC008,582454.45,405657.46,176796.99,565796.49,400301.43
BUD0000105,2026,3,CC0011,PC001,448401.94,329090.22,119311.72,446646.35,329717.02
BUD0000106,2026,7,CC0014,PC004,403082.63,289623.37,113459.26,398016.69,296504.96
BUD0000107,2026,6,CC0013,PC003,548067.77,440711.9,107355.87,573456.47,439215.32
BUD0000108,2025,6,CC0017,PC007,103571.73,80096.29,23475.44,109507.91,77379.83
BUD0000109,2026,11,CC0006,PC006,594624.18,450305.91,144318.27,648433.44,475389.54
BUD0000110,2026,4,CC0018,PC008,298856.14,167500.32,131355.82,313234.51,165350.29
BUD0000111,2026,11,CC0020,PC010,563666.56,344070.91,219595.65,540753.51,339461.84
BUD0000112,2025,10,CC0014,PC004,531984.85,349554.04,182430.81,533414.85,340837.16
BUD0000113,2025,6,CC0002,PC002,76872.27,49649.45,27222.82,84344.23,50624.72
BUD0000114,2025,10,CC0014,PC004,227625.67,128550.55,99075.12,250297.79,123475.69
BUD0000115,2025,3,CC0016,PC006,546325.37,379428.02,166897.35,574282.31,394826.67
BUD0000116,2025,12,CC0004,PC004,742061.54,433799.69,308261.85,783114.54,427513.01
BUD0000117,2025,10,CC0014,PC004,219444.1,145149.84,74294.26,236924.95,149003.46
BUD0000118,2026,4,CC0002,PC002,357873.91,233289.35,124584.56,387106.71,224293.62
BUD0000119,2025,1,CC0004,PC004,705499.54,410423.58,295075.96,753034.52,407781.1
BUD0000120,2026,12,CC0017,PC007,412191.52,260570.33,151621.19,419635.58,274437.94
BUD0000121,2025,10,CC0014,PC004,327687.19,181811.01,145876.18,336823.06,180712.43
BUD0000122,2026,2,CC0015,PC005,599328.74,438793.81,160534.93,631840.88,469762.69
BUD0000123,2026,7,CC0011,PC001,210303.94,123756.38,86547.56,217963.75,120334.98
BUD0000124,2026,8,CC0011,PC001,612348.24,402062.43,210285.81,623472.8,414946.91
BUD0000125,2025,8,CC0020,PC010,706982.94,536959.16,170023.78,751401.81,535939.56
BUD0000126,2026,7,CC0016,PC006,404117.67,249090.13,155027.54,395345.1,249038.78
BUD0000127,2025,9,CC0018,PC008,293364.01,168141.59,125222.42,313633.95,166864.2
BUD0000128,2026,8,CC0006,PC006,251330.37,156221.81,95108.56,257555.91,149926.29
BUD0000129,2025,4,CC0016,PC006,439098.98,276057.21,163041.77,477070.18,267977.69
BUD0000130,2025,4,CC0020,PC010,744416.8,476161.6,268255.2,751813.93,510112.23
BUD0000131,2026,4,CC0003,PC003,597333.9,361777.81,235556.09,641541.31,380968.69
BUD0000132,2026,10,CC0017,PC007,159025.04,93542.88,65482.16,152258.87,100865.76
BUD0000133,2026,9,CC0001,PC001,491514.24,297340.04,194174.2,463494.3,298058.31
BUD0000134,2025,5,CC0002,PC002,91525.91,59358.43,32167.48,95645.93,60821.86
BUD0000135,2025,11,CC0015,PC005,381285.98,263970.39,117315.59,380884.01,277197.41
BUD0000136,2025,4,CC0011,PC001,237972.9,174835.73,63137.17,261449.28,176471.21
BUD0000137,2025,5,CC0016,PC006,555432.48,390048.65,165383.83,587286.0,370907.45
BUD0000138,2025,11,CC0017,PC007,341365.55,238615.56,102749.99,357387.81,244140.69
BUD0000139,2026,4,CC0001,PC001,63425.33,51459.59,11965.74,63529.35,51952.8
BUD0000140,2025,11,CC0012,PC002,649878.88,400240.78,249638.1,647956.11,403284.17
BUD0000141,2026,4,CC0008,PC008,179123.54,143191.07,35932.47,175881.86,144449.21
BUD0000142,2025,3,CC0014,PC004,77477.33,43692.21,33785.12,74818.03,44925.65
BUD0000143,2026,8,CC0010,PC010,421575.61,271506.34,150069.27,399492.19,276638.55
BUD0000144,2025,4,CC0002,PC002,625723.44,399322.6,226400.84,665361.85,385169.5
BUD0000145,2025,6,CC0010,PC010,349600.9,236459.24,113141.66,339145.81,224826.53
BUD0000146,2026,9,CC0007,PC007,628825.84,385505.69,243320.15,630114.6,376976.75
BUD0000147,2026,11,CC0002,PC002,60776.68,34593.52,26183.16,57655.17,33083.69
BUD0000148,2026,2,CC0005,PC005,215957.43,172396.3,43561.13,214705.73,179039.57
BUD0000149,2025,10,CC0004,PC004,115431.09,70993.85,44437.24,108589.79,68074.92
BUD0000150,2026,3,CC0005,PC005,382476.94,275530.58,106946.36,360757.87,276091.3
BUD0000151,2025,9,CC0015,PC005,510937.42,298693.22,212244.2,510246.2,308031.1
BUD0000152,2026,6,CC0001,PC001,275294.45,209579.22,65715.23,272084.13,223434.33
BUD0000153,2026,1,CC0011,PC001,249138.19,149722.94,99415.25,273070.42,159596.64
BUD0000154,2026,1,CC0015,PC005,221986.16,168892.99,53093.17,238734.75,167065.04
BUD0000155,2025,2,CC0004,PC004,432193.03,239167.26,193025.77,408961.74,243320.14
BUD0000156,2025,10,CC0005,PC005,490441.52,353228.41,137213.11,477415.33,368559.62
BUD0000157,2025,6,CC0001,PC001,592808.77,406400.62,186408.15,572291.87,403741.25
BUD0000158,2026,4,CC0004,PC004,467404.54,280139.94,187264.6,503863.8,274482.62
BUD0000159,2026,2,CC0015,PC005,656417.3,406857.31,249559.99,687217.64,404046.68
BUD0000160,2025,8,CC0003,PC003,138244.13,78990.3,59253.83,130788.68,84299.01
BUD0000161,2026,4,CC0008,PC008,558378.86,386866.29,171512.57,585310.45,416771.51
BUD0000162,2026,5,CC0017,PC007,537335.56,298830.57,238504.99,564239.41,284992.52
BUD0000163,2025,10,CC0009,PC009,94875.84,72164.62,22711.22,92381.21,74958.15
BUD0000164,2025,12,CC0017,PC007,303835.07,191268.71,112566.36,324573.81,199627.03
BUD0000165,2026,5,CC0012,PC002,218898.57,169202.86,49695.71,206557.88,178292.43
BUD0000166,2025,11,CC0005,PC005,598087.27,369263.46,228823.81,628654.2,388984.39
BUD0000167,2025,1,CC0004,PC004,735966.18,439406.61,296559.57,734421.56,463684.9
BUD0000168,2025,8,CC0017,PC007,743439.29,554911.41,188527.88,716176.94,592635.4
BUD0000169,2026,4,CC0010,PC010,173542.87,129570.72,43972.15,173816.22,137973.29
BUD0000170,2026,3,CC0019,PC009,163420.56,127079.07,36341.49,160660.13,130715.14
BUD0000171,2026,11,CC0013,PC003,177102.99,137764.17,39338.82,184927.37,137310.59
BUD0000172,2026,8,CC0013,PC003,489521.47,291120.23,198401.24,473622.87,306288.8
BUD0000173,2025,12,CC0010,PC010,317839.94,228280.11,89559.83,312516.11,219607.39
BUD0000174,2025,2,CC0005,PC005,50761.25,39596.93,11164.32,48541.58,41561.47
BUD0000175,2026,1,CC0012,PC002,405445.01,325561.37,79883.64,383717.01,329271.43
BUD0000176,2025,9,CC0006,PC006,110975.49,82893.88,28081.61,108646.94,80300.72
BUD0000177,2025,9,CC0019,PC009,663160.13,392032.86,271127.27,634605.35,374166.4
BUD0000178,2026,4,CC0012,PC002,572832.4,379021.92,193810.48,538996.64,394344.41
BUD0000179,2025,8,CC0015,PC005,208782.39,149344.8,59437.59,201443.11,143401.57
BUD0000180,2025,1,CC0003,PC003,154034.82,104977.32,49057.5,152973.38,113224.39
BUD0000181,2025,3,CC0010,PC010,414322.57,249849.87,164472.7,444966.72,254030.78
BUD0000182,2025,8,CC0015,PC005,140892.79,87263.8,53628.99,136928.84,86581.62
BUD0000183,2025,7,CC0008,PC008,556248.33,448431.44,107816.89,531986.02,471279.61
BUD0000184,2025,8,CC0014,PC004,510101.14,336127.86,173973.28,531904.78,361170.97
BUD0000185,2025,8,CC0007,PC007,694377.5,502152.01,192225.49,660035.3,485887.31
BUD0000186,2025,12,CC0007,PC007,227468.28,168574.0,58894.28,236308.57,165351.92
BUD0000187,2026,9,CC0009,PC009,260401.06,183052.33,77348.73,267884.64,194786.8
BUD0000188,2025,4,CC0013,PC003,438373.19,320267.2,118105.99,480478.08,317272.03
BUD0000189,2026,9,CC0010,PC010,83155.11,56809.55,26345.56,81466.12,58158.93
BUD0000190,2026,4,CC0006,PC006,447080.26,310878.05,136202.21,425757.65,321049.89
BUD0000191,2025,11,CC0013,PC003,452126.6,250937.07,201189.53,465226.8,255031.41
BUD0000192,2026,12,CC0008,PC008,103750.33,73614.97,30135.36,99070.57,73676.69
BUD0000193,2026,12,CC0005,PC005,570233.42,349071.08,221162.34,581911.6,357818.54
BUD0000194,2025,5,CC0009,PC009,744882.29,450897.74,293984.55,752821.31,429574.53
BUD0000195,2026,3,CC0001,PC001,313001.84,230572.5,82429.34,296401.19,239222.01
BUD0000196,2026,11,CC0002,PC002,119056.6,70132.3,48924.3,114350.48,72300.91
BUD0000197,2025,11,CC0013,PC003,482383.02,291620.44,190762.58,498064.82,314673.31
BUD0000198,2025,12,CC0007,PC007,649789.33,493172.26,156617.07,638236.78,519389.64
BUD0000199,2025,10,CC0014,PC004,598021.36,380144.28,217877.08,607280.48,369971.79
BUD0000200,2026,2,CC0020,PC010,503207.36,352395.97,150811.39,475555.39,353247.88
BUD0000201,2025,7,CC0012,PC002,263082.78,181670.94,81411.84,264113.76,186596.51
BUD0000202,2025,2,CC0012,PC002,717714.65,516675.03,201039.62,757008.83,513803.84
BUD0000203,2025,12,CC0004,PC004,745299.01,560176.26,185122.75,734263.3,573432.99
BUD0000204,2026,3,CC0020,PC010,605891.89,365037.18,240854.71,612237.99,368138.71
BUD0000205,2025,3,CC0009,PC009,428532.84,243570.79,184962.05,414242.1,258472.57
BUD0000206,2026,9,CC0017,PC007,650529.28,508053.08,142476.2,672978.25,495220.88
BUD0000207,2026,10,CC0007,PC007,140978.43,115232.89,25745.54,143329.75,112756.32
BUD0000208,2026,4,CC0016,PC006,521108.09,378731.54,142376.55,526216.55,397056.15
BUD0000209,2025,12,CC0001,PC001,660011.45,484743.24,175268.21,660454.87,462971.83
BUD0000210,2026,5,CC0010,PC010,650407.17,447803.65,202603.52,697824.64,448568.17
BUD0000211,2026,4,CC0002,PC002,98757.62,67944.49,30813.13,103375.6,64840.93
BUD0000212,2026,9,CC0008,PC008,675789.67,464256.87,211532.8,713018.46,475397.39
BUD0000213,2025,10,CC0013,PC003,291799.75,216693.99,75105.76,284464.33,210702.97
BUD0000214,2026,4,CC0015,PC005,306172.93,178218.74,127954.19,294343.9,175622.13
BUD0000215,2025,11,CC0008,PC008,624816.93,498046.4,126770.53,660719.54,477943.66
BUD0000216,2026,1,CC0013,PC003,481045.72,372501.88,108543.84,453898.22,392163.37
BUD0000217,2025,5,CC0010,PC010,471047.83,358946.08,112101.75,460919.39,368497.61
BUD0000218,2026,7,CC0010,PC010,668599.76,389992.12,278607.64,667906.25,374444.76
BUD0000219,2026,4,CC0003,PC003,699873.46,500893.72,198979.74,762966.25,492690.42
BUD0000220,2025,11,CC0015,PC005,596702.62,356170.15,240532.47,566206.57,374104.35
BUD0000221,2025,5,CC0004,PC004,182847.42,124351.48,58495.94,185788.93,119230.5
BUD0000222,2026,8,CC0013,PC003,513325.96,343852.47,169473.49,493596.7,336441.69
BUD0000223,2026,7,CC0012,PC002,233895.62,129843.49,104052.13,221118.74,124646.32
BUD0000224,2025,3,CC0015,PC005,373706.17,302839.47,70866.7,408373.75,316195.86
BUD0000225,2026,8,CC0014,PC004,305544.79,239964.84,65579.95,321847.32,253800.14
BUD0000226,2025,7,CC0003,PC003,289098.63,214552.31,74546.32,305486.08,228147.8
BUD0000227,2026,10,CC0020,PC010,560616.39,352279.33,208337.06,611127.15,338919.31
BUD0000228,2025,2,CC0019,PC009,731800.4,443977.1,287823.3,742079.38,469575.28
BUD0000229,2025,11,CC0011,PC001,650412.42,526109.76,124302.66,623171.38,507194.54
BUD0000230,2025,12,CC0005,PC005,307398.59,244930.84,62467.75,312834.76,263609.34
BUD0000231,2026,1,CC0018,PC008,226171.3,170527.74,55643.56,242030.92,173903.82
BUD0000232,2025,3,CC0013,PC003,419606.05,253315.35,166290.7,431317.72,270950.5
BUD0000233,2026,9,CC0004,PC004,537682.45,306922.59,230759.86,527500.57,300925.37
BUD0000234,2026,10,CC0009,PC009,629409.33,379813.97,249595.36,594832.06,401546.96
BUD0000235,2025,12,CC0002,PC002,275117.7,196187.12,78930.58,289463.46,186463.07
BUD0000236,2026,1,CC0018,PC008,284620.16,199751.83,84868.33,280391.74,205280.68
BUD0000237,2026,5,CC0011,PC001,438064.3,288205.54,149858.76,466467.31,299020.1
BUD0000238,2026,9,CC0003,PC003,487740.62,270247.88,217492.74,479295.65,259729.83
BUD0000239,2026,11,CC0009,PC009,325048.44,265576.87,59471.57,328206.84,259974.68
BUD0000240,2025,1,CC0002,PC002,320895.32,193439.38,127455.94,339557.63,185530.99
BUD0000241,2026,6,CC0012,PC002,331282.23,255834.23,75448.0,363396.29,261380.75
BUD0000242,2026,5,CC0017,PC007,281055.74,187908.71,93147.03,266589.12,199583.19
BUD0000243,2026,3,CC0004,PC004,525193.12,404538.14,120654.98,556684.63,418132.59
BUD0000244,2025,11,CC0009,PC009,219000.49,123680.87,95319.62,213600.59,123438.16
BUD0000245,2026,11,CC0012,PC002,636356.07,464468.71,171887.36,648046.35,486399.86
BUD0000246,2026,9,CC0017,PC007,656479.61,413721.02,242758.59,664860.99,394513.25
BUD0000247,2026,10,CC0020,PC010,398499.76,220881.22,177618.54,399601.05,229571.14
BUD0000248,2026,10,CC0011,PC001,140689.08,81733.38,58955.7,140294.88,86383.35
BUD0000249,2026,12,CC0012,PC002,400530.6,311160.28,89370.32,409644.08,327841.52
BUD0000250,2025,3,CC0013,PC003,648373.35,522303.33,126070.02,694813.73,496722.29
BUD0000251,2025,12,CC0005,PC005,587941.2,451136.69,136804.51,602518.03,468217.53
BUD0000252,2025,10,CC0005,PC005,254505.53,152752.35,101753.18,276067.08,158032.08
BUD0000253,2025,4,CC0016,PC006,87552.05,50486.27,37065.78,85177.41,51187.89
BUD0000254,2025,5,CC0008,PC008,658884.0,483177.83,175706.17,661304.58,519046.67
BUD0000255,2025,1,CC0004,PC004,681617.14,497791.22,183825.92,690204.14,502677.08
BUD0000256,2025,11,CC0017,PC007,695244.89,413135.14,282109.75,734782.11,434546.15
BUD0000257,2026,6,CC0007,PC007,258868.74,146986.56,111882.18,281665.79,144130.57
BUD0000258,2025,8,CC0014,PC004,345655.36,260644.72,85010.64,368026.22,254061.45
BUD0000259,2025,10,CC0013,PC003,304472.51,240144.12,64328.39,307251.8,241406.78
BUD0000260,2025,4,CC0013,PC003,532334.72,436403.11,95931.61,560243.54,434101.73
BUD0000261,2026,11,CC0014,PC004,613549.53,458396.33,155153.2,595648.97,478859.13
BUD0000262,2026,2,CC0007,PC007,506077.63,324622.58,181455.05,497517.87,341511.88
BUD0000263,2026,6,CC0004,PC004,664939.08,446655.27,218283.81,675303.63,463449.79
BUD0000264,2025,4,CC0014,PC004,667861.14,455832.15,212028.99,680477.97,443146.18
BUD0000265,2025,9,CC0014,PC004,624424.46,406247.44,218177.02,653402.54,398150.56
BUD0000266,2025,9,CC0009,PC009,171719.34,134638.51,37080.83,165677.58,133692.42
BUD0000267,2025,11,CC0012,PC002,152340.92,120766.52,31574.4,146615.97,120166.33
BUD0000268,2025,4,CC0020,PC010,615337.82,465476.21,149861.61,667196.1,497856.78
BUD0000269,2026,8,CC0005,PC005,404843.1,299771.85,105071.25,417592.06,287147.81
BUD0000270,2025,6,CC0003,PC003,141124.13,92290.98,48833.15,134021.59,94879.26
BUD0000271,2025,1,CC0013,PC003,325204.15,261400.9,63803.25,357691.38,265041.04
BUD0000272,2025,1,CC0015,PC005,139896.7,79039.95,60856.75,153835.83,76075.95
BUD0000273,2025,5,CC0020,PC010,736750.46,532621.03,204129.43,803002.4,533954.12
BUD0000274,2026,12,CC0001,PC001,573759.51,459523.07,114236.44,623982.5,466758.5
BUD0000275,2026,6,CC0003,PC003,147543.54,118449.55,29093.99,161809.37,115551.23
BUD0000276,2026,1,CC0016,PC006,709969.54,475986.77,233982.77,763511.29,453707.2
BUD0000277,2026,3,CC0014,PC004,411584.79,273738.39,137846.4,416335.46,278036.91
BUD0000278,2026,12,CC0008,PC008,748480.65,424922.98,323557.67,775790.72,437151.91
BUD0000279,2025,12,CC0002,PC002,330582.14,263745.1,66837.04,350393.98,270854.79
BUD0000280,2026,1,CC0013,PC003,158306.02,92689.24,65616.78,154303.25,89173.31
BUD0000281,2025,2,CC0010,PC010,73507.71,56767.38,16740.33,71552.96,54561.21
BUD0000282,2026,2,CC0019,PC009,563308.75,411893.82,151414.93,543335.04,424855.01
BUD0000283,2026,9,CC0013,PC003,342187.08,220846.92,121340.16,349028.19,231528.54
BUD0000284,2025,10,CC0016,PC006,638103.67,489741.47,148362.2,633309.43,491773.98
BUD0000285,2025,6,CC0017,PC007,77297.72,57642.54,19655.18,76902.13,60249.65
BUD0000286,2026,2,CC0002,PC002,151822.6,123440.53,28382.07,146742.25,130233.77
BUD0000287,2026,12,CC0003,PC003,630554.25,460224.32,170329.93,624630.82,492192.54
BUD0000288,2026,10,CC0016,PC006,281319.93,219045.03,62274.9,269831.16,220740.61
BUD0000289,2025,8,CC0008,PC008,50247.36,33751.69,16495.67,52679.91,34050.41
BUD0000290,2025,11,CC0009,PC009,440907.85,291326.99,149580.86,424574.84,287803.77
BUD0000291,2026,3,CC0004,PC004,649657.82,522457.75,127200.07,701050.42,531510.59
BUD0000292,2026,11,CC0019,PC009,603944.7,373024.48,230920.22,627361.16,354609.45
BUD0000293,2025,3,CC0002,PC002,121900.06,73379.26,48520.8,128463.28,70223.17
BUD0000294,2025,5,CC0006,PC006,350989.94,239407.24,111582.7,356161.08,250407.78
BUD0000295,2025,6,CC0017,PC007,136278.26,108332.15,27946.11,130113.87,104316.04
BUD0000296,2025,7,CC0018,PC008,703478.93,437992.54,265486.39,700317.64,439481.37
BUD0000297,2025,3,CC0017,PC007,488208.53,386679.12,101529.41,476951.77,380892.83
BUD0000298,2025,1,CC0014,PC004,511326.89,312679.44,198647.45,561713.59,307490.75
BUD0000299,2026,8,CC0020,PC010,533478.01,328589.48,204888.53,512247.58,339762.32
BUD0000300,2026,11,CC0003,PC003,611511.17,483125.82,128385.35,649800.74,504184.92
