Transaction_ID,Product_ID,Plant_ID,Material_ID,Standard_Cost,Actual_Cost,Material_Cost,Labor_Cost,Overhead_Cost,Freight_Cost,Manufacturing_Cost,Production_Date,Cost_Per_Unit
T0000089,P0030,PL01,M00089,55.53,55.66,31.26,9.96,11.63,2.81,52.85,2025-12-13,0.3394
T0000090,P0102,PL02,M00090,503.29,503.74,266.03,109.05,88.06,40.6,463.14,2026-01-10,0.9142
T0000091,P0060,PL03,M00091,64.64,62.22,34.86,10.03,12.0,5.33,56.89,2025-04-21,1.02
T0000092,P0105,PL04,M00092,52.3,53.34,29.61,12.25,9.7,1.78,51.56,2026-12-19,0.1802
T0000093,P0139,PL05,M00093,423.65,406.21,241.46,65.51,82.27,16.97,389.24,2026-01-15,1.246
T0000094,P0114,PL06,M00094,152.01,156.54,84.69,28.25,32.92,10.68,145.86,2025-08-11,0.2082
T0000095,P0117,PL07,M00095,369.83,387.95,202.84,91.8,72.54,20.77,367.18,2025-05-06,0.8738
T0000096,P0142,PL08,M00096,453.47,451.53,254.02,76.85,90.7,29.96,421.57,2025-03-12,0.999
T0000097,P0065,PL01,M00097,216.07,218.1,126.36,42.14,31.92,17.68,200.42,2025-05-14,0.9281
T0000098,P0108,PL02,M00098,258.19,269.77,154.73,51.4,48.89,14.75,255.02,2025-02-23,1.1148
T0000099,P0134,PL03,M00099,819.95,852.85,470.26,159.9,156.05,66.64,786.21,2025-02-14,0.8996
T0000100,P0021,PL04,M00100,71.99,70.4,38.41,15.55,10.53,5.91,64.49,2026-03-31,0.2249
T0000101,P0111,PL05,M00101,284.01,284.25,167.1,49.5,47.7,19.95,264.3,2026-04-10,1.165
T0000102,P0117,PL06,M00102,1003.72,1046.77,579.52,186.21,210.72,70.32,976.45,2025-12-14,1.2158
T0000103,P0022,PL07,M00103,217.07,218.85,130.58,43.03,32.8,12.44,206.41,2025-04-04,0.2448
T0000104,P0091,PL08,M00104,166.78,174.92,96.43,42.51,24.24,11.74,163.18,2025-05-06,1.521
T0000105,P0143,PL01,M00105,295.89,305.92,166.76,59.27,61.04,18.85,287.07,2025-04-21,1.2487
T0000106,P0007,PL02,M00106,66.34,63.26,39.32,12.66,7.64,3.64,59.62,2026-10-21,0.1136
T0000107,P0018,PL03,M00107,15.39,15.77,9.14,2.28,3.02,1.33,14.44,2026-11-05,0.219
T0000108,P0022,PL04,M00108,97.63,97.69,51.56,25.12,15.73,5.28,92.41,2026-08-05,0.2978
T0000109,P0132,PL05,M00109,438.8,430.86,223.24,102.0,81.63,23.99,406.87,2025-10-07,0.6018
T0000110,P0002,PL06,M00110,1038.17,1042.55,575.82,201.47,186.98,78.28,964.27,2026-09-06,1.6628
T0000111,P0137,PL07,M00111,936.18,897.07,570.98,161.17,120.77,44.15,852.92,2025-05-13,0.8676
T0000112,P0081,PL08,M00112,746.18,738.75,422.16,175.56,101.86,39.17,699.58,2025-03-21,0.831
T0000113,P0093,PL01,M00113,992.58,1028.06,608.28,190.99,158.18,70.61,957.45,2026-09-25,1.1372
T0000114,P0044,PL02,M00114,1286.75,1313.1,845.38,208.77,153.91,105.04,1208.06,2025-12-08,1.2446
T0000115,P0027,PL03,M00115,221.47,216.29,127.25,40.53,35.26,13.25,203.04,2025-06-01,0.405
T0000116,P0149,PL04,M00116,1146.04,1100.34,637.95,261.82,142.33,58.24,1042.1,2026-08-01,0.9437
T0000117,P0071,PL05,M00117,68.42,69.73,41.52,11.22,13.62,3.37,66.36,2026-10-09,0.5578
T0000118,P0130,PL06,M00118,950.41,924.92,527.28,188.57,138.52,70.55,854.37,2025-04-03,0.9665
T0000119,P0129,PL07,M00119,102.94,107.22,62.33,16.78,19.11,9.0,98.22,2026-09-12,0.7884
T0000120,P0113,PL08,M00120,1203.82,1174.05,609.54,234.95,227.77,101.79,1072.26,2026-12-26,1.0871
T0000121,P0086,PL01,M00121,192.94,198.4,113.48,40.37,32.39,12.16,186.24,2026-10-09,0.2896
T0000122,P0150,PL02,M00122,316.08,318.57,199.74,47.21,48.4,23.22,295.35,2025-12-08,0.4388
T0000123,P0085,PL03,M00123,325.48,324.7,184.97,72.74,42.23,24.76,299.94,2026-10-21,0.2984
T0000124,P0058,PL04,M00124,76.35,76.68,44.98,15.85,12.49,3.36,73.32,2026-05-13,0.2345
T0000125,P0034,PL05,M00125,292.52,282.98,159.23,68.59,41.71,13.45,269.53,2025-12-11,0.3623
T0000126,P0061,PL06,M00126,887.85,850.26,477.77,198.44,119.43,54.62,795.64,2026-01-09,1.4338
T0000127,P0147,PL07,M00127,1077.86,1055.33,602.75,194.9,184.12,73.56,981.77,2025-07-18,1.1051
T0000128,P0124,PL08,M00128,1452.42,1389.56,763.29,308.64,232.25,85.38,1304.18,2025-09-14,1.2136
T0000129,P0112,PL01,M00129,500.24,485.39,271.13,124.98,68.0,21.28,464.11,2026-06-10,1.0461
T0000130,P0058,PL02,M00130,935.04,931.85,535.75,176.28,155.64,64.18,867.67,2025-03-25,1.4076
T0000131,P0036,PL03,M00131,1124.09,1148.36,592.17,250.04,210.89,95.26,1053.1,2026-12-14,1.2375
T0000132,P0074,PL04,M00132,171.62,180.11,109.01,34.15,25.16,11.79,168.32,2026-03-10,0.2877
T0000133,P0132,PL05,M00133,509.57,518.43,269.3,123.32,94.1,31.71,486.72,2026-07-03,1.0266
T0000134,P0093,PL06,M00134,822.71,846.53,484.63,174.87,126.88,60.15,786.38,2026-06-21,0.7788
T0000135,P0005,PL07,M00135,75.75,76.11,46.08,16.43,9.7,3.9,72.21,2026-01-18,0.5143
T0000136,P0045,PL08,M00136,890.35,933.57,482.23,219.07,150.15,82.12,851.45,2026-07-14,0.943
T0000137,P0011,PL01,M00137,456.39,478.57,251.58,110.75,93.34,22.9,455.67,2025-07-24,0.742
T0000138,P0085,PL02,M00138,340.86,345.74,190.11,73.37,62.2,20.06,325.68,2025-02-18,1.3096
T0000139,P0095,PL03,M00139,763.36,766.61,429.8,144.37,128.98,63.46,703.15,2026-12-10,1.3788
T0000140,P0076,PL04,M00140,943.84,988.05,536.0,235.95,141.28,74.82,913.23,2025-03-23,1.0705
T0000141,P0015,PL05,M00141,499.84,511.68,271.25,110.26,84.88,45.29,466.39,2026-03-22,0.6084
T0000142,P0018,PL06,M00142,444.86,447.14,268.79,67.65,74.43,36.27,410.87,2025-02-05,0.5883
T0000143,P0036,PL07,M00143,435.41,421.32,247.9,82.81,71.68,18.93,402.39,2025-03-20,0.5536
T0000144,P0068,PL08,M00144,298.6,302.84,166.79,70.04,51.21,14.8,288.04,2026-07-30,0.3281
T0000145,P0114,PL01,M00145,623.42,629.82,379.68,101.1,97.44,51.6,578.22,2025-06-26,0.9485
T0000146,P0045,PL02,M00146,426.0,407.03,247.13,60.81,74.87,24.22,382.81,2026-12-19,0.3873
T0000147,P0142,PL03,M00147,36.31,37.9,22.5,7.45,4.82,3.13,34.77,2026-04-24,0.2038
T0000148,P0082,PL04,M00148,691.52,681.76,391.38,151.19,87.83,51.36,630.4,2025-05-09,0.7323
T0000149,P0129,PL05,M00149,254.25,261.42,166.45,38.21,40.4,16.36,245.06,2025-05-13,0.9902
T0000150,P0021,PL06,M00150,371.14,387.04,212.14,70.53,84.95,19.42,367.62,2025-10-18,0.9394
T0000151,P0044,PL07,M00151,997.68,1000.26,516.01,241.95,158.92,83.38,916.88,2026-08-18,1.4269
T0000152,P0147,PL08,M00152,73.19,70.8,40.88,12.8,13.16,3.96,66.84,2026-10-29,0.9833
T0000153,P0019,PL01,M00153,259.54,259.72,153.86,52.12,39.89,13.85,245.87,2025-11-01,0.7799
T0000154,P0103,PL02,M00154,486.57,505.9,264.98,124.14,90.26,26.52,479.38,2025-12-20,0.6587
T0000155,P0108,PL03,M00155,545.62,530.16,288.75,108.86,84.91,47.64,482.52,2026-01-29,1.5732
T0000156,P0006,PL04,M00156,694.68,699.25,431.21,141.12,102.09,24.83,674.42,2025-11-12,0.858
T0000157,P0121,PL05,M00157,120.37,114.86,64.7,20.42,23.01,6.73,108.13,2026-11-01,0.1036
T0000158,P0144,PL06,M00158,788.3,779.1,462.49,170.1,111.74,34.77,744.33,2025-02-22,1.036
T0000159,P0025,PL07,M00159,1039.15,1024.66,601.97,221.76,165.36,35.57,989.09,2025-05-02,1.3239
T0000160,P0036,PL08,M00160,830.98,841.24,497.35,181.28,127.28,35.33,805.91,2025-02-16,0.8584
T0000161,P0077,PL01,M00161,442.01,446.61,219.82,103.02,90.34,33.43,413.18,2026-09-24,0.6398
T0000162,P0150,PL02,M00162,51.31,48.89,27.02,9.7,8.34,3.83,45.06,2025-04-23,0.7639
T0000163,P0135,PL03,M00163,231.95,223.78,126.9,45.43,36.73,14.72,209.06,2026-05-07,0.284
T0000164,P0053,PL04,M00164,1054.94,1060.02,611.66,199.54,171.73,77.09,982.93,2025-06-05,1.0222
T0000165,P0123,PL05,M00165,458.09,481.12,273.77,96.82,69.58,40.95,440.17,2025-11-29,0.616
T0000166,P0068,PL06,M00166,294.51,302.02,182.02,62.68,42.73,14.59,287.43,2026-10-21,0.3017
T0000167,P0126,PL07,M00167,587.12,603.97,358.82,110.88,96.11,38.16,565.81,2025-08-01,0.6088
T0000168,P0089,PL08,M00168,108.51,107.95,58.62,23.77,15.97,9.59,98.36,2026-02-09,0.1787
T0000169,P0144,PL01,M00169,69.26,67.17,40.32,10.5,11.15,5.2,61.97,2026-07-06,0.2308
T0000170,P0085,PL02,M00170,248.73,242.54,159.95,40.19,29.81,12.59,229.95,2025-04-13,1.1281
T0000171,P0052,PL03,M00171,349.77,347.31,187.95,61.76,63.68,33.92,313.39,2026-05-03,0.5207
T0000172,P0045,PL04,M00172,646.64,642.6,375.54,143.54,84.73,38.79,603.81,2025-02-08,1.7368
T0000173,P0010,PL05,M00173,581.16,605.85,356.04,94.23,105.12,50.46,555.39,2025-10-24,0.9756
T0000174,P0130,PL06,M00174,175.73,170.42,95.99,32.24,28.52,13.67,156.75,2025-05-18,0.3
T0000175,P0050,PL07,M00175,973.57,988.69,561.72,202.14,156.68,68.15,920.54,2025-10-30,1.177
T0000176,P0067,PL08,M00176,280.24,276.89,157.35,51.52,41.25,26.77,250.12,2025-09-12,0.5628
T0000177,P0031,PL01,M00177,216.54,227.59,135.2,54.39,27.46,10.54,217.05,2025-08-30,0.3567
T0000178,P0057,PL02,M00178,280.52,276.05,141.23,63.18,51.73,19.91,256.14,2025-10-30,0.9754
T0000179,P0056,PL03,M00179,175.67,179.32,112.18,24.93,31.51,10.7,168.62,2026-11-12,1.0131
T0000180,P0138,PL04,M00180,157.36,162.98,96.44,39.25,19.66,7.63,155.35,2025-07-27,0.471
T0000181,P0034,PL05,M00181,581.25,592.38,314.03,147.45,94.54,36.36,556.02,2025-02-26,0.6888
T0000182,P0019,PL06,M00182,604.97,631.0,327.8,145.92,115.76,41.52,589.48,2025-08-12,0.7195
T0000183,P0035,PL07,M00183,1286.03,1319.04,748.72,278.32,231.69,60.31,1258.73,2026-02-23,1.6998
T0000184,P0090,PL08,M00184,590.06,574.72,331.65,105.39,98.91,38.77,535.95,2026-07-07,1.5326
T0000185,P0140,PL01,M00185,959.86,919.22,546.9,203.79,125.8,42.73,876.49,2026-04-20,0.8364
T0000186,P0108,PL02,M00186,19.83,20.1,11.64,4.69,2.66,1.11,18.99,2025-02-02,0.4786
T0000187,P0113,PL03,M00187,514.89,535.91,338.83,77.28,92.2,27.6,508.31,2025-02-15,0.4806
T0000188,P0083,PL04,M00188,787.64,779.66,440.49,128.26,132.65,78.26,701.4,2025-11-23,1.2415
T0000189,P0110,PL05,M00189,185.39,191.43,111.03,28.53,37.16,14.71,176.72,2025-06-29,0.1868
T0000190,P0048,PL06,M00190,367.66,364.76,227.53,50.53,59.84,26.86,337.9,2025-11-04,0.3726
T0000191,P0136,PL07,M00191,312.44,321.76,190.89,52.05,52.0,26.82,294.94,2026-03-03,0.3997
T0000192,P0069,PL08,M00192,120.56,118.43,72.77,17.25,23.97,4.44,113.99,2025-07-15,1.3159
T0000193,P0004,PL01,M00193,566.68,586.73,367.31,122.32,75.48,21.62,565.11,2025-12-07,1.4705
T0000194,P0083,PL02,M00194,607.29,596.98,304.5,137.09,104.54,50.85,546.13,2025-09-03,0.7566
T0000195,P0082,PL03,M00195,467.8,454.13,273.07,74.37,78.95,27.74,426.39,2026-04-26,0.5905
T0000196,P0040,PL04,M00196,251.63,251.4,135.79,65.32,38.98,11.31,240.09,2026-03-04,0.367
T0000197,P0126,PL05,M00197,474.25,482.0,278.86,83.09,96.61,23.44,458.56,2026-05-16,1.3616
T0000198,P0009,PL06,M00198,99.27,96.31,58.14,15.64,17.27,5.26,91.05,2025-03-02,0.8836
T0000199,P0124,PL07,M00199,5.23,5.42,3.13,1.09,0.86,0.34,5.08,2026-01-18,0.129
T0000200,P0111,PL08,M00200,306.56,303.43,179.19,59.57,52.78,11.89,291.54,2026-12-16,1.325
T0000201,P0104,PL01,M00201,627.35,640.67,351.92,154.94,108.37,25.44,615.23,2025-03-22,0.549
T0000202,P0104,PL02,M00202,651.33,673.21,357.0,139.62,125.81,50.78,622.43,2025-02-02,0.8609
T0000203,P0025,PL03,M00203,57.89,56.49,32.58,12.34,9.78,1.79,54.7,2026-08-03,0.5824
T0000204,P0140,PL04,M00204,28.87,28.56,16.0,7.38,4.02,1.16,27.4,2025-10-15,0.3709
T0000205,P0042,PL05,M00205,495.27,499.07,281.74,76.3,101.24,39.79,459.28,2025-03-20,0.9942
T0000206,P0021,PL06,M00206,146.57,142.39,88.45,25.71,18.27,9.96,132.43,2026-12-07,0.1983
T0000207,P0070,PL07,M00207,404.25,407.71,232.21,76.57,72.18,26.75,380.96,2025-12-01,0.4021
T0000208,P0064,PL08,M00208,84.84,87.58,49.12,19.69,13.96,4.81,82.77,2025-10-30,0.492
T0000209,P0093,PL01,M00209,53.84,52.43,32.65,7.55,9.66,2.57,49.86,2025-11-12,0.2394
T0000210,P0084,PL02,M00210,23.17,22.17,12.62,5.04,3.64,0.87,21.3,2025-04-06,0.6334
T0000211,P0098,PL03,M00211,135.91,135.54,78.93,31.13,15.64,9.84,125.7,2025-06-23,0.461
T0000212,P0064,PL04,M00212,293.7,307.63,192.75,52.06,49.69,13.13,294.5,2026-01-05,0.7503
T0000213,P0111,PL05,M00213,134.57,130.16,79.5,22.02,22.27,6.37,123.79,2026-03-27,0.4519
T0000214,P0126,PL06,M00214,255.63,255.5,160.43,43.28,31.94,19.85,235.65,2026-12-13,0.5049
T0000215,P0141,PL07,M00215,1316.61,1382.32,783.97,229.56,274.85,93.94,1288.38,2025-07-04,1.4475
T0000216,P0036,PL08,M00216,227.69,227.55,133.67,45.24,28.48,20.16,207.39,2026-11-21,0.4506
T0000217,P0108,PL01,M00217,88.88,89.11,51.3,17.53,12.43,7.85,81.26,2026-07-02,1.0484
T0000218,P0091,PL02,M00218,106.6,108.97,67.07,25.03,13.03,3.84,105.13,2026-11-05,1.0897
T0000219,P0057,PL03,M00219,927.58,923.61,544.37,146.6,170.25,62.39,861.22,2025-04-11,0.8616
T0000220,P0007,PL04,M00220,113.42,109.35,61.49,26.68,16.41,4.77,104.58,2025-06-04,0.4882
T0000221,P0124,PL05,M00221,228.47,235.73,148.42,42.87,32.2,12.24,223.49,2025-07-31,0.2393
T0000222,P0028,PL06,M00222,439.24,459.47,283.48,69.96,63.58,42.45,417.02,2025-12-18,0.9027
T0000223,P0111,PL07,M00223,62.92,64.77,39.79,13.43,8.19,3.36,61.41,2025-07-10,0.9387
T0000224,P0017,PL08,M00224,296.01,297.9,170.79,47.12,55.39,24.6,273.3,2026-12-22,1.3665
T0000225,P0100,PL01,M00225,867.33,878.75,476.47,179.95,153.38,68.95,809.8,2026-10-17,1.0809
T0000226,P0022,PL02,M00226,197.11,196.5,108.38,40.27,33.67,14.18,182.32,2026-09-22,0.3018
T0000227,P0048,PL03,M00227,1015.51,1027.79,523.16,257.06,196.99,50.58,977.21,2026-01-28,0.9259
T0000228,P0014,PL04,M00228,20.35,20.76,11.94,3.92,3.11,1.79,18.97,2026-04-07,0.7159
T0000229,P0114,PL05,M00229,82.75,85.74,50.3,17.03,13.5,4.91,80.83,2026-12-29,0.2436
T0000230,P0127,PL06,M00230,299.47,295.02,169.74,55.93,45.31,24.04,270.98,2026-04-14,0.2794
T0000231,P0056,PL07,M00231,221.03,226.18,135.28,50.02,30.08,10.8,215.38,2026-03-28,1.0328
T0000232,P0031,PL08,M00232,451.3,433.19,228.99,113.82,56.1,34.28,398.91,2025-03-31,0.9868
T0000233,P0053,PL01,M00233,635.04,634.18,349.68,145.81,103.28,35.41,598.77,2025-07-31,0.5388
T0000234,P0025,PL02,M00234,1059.53,1048.8,587.19,190.38,207.71,63.52,985.28,2026-06-11,1.231
T0000235,P0101,PL03,M00235,342.58,339.3,179.84,76.73,57.63,25.1,314.2,2025-09-11,1.1272
T0000236,P0072,PL04,M00236,1683.42,1639.77,902.47,317.25,310.22,109.83,1529.94,2026-06-12,1.7426
T0000237,P0092,PL05,M00237,641.55,663.02,417.07,126.03,88.71,31.21,631.81,2026-11-12,0.6006
T0000238,P0125,PL06,M00238,16.52,16.13,10.0,3.14,2.01,0.98,15.15,2025-05-14,0.148
T0000239,P0034,PL07,M00239,524.19,516.05,312.52,86.2,90.93,26.4,489.65,2026-03-15,1.5404
T0000240,P0079,PL08,M00240,850.02,860.85,519.17,194.98,93.96,52.74,808.11,2025-02-23,0.9683
T0000241,P0088,PL01,M00241,797.99,784.24,458.5,135.38,126.3,64.06,720.18,2025-01-10,0.8973
