Customer_ID,Customer_Name,Customer_Type,Customer_Segment,Industry,Sales_Region,Region_ID,Country,State,City,Parent_Customer,Account_Manager
C00033,Customer 33,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00034,Customer 34,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00035,Customer 35,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,Parent 4,Sales Rep 35
C00036,Customer 36,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00037,Customer 37,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00038,Customer 38,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00039,Customer 39,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00040,Customer 40,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,Parent 4,Sales Rep 40
C00041,Customer 41,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00042,Customer 42,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00043,Customer 43,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00044,Customer 44,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00045,Customer 45,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,Parent 5,Sales Rep 5
C00046,Customer 46,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00047,Customer 47,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00048,Customer 48,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00049,Customer 49,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00050,Customer 50,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,Parent 5,Sales Rep 10
C00051,Customer 51,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00052,Customer 52,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00053,Customer 53,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00054,Customer 54,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00055,Customer 55,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,Parent 6,Sales Rep 15
C00056,Customer 56,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00057,Customer 57,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00058,Customer 58,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00059,Customer 59,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00060,Customer 60,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,Parent 6,Sales Rep 20
C00061,Customer 61,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00062,Customer 62,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00063,Customer 63,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00064,Customer 64,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00065,Customer 65,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 7,Sales Rep 25
C00066,Customer 66,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00067,Customer 67,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00068,Customer 68,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00069,Customer 69,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00070,Customer 70,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,Parent 7,Sales Rep 30
C00071,Customer 71,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00072,Customer 72,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
C00073,Customer 73,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00074,Customer 74,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00075,Customer 75,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,Parent 8,Sales Rep 35
C00076,Customer 76,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00077,Customer 77,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00078,Customer 78,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00079,Customer 79,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00080,Customer 80,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,Parent 8,Sales Rep 40
C00081,Customer 81,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00082,Customer 82,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00083,Customer 83,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00084,Customer 84,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00085,Customer 85,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,Parent 9,Sales Rep 5
C00086,Customer 86,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00087,Customer 87,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00088,Customer 88,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00089,Customer 89,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00090,Customer 90,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,Parent 9,Sales Rep 10
C00091,Customer 91,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00092,Customer 92,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00093,Customer 93,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00094,Customer 94,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00095,Customer 95,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,Parent 10,Sales Rep 15
C00096,Customer 96,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00097,Customer 97,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00098,Customer 98,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00099,Customer 99,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00100,Customer 100,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,Parent 10,Sales Rep 20
C00101,Customer 101,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00102,Customer 102,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00103,Customer 103,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00104,Customer 104,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00105,Customer 105,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 11,Sales Rep 25
C00106,Customer 106,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00107,Customer 107,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00108,Customer 108,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00109,Customer 109,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00110,Customer 110,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,Parent 11,Sales Rep 30
C00111,Customer 111,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00112,Customer 112,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
C00113,Customer 113,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00114,Customer 114,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00115,Customer 115,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,Parent 12,Sales Rep 35
C00116,Customer 116,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00117,Customer 117,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00118,Customer 118,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00119,Customer 119,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00120,Customer 120,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,Parent 12,Sales Rep 40
C00121,Customer 121,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00122,Customer 122,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00123,Customer 123,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00124,Customer 124,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00125,Customer 125,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,Parent 13,Sales Rep 5
C00126,Customer 126,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00127,Customer 127,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00128,Customer 128,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00129,Customer 129,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00130,Customer 130,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,Parent 13,Sales Rep 10
C00131,Customer 131,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00132,Customer 132,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00133,Customer 133,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00134,Customer 134,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00135,Customer 135,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,Parent 14,Sales Rep 15
C00136,Customer 136,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00137,Customer 137,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00138,Customer 138,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00139,Customer 139,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00140,Customer 140,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,Parent 14,Sales Rep 20
C00141,Customer 141,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00142,Customer 142,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00143,Customer 143,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00144,Customer 144,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00145,Customer 145,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 15,Sales Rep 25
C00146,Customer 146,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00147,Customer 147,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00148,Customer 148,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00149,Customer 149,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00150,Customer 150,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,Parent 15,Sales Rep 30
C00151,Customer 151,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00152,Customer 152,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
C00153,Customer 153,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00154,Customer 154,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00155,Customer 155,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,Parent 16,Sales Rep 35
C00156,Customer 156,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00157,Customer 157,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00158,Customer 158,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00159,Customer 159,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00160,Customer 160,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,Parent 16,Sales Rep 40
C00161,Customer 161,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00162,Customer 162,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00163,Customer 163,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00164,Customer 164,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00165,Customer 165,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,Parent 17,Sales Rep 5
C00166,Customer 166,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00167,Customer 167,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00168,Customer 168,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00169,Customer 169,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00170,Customer 170,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,Parent 17,Sales Rep 10
C00171,Customer 171,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00172,Customer 172,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00173,Customer 173,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00174,Customer 174,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00175,Customer 175,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,Parent 18,Sales Rep 15
C00176,Customer 176,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00177,Customer 177,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00178,Customer 178,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00179,Customer 179,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00180,Customer 180,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,Parent 18,Sales Rep 20
C00181,Customer 181,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00182,Customer 182,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00183,Customer 183,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00184,Customer 184,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00185,Customer 185,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 19,Sales Rep 25
C00186,Customer 186,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00187,Customer 187,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00188,Customer 188,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00189,Customer 189,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00190,Customer 190,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,Parent 19,Sales Rep 30
C00191,Customer 191,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00192,Customer 192,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
C00193,Customer 193,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00194,Customer 194,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00195,Customer 195,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,Parent 20,Sales Rep 35
C00196,Customer 196,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00197,Customer 197,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00198,Customer 198,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00199,Customer 199,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00200,Customer 200,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,Parent 20,Sales Rep 40
C00201,Customer 201,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00202,Customer 202,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00203,Customer 203,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00204,Customer 204,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00205,Customer 205,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,Parent 21,Sales Rep 5
C00206,Customer 206,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00207,Customer 207,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00208,Customer 208,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00209,Customer 209,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00210,Customer 210,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,Parent 21,Sales Rep 10
C00211,Customer 211,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00212,Customer 212,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00213,Customer 213,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00214,Customer 214,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
C00215,Customer 215,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,Parent 22,Sales Rep 15
C00216,Customer 216,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 16
C00217,Customer 217,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 17
C00218,Customer 218,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 18
C00219,Customer 219,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 19
C00220,Customer 220,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,Parent 22,Sales Rep 20
C00221,Customer 221,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 21
C00222,Customer 222,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 22
C00223,Customer 223,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 23
C00224,Customer 224,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 24
C00225,Customer 225,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,Parent 23,Sales Rep 25
C00226,Customer 226,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 26
C00227,Customer 227,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 27
C00228,Customer 228,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 28
C00229,Customer 229,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 29
C00230,Customer 230,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,Parent 23,Sales Rep 30
C00231,Customer 231,Food Service,SMB,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 31
C00232,Customer 232,Wholesale,Enterprise,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 32
C00233,Customer 233,Retail,Mid-Market,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 33
C00234,Customer 234,Distributor,SMB,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 34
C00235,Customer 235,Food Service,Enterprise,Hospitality,Northeast,R02,USA,NY,New York,Parent 24,Sales Rep 35
C00236,Customer 236,Wholesale,Mid-Market,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 36
C00237,Customer 237,Retail,SMB,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 37
C00238,Customer 238,Distributor,Enterprise,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 38
C00239,Customer 239,Food Service,Mid-Market,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 39
C00240,Customer 240,Wholesale,SMB,Distribution,West,R04,USA,WA,Seattle,Parent 24,Sales Rep 40
C00241,Customer 241,Retail,Enterprise,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 1
C00242,Customer 242,Distributor,Mid-Market,Retail,Midwest,R01,USA,IL,Chicago,,Sales Rep 2
C00243,Customer 243,Food Service,SMB,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 3
C00244,Customer 244,Wholesale,Enterprise,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 4
C00245,Customer 245,Retail,Mid-Market,Restaurants,South,R03,USA,TX,Dallas,Parent 25,Sales Rep 5
C00246,Customer 246,Distributor,SMB,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 6
C00247,Customer 247,Food Service,Enterprise,Hospitality,West,R04,USA,CA,Los Angeles,,Sales Rep 7
C00248,Customer 248,Wholesale,Mid-Market,Distribution,West,R04,USA,WA,Seattle,,Sales Rep 8
C00249,Customer 249,Retail,SMB,Restaurants,Midwest,R01,USA,MO,Kansas City,,Sales Rep 9
C00250,Customer 250,Distributor,Enterprise,Retail,Midwest,R01,USA,IL,Chicago,Parent 25,Sales Rep 10
C00251,Customer 251,Food Service,Mid-Market,Hospitality,Northeast,R02,USA,NY,New York,,Sales Rep 11
C00252,Customer 252,Wholesale,SMB,Distribution,Northeast,R02,USA,MA,Boston,,Sales Rep 12
C00253,Customer 253,Retail,Enterprise,Restaurants,South,R03,USA,TX,Dallas,,Sales Rep 13
C00254,Customer 254,Distributor,Mid-Market,Retail,South,R03,USA,GA,Atlanta,,Sales Rep 14
